feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Slackia	age	age	0.12784786251499	0.0157000050189815	4101	1896	5.06200954130042e-16	4.8089090642354e-14
Clostridium	age	age	0.137183349127061	0.017071863335879	4101	2638	1.21360091528024e-15	5.76460434758116e-14
Akkermansia	age	age	0.125684362099697	0.0166730599510316	4101	2138	5.85542441123716e-14	1.8542177302251e-12
Butyrivibrio	age	age	0.120595001890826	0.0164294037942915	4101	959	2.56001781093512e-13	4.86403384077673e-12
Methanobrevibacter	age	age	0.125355814405243	0.0170712232725062	4101	1659	2.52293157729522e-13	4.86403384077673e-12
Lawsonibacter	age	age	0.0978391866567868	0.0144052342306091	4101	2428	1.26568286895272e-11	2.00399787584181e-10
Uniqueness	age	age	0.0924863024949942	0.0166219929803856	4101	1866	2.80404622206286e-08	3.80549130137103e-07
Shannon	age	age	0.0776537996685007	0.01409012914442	4101	2536	3.78254258792623e-08	4.49176932316239e-07
InvSimpson	age	age	0.0833958813391097	0.0152388136104242	4101	2050	4.70037787200934e-08	4.96150997600986e-07
Mogibacterium	age	age	0.0887417063994334	0.0164937338973092	4101	561	7.85271457430985e-08	7.46007884559435e-07
Observed	age	age	0.0775834630110219	0.014558413146351	4101	2049	1.04004289201109e-07	8.98218861282309e-07
Leuconostoc	age	age	0.0873907399113314	0.0166215750498958	4101	558	1.53408767826227e-07	1.2144860786243e-06
Denitrobacterium	age	age	0.0833543057007996	0.0159678800948482	4101	508	1.88458217034057e-07	1.37719466294119e-06
Oscillibacter	age	age	0.0862765431535943	0.0170765944699545	4101	2861	4.56231707195324e-07	3.09585801311112e-06
Phascolarctobacterium	age	age	0.0872978774571136	0.017486838124566	4101	2408	6.23532396980982e-07	3.94903851421289e-06
Victivallis	age	age	0.0832495905991533	0.0168966160053863	4101	677	8.68731770600169e-07	5.1580948879385e-06
Tractidigestivibacter	age	age	0.0704540865058819	0.0150409694066758	4101	1466	2.90250729656795e-06	1.6219893716115e-05
Bifidobacterium	age	age	-0.070223679603758	0.0150510763657906	4101	2710	3.17393360606849e-06	1.67513162542504e-05
Dialister	age	age	-0.0779326246512801	0.0172859530974695	4101	1723	6.71703338195806e-06	3.35851669097903e-05
