feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY01298	age	age	0.156603945618926	0.016690074542216	4101	2189	1.03622611748432e-20	3.72005176176871e-18
PWY01586	age	age	-0.11133644506117	0.0156293068714237	4101	2155	1.2395890589339e-12	2.22506236078634e-10
METHANOGENESISPWY	age	age	0.113311307991573	0.0170577493747089	4101	1303	3.51761901277055e-11	3.70718725954832e-09
PWY7286	age	age	0.113315878927067	0.0171198362080792	4101	1239	4.13057076272793e-11	3.70718725954832e-09
PWY6167	age	age	0.109525781071396	0.0171148621452432	4101	1135	1.7528643621264e-10	1.25855661200676e-08
PWY5101	age	age	0.108409236205218	0.0171156537261498	4101	1787	2.66185317949477e-10	1.59267548573104e-08
POLYAMSYNPWY	age	age	0.104077592967223	0.0165439240364525	4101	2271	3.48755947252928e-10	1.72146582260585e-08
PWY6588	age	age	0.100490578337789	0.01601195095951	4101	2709	3.83613553784034e-10	1.72146582260585e-08
PWY5198	age	age	0.106019119336413	0.0170687264666219	4101	1232	5.82572679218966e-10	2.32381768710677e-08
ARGPOLYAMINESYN	age	age	0.103361267373645	0.0167596470214766	4101	2349	7.62629981107074e-10	2.7378416321744e-08
P42PWY	age	age	0.105669890327038	0.0172008607336522	4101	2482	8.91446076084977e-10	2.90935583013188e-08
PWY821	age	age	0.103400202605816	0.0168966430041646	4101	2496	1.02681626019030e-09	3.07189197840263e-08
PWY3001	age	age	-0.0933372941223718	0.0153794227020966	4101	2153	1.40400466248228e-09	3.60026909879386e-08
THISYNARAPWY	age	age	-0.0974249984734239	0.0160253176931388	4101	2218	1.31597109333025e-09	3.60026909879386e-08
PWY6349	age	age	0.103567650889346	0.0170994938388533	4101	1168	1.52713690081693e-09	3.65494764928852e-08
PWY4LZ257	age	age	0.0999889665095306	0.0167624005015859	4101	2495	2.65334923193606e-09	5.60324926038261e-08
PYRIDNUCSYNPWY	age	age	-0.095681992005455	0.0160344975560834	4101	2114	2.61696328940346e-09	5.60324926038261e-08
P161PWY	age	age	0.0981719908040005	0.0168022867075229	4101	2419	5.53557344999731e-09	1.10403937141613e-07
ECASYNPWY	age	age	0.0883788727190048	0.0156948325415769	4101	1367	1.91089634396795e-08	3.61058835518154e-07
PWY7357	age	age	-0.0874522746599189	0.0156449355829276	4101	2348	2.42108798228102e-08	4.34585292819443e-07
GLUDEGIPWY	age	age	0.0916413396987888	0.0166386294875351	4101	2508	3.85822508658092e-08	6.53818301634064e-07
HEMESYN2PWY	age	age	0.0934334064599269	0.0169842732411621	4101	2403	4.00668597101655e-08	6.53818301634064e-07
P124PWY	age	age	-0.0825494961533864	0.0150636281029684	4101	2482	4.50754860669281e-08	7.03569543392486e-07
KETOGLUCONMETPWY	age	age	0.0915154904296545	0.0167884415230258	4101	1959	5.30325476857784e-08	7.93278525799768e-07
PWY5136	age	age	0.0912907542993387	0.0169762501849995	4101	2270	7.97775633276462e-08	1.10154404748558e-06
SO4ASSIMPWY	age	age	0.0914193597844228	0.0169790153905306	4101	2384	7.68507256040113e-08	1.10154404748558e-06
FAOPWY	age	age	0.0909786818265843	0.0169416661900718	4101	2272	8.31061731426604e-08	1.10500430215611e-06
SULFATECYSPWY	age	age	0.0916110435323856	0.0171776767192028	4101	2474	1.01804260648521e-07	1.3052760561721e-06
PWY5345	age	age	0.0905002024024254	0.0171705796422601	4101	2485	1.43030462008421e-07	1.77061847796632e-06
THRESYNPWY	age	age	-0.0828777956020783	0.0158858984392938	4101	2129	1.90765755983449e-07	2.2828302132686e-06
DTDPRHAMSYNPWY	age	age	-0.082144971818137	0.0158304814688209	4101	1849	2.21626231957364e-07	2.56657475073206e-06
PWY5265	age	age	0.0910810540075867	0.0176049871260065	4101	1611	2.42359617909741e-07	2.70942195111035e-06
PWY6897	age	age	-0.0860078797294306	0.0166450229250779	4101	2142	2.49055499684238e-07	2.70942195111035e-06
PWY7383	age	age	0.0816238052557534	0.0158388178929581	4101	2730	2.67857841134735e-07	2.82826367551088e-06
PWY5840	age	age	0.0802001360603507	0.0159649795393761	4101	2687	5.29284368355911e-07	5.4289453782792e-06
PWY01297	age	age	0.0796537290305592	0.0161304545705914	4101	2197	8.20375094239887e-07	7.95985564411134e-06
UBISYNPWY	age	age	0.0778217901145114	0.0157473139891974	4101	1327	8.04534731655215e-07	7.95985564411134e-06
PWY01296	age	age	0.0739566860669019	0.0150169727703278	4101	2512	8.77410650700618e-07	8.28922167372426e-06
PWY5004	age	age	0.0734655109512772	0.0150882560402162	4101	1725	1.16437720136989e-06	1.07182414177382e-05
PWY6435	age	age	-0.085983720797809	0.0177498658215285	4101	1224	1.33208204759518e-06	1.19554363771668e-05
PWY5860	age	age	0.0779541644498541	0.0162039569045676	4101	1743	1.55757767739666e-06	1.36383021020829e-05
PWY5675	age	age	0.0759023354424768	0.0158067581761401	4101	2157	1.62796025224213e-06	1.39151840608315e-05
PWY4981	age	age	0.0801397490751873	0.0167371949074938	4101	2256	1.74335324860251e-06	1.39426895028971e-05
