fixef	feature	fixef.value	solution	std.error	z.ratio	Df	Wald(inc)	Pr(chisq)(inc)	Wald(con)	Pr(chisq)(con)	Margin
(Intercept)	Acetatifactor	NA	0.0300488296862656	0.336800078321136	0.0892185947107005	1	0.002133	0.963163265877708	0.002133	0.963163265877708	 
(Intercept)	Acutalibacter	NA	0.52153344523307	0.260721742932618	2.00034503976087	1	0.0002409	0.987616567967208	0.0002409	0.987616567967208	 
(Intercept)	Adlercreutzia	NA	-0.443319096454799	0.218099857531746	-2.03264276039369	1	0.09463	0.758371579581632	0.09463	0.758371579581632	 
(Intercept)	AF3328	NA	-0.0298676005077567	0.333189448334952	-0.089641495722671	1	0.004504	0.946492662663958	0.004504	0.946492662663958	 
(Intercept)	Akkermansia	NA	-0.528431873688895	0.264435029161086	-1.99834294028795	1	0.06166	0.803891222521778	0.06166	0.803891222521778	 
(Intercept)	Alistipes	NA	-0.181226594864417	0.258670849263561	-0.700606950417378	1	0.0907	0.763289129706561	0.0907	0.763289129706561	 
(Intercept)	AM0715	NA	0.517230148853152	0.129071853370597	4.00730395780446	1	0.1964	0.657642489950217	0.1964	0.657642489950217	 
(Intercept)	Anaerotignum	NA	-0.00817347175196064	0.258873248011208	-0.0315732576260903	1	0.08416	0.771737111953886	0.08416	0.771737111953886	 
(Intercept)	Anaerotruncus	NA	0.402003885804861	0.288798171252424	1.39198902839828	1	0.003158	0.955185599736309	0.003158	0.955185599736309	 
(Intercept)	AnaerovoracaceaeNOV	NA	-0.057211502354838	0.227113187302617	-0.25190744330758	1	0.009782	0.921214497821079	0.009782	0.921214497821079	 
(Intercept)	Angelakisella	NA	0.263607440944705	0.29166056779941	0.903815839534407	1	0.000167	0.989689346093172	0.000167	0.989689346093172	 
(Intercept)	ASF356	NA	0.274192074196111	0.119615004422036	2.2922882920999	1	0.000683	0.979150243928027	0.000683	0.979150243928027	 
(Intercept)	Bacteroides	NA	-0.544624478828222	0.203158451936992	-2.68078671419062	1	0.007291	0.931953447529165	0.007291	0.931953447529165	 
(Intercept)	Bifidobacterium	NA	-0.135613695435818	0.192412469677288	-0.704807207470846	1	0.00785	0.929399628682932	0.00785	0.929399628682932	 
(Intercept)	BorkfalkiaceaeNOV	NA	0.0168462106791541	0.177726209642532	0.0947874301322106	1	0.03191	0.85822532861331	0.03191	0.85822532861331	 
(Intercept)	ButyricicoccaceaeNOV	NA	0.419975556925599	0.199442321975392	2.1057494355557	1	0.002695	0.958597705456415	0.002695	0.958597705456415	 
(Intercept)	CAG115	NA	0.558277270731106	0.223950502402786	2.49286009516075	1	0.05784	0.809943066141435	0.05784	0.809943066141435	 
(Intercept)	CAG145	NA	0.0600728830976125	0.229249282916639	0.262041749196907	1	0.01242	0.911263434843104	0.01242	0.911263434843104	 
(Intercept)	CAG273	NA	0.111927047115093	0.256788314687092	0.43587282097116	1	0.004612	0.945855919124825	0.004612	0.945855919124825	 
(Intercept)	CAG274NOV	NA	0.597831594032312	0.14778900313762	4.04516967663431	1	0.001511	0.968992772560378	0.001511	0.968992772560378	 
(Intercept)	CAG303	NA	0.43379158045367	0.151152064094243	2.86990179759109	1	0.003028	0.956116741594821	0.003028	0.956116741594821	 
(Intercept)	CAG41	NA	0.353297019562023	0.127681053106503	2.76702776932242	1	0.01961	0.888631776075546	0.01961	0.888631776075546	 
(Intercept)	CAG475	NA	0.031462533132789	0.215097162151986	0.146271260940941	1	0.003526	0.952649338011083	0.003526	0.952649338011083	 
(Intercept)	CAG485	NA	-0.650682436664686	0.260697197482406	-2.4959318433356	1	0.08306	0.773192639550463	0.08306	0.773192639550463	 
(Intercept)	CAG510	NA	-0.00558621361782999	0.2654884915511	-0.0210412646709953	1	0.001568	0.968413638106198	0.001568	0.968413638106198	 
(Intercept)	CAG552NOV	NA	0.0460383597180745	0.313711190574011	0.146753960653543	1	0.0001816	0.989248109343437	0.0001816	0.989248109343437	 
(Intercept)	CAG56	NA	0.188038474001393	0.229821606254657	0.818193193694045	1	0.03976	0.8419505665637	0.03976	0.8419505665637	 
(Intercept)	CAG582	NA	-0.0125466006321191	0.257937107310633	-0.0486420924966384	1	6.43e-05	0.993602049233515	6.43e-05	0.993602049233515	 
(Intercept)	CAG776	NA	-0.125680391347101	0.301998735833432	-0.416161978295235	1	0.0047	0.945342608707651	0.0047	0.945342608707651	 
(Intercept)	CAG81	NA	0.195228149035778	0.227696603426456	0.857404748678365	1	0.07148	0.789193966034668	0.07148	0.789193966034668	 
(Intercept)	CAG873	NA	-0.440993565270358	0.322186316189147	-1.36875324342286	1	0.01007	0.920066948086365	0.01007	0.920066948086365	 
(Intercept)	CAG95	NA	0.14583463574539	0.214564797037761	0.679676432288773	1	0.01657	0.897575638968075	0.01657	0.897575638968075	 
(Intercept)	Chao1	NA	-0.142465280619502	0.15068894548983	-0.945426223246856	1	0.006431	0.936083347078806	0.006431	0.936083347078806	 
(Intercept)	Clostridium	NA	-0.0610108878981126	0.148753411603019	-0.410147822766805	1	0.1612	0.68805410069791	0.1612	0.68805410069791	 
(Intercept)	ClostridiumQ	NA	0.116276512768667	0.297970571508924	0.390228176493546	1	0.01324	0.90839344389056	0.01324	0.90839344389056	 
(Intercept)	COE1	NA	0.497088979290796	0.279279512003044	1.77989776523735	1	0.0004738	0.982633860074511	0.0004738	0.982633860074511	 
(Intercept)	D1663	NA	-0.0742712312751162	0.1889582812809	-0.393056238507519	1	3.448e-05	0.995314874871775	3.448e-05	0.995314874871775	 
