feature	herit	herit.se	LRT.pval
Acetatifactor	0.0884727492426196	0.0800763503259515	0.267870581690778
Acutalibacter	0.024522807075522	0.0763327502293576	0.746332501965536
Adlercreutzia	0.212121615278567	0.0775555538881357	0.00321298722123242
AF3328	0.178315729383166	0.0791822626946008	0.0158299049484297
Akkermansia	0.19055581093687	0.0809747707725588	0.0159353488092759
Alistipes	0.0773566445671998	0.0411429655409962	0.0302892629068909
AM0715	0.102757006546977	0.0826431468863661	0.204987115307369
Anaerotignum	2.70496907486226e-07	0.0728946437569555	1
Anaerotruncus	3.21616673836262e-07	1.25839177483128e-08	0.999139431136196
AnaerovoracaceaeNOV	0.0652095307502475	0.0809036217767398	0.41771359919186
Angelakisella	1.69040821679141e-07	0.0665434318263368	1
ASF356	0.144452398207414	0.077442017169298	0.0375336400388886
Bacteroides	0.00757886968794114	0.0751816874530941	0.926161668201888
Bifidobacterium	0.195988166556841	0.0628634197457991	0.000345467558524493
BorkfalkiaceaeNOV	0.0795014455418372	0.0748376146096578	0.257253644532422
ButyricicoccaceaeNOV	0.230695085123793	0.0873811085516744	0.00641269819421564
CAG115	0.0328186207495107	0.0483664533192814	0.536360044374624
CAG145	0.0733638824785032	0.0806277531600198	0.371844142467576
CAG273	0.0257722312748452	0.0740472384412041	0.719829492292851
CAG274NOV	8.72220872300272e-08	4.15429665861788e-09	0.992536799601677
CAG303	0.0138177348601306	0.0626796683661544	0.814765561930428
CAG41	3.63037609030888e-08	0.0665768982704693	0.986930657624203
CAG475	0.0757143926589094	0.0790270792289365	0.318536317952896
CAG485	0.0962954075519098	0.0772472968659511	0.219866788368435
CAG510	0.0376723851815603	0.029530254437448	0.159309424277917
CAG552NOV	0.186677773947175	0.0866754312958639	0.0260159405573592
CAG56	0.125676383366708	0.0709717992151174	0.0517269295749775
CAG582	0.117957071535348	0.0834812410837884	0.14761942956557
CAG776	1.23668291199031e-07	5.86610768525507e-09	0.991491178742667
CAG81	4.52609369384708e-07	2.00211735757904e-08	1
CAG873	0.152644211077346	0.0845022879537246	0.0687984358869936
CAG95	0.0560050756959918	0.0777566964472137	0.451113093666619
Chao1	2.7484933053283e-07	9.88313636174792e-09	1
Clostridium	2.85277717944242e-08	1.85159016643821e-09	1
ClostridiumQ	0.139546764531476	0.0804567942333482	0.0642618609325194
COE1	0.0975735570796826	0.0800385510641441	0.197469941253913
D1663	0.0940877093083788	0.0727893322853414	0.171908368312745
Desulfovibrio	0.262428256368605	0.0721773739837437	1.58457412862134e-05
Dorea	0.0529798678788467	0.0744216232208872	0.472611268474104
Dubosiella	0.00654336730605202	0.05640883326375	0.911030624209421
Duncaniella	0.106893694110337	0.0835454825182656	0.200572808686778
Emergencia	1.35259433418554e-07	0.0800135747468071	1
EnterococcusD	0.140240838106681	0.0763172064127648	0.0404761893263119
ErysipelatoclostridiaceaeNOV	0.3237746355943	0.0875474571337296	0.00057586548502131
Erysipelatoclostridium	0.155972475242066	0.0832125322584222	0.0646245700766764
ErysipelotrichaceaeNOV	0.0676686789214061	0.0701491217316543	0.281189549320271
Escherichia	0.111866266587288	0.0743809763092903	0.0971284853563772
EubacteriumF	4.11163267047848e-08	2.32781509228027e-09	0.99974657641572
EubacteriumG	8.02993142266923e-08	0.0698271677305846	0.995043051220518
EubacteriumJ	0.0875988429677553	0.0774912436520257	0.217551459573294
Evtepia	0.0129288498716422	0.0752258754051782	0.863852730747086
Flavonifractor	8.9097806662331e-08	4.0091707208137e-09	1
HungatellaA	0.221831980343691	0.0818876706211669	0.00318542961581481
Ileibacterium	0.259271405069313	0.0796517898492953	9.86612772820861e-05
Kineothrix	0.203419212884014	0.0792108678493247	0.00429689609050976
Lachnospira	0.143241017003593	0.0753418978987017	0.0443352800046135
LachnospiraceaeNOV	0.0476126822714791	0.0763267079931167	0.523530957713574
Lactobacillus	0.263152730655785	0.0800257770832257	0.000103479067496193
Lawsonibacter	0.0436645066433807	0.0686755000340808	0.48397146567696
Ligilactobacillus	0.0518166016699641	0.0489651368412007	0.272550423023865
Limosilactobacillus	0.15464555365634	0.0744091306028443	0.017363899982431
Mailhella	0.080647758438553	0.073356006727235	0.249616053729508
MarseilleP3106	0.0968413167361543	0.0762520628743745	0.16234191506393
MuribaculaceaeNOV	0.00544870867855882	0.048679435181065	0.910564625194735
Muribaculum	0.182124770875342	0.0800788174360316	0.0186389445093579
Oscillibacter	0.0790639606359185	0.0734072973618774	0.228039853974532
OscillospiraceaeNOV	0.117455675706254	0.074937975556729	0.0853187095326957
Paramuribaculum	0.0471332238151518	0.0824137318768369	0.587925906046801
Parvibacter	0.186861989306171	0.0834928278663207	0.0179772610749606
PCoA1	0.103310845043134	0.0832218488388169	0.198458174490786
PCoA2	0.118120908543408	0.0795691715030843	0.112807671569055
PCoA3	0.0891742159777563	0.0690096306448762	0.194558066643585
Prevotella	0.11842101810339	0.079955010870209	0.13386703588186
Romboutsia	3.20291588505949e-07	2.51519016735647e-08	1
Roseburia	0.0809665211926084	0.0641182138398271	0.181330588669761
RuminiclostridiumE	0.0494052524317851	0.0600135816460147	0.366351350554715
Schaedlerella	0.09997959436097	0.0792570144916134	0.195832717938725
Shannon	0.0970565299399948	0.0805966179470026	0.219500615973161
Simpson	0.121699829580838	0.0860807478441444	0.177641068792068
Staphylococcus	0.0165063992768418	0.0535263297738388	0.768030848431499
TF0111	0.155698850381963	0.08344423976774	0.0562859757437213
Turicibacter	0.114346672091785	0.0654798740270044	0.0561064049764032
UBA11940	0.0487264143744242	0.0698443052968148	0.453037289830917
UBA11957	0.202794317912821	0.080387397124038	0.00471343208731978
UBA1394	0.0652518930251715	0.0810683191668539	0.420769906906395
UBA1405	0.0347553976509168	0.0494457807238711	0.467763182008744
UBA2882	0.209306047923503	0.0861863629473144	0.00920760431493961
UBA3282	5.3307147776668e-08	1.63037467011998e-09	1
UBA3700	0.133702782958746	0.0787751082299647	0.0583817138569895
UBA3700NOV	0.127768276992878	0.0829548415716185	0.120049731836546
UBA3818	0.0777414071279962	0.0779953507840666	0.285413924449129
UBA7160	0.0786013857262553	0.0771457003889178	0.293967692722178
UBA7173	0.0400675255368183	0.0754409492416189	0.58507060902683
UBA7182	0.120346879359471	0.0813034058073578	0.125919948118516
UBA946	0.218022053215036	0.0807964882871774	0.00367538330677608
UBA9475	0.0681570770763994	0.0695777862715426	0.294397829877263
UBA9502	0.0386766345330054	0.0773480749163311	0.622597460875473
UMGS1004	0.193966135254017	0.0824050603940639	0.0104712055458631
UMGS1217	2.17319558009635e-07	1.09609661637983e-08	1
UMGS1370	0.0677832681308457	0.0781531732731626	0.364411413377618
UMGS1815	0.0754509034026175	0.0832325872295438	0.373830167629191
UMGS1872	4.48911306211556e-08	0.0727905187002063	1
UMGS268	0.153400659773118	0.0790674354219574	0.0365569369303216
uniq	0.0847509537896	0.0770921870421532	0.228059587483641
X142	0.116359582980047	0.081727096277201	0.16022711584221
X1XD4269	0.0156569065024989	0.0721043492034441	0.833549098697069
X1XD876	0.0633691247422866	0.0791481099235564	0.418053478876121
