term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	0.00145588171941763	0.0219562034728885	0.0663084454111275	P	2.6	0.00142246737184307	Acetatifactor
Batch	0.0275228739216443	0.0339870293888892	0.809805223243249	P	0.3	0.0268911887626077	Acetatifactor
Cage	0.0483612052274239	0.0402984718565662	1.20007541227755	P	0.2	0.0472512537121042	Acetatifactor
vm(Mouse, kinship.mat.x2)	0.192286218669873	0.114376885538254	1.68116326795384	P	0.4	0.187873004011883	Acetatifactor
units!R	0.753864234537902	0.0985424290178034	7.65014869282046	P	0	0.736562086141562	Acetatifactor
Cohort	0.0511524241520201	0.0543948468722998	0.940390994612195	P	0	0.0543807578586141	Acutalibacter
Batch	0.0611182765324724	0.0518388680534979	1.17900484380558	P	0	0.0649755754873045	Acutalibacter
Cage	0.131692643375708	0.0455421137325896	2.89166735099231	P	0	0.140004034410799	Acutalibacter
vm(Mouse, kinship.mat.x2)	3.56753370155687e-08	NA	NA	B	NA	3.79268802198396e-08	Acutalibacter
units!R	0.696671252187257	0.0759254499403518	9.17572767411418	P	0	0.740639594316402	Acutalibacter
Cohort	0.132911201507575	0.0722340476681936	1.84000766671836	P	0	0.128375687768475	Adlercreutzia
Batch	9.66295151238249e-08	NA	NA	B	NA	9.33320918180715e-08	Adlercreutzia
Cage	0.062735794568401	0.0362880510085317	1.7288278875504	P	0	0.060594973817622	Adlercreutzia
vm(Mouse, kinship.mat.x2)	0.253700237600297	0.101068548421885	2.51017988841879	P	0	0.245042871628147	Adlercreutzia
units!R	0.585982675070936	0.0807251912285323	7.25898156638643	P	0	0.565986373453665	Adlercreutzia
Cohort	0.0215456838738441	0.0255122428594321	0.844523313475689	P	0.2	0.0225156572380735	AF3328
Batch	0.0063832597819974	0.0265530433862539	0.24039654095929	P	0.6	0.00667063018999873	AF3328
Cage	0.045214387044175	0.0372054341597435	1.21526298685414	P	0.1	0.0472499107884943	AF3328
vm(Mouse, kinship.mat.x2)	0.077793630340303	0.0977033303149126	0.796222913687408	P	0	0.0812958514709307	AF3328
units!R	0.805983090016898	0.0951942693141843	8.46671859370849	P	0	0.842267950312503	AF3328
Cohort	0.0323218427884778	0.0382091282246372	0.8459193991146	P	0.1	0.0324632882004063	Akkermansia
Batch	0.0360829076317282	0.0404886391814493	0.891185981085292	P	0.2	0.0362408120484705	Akkermansia
Cage	0.113588048931123	0.0435660922609804	2.60725814586902	P	0.2	0.114085127902652	Akkermansia
vm(Mouse, kinship.mat.x2)	0.267813825200966	0.104661329498862	2.55886129560275	P	0.6	0.268985820160338	Akkermansia
units!R	0.545836287186795	0.0807241543058386	6.76174673962878	P	0	0.548224951688134	Akkermansia
Cohort	0.0147459116115493	0.0232098498642942	0.635329900786401	P	0.1	0.0141168969278606	Alistipes
Batch	2.02745052198395e-07	NA	NA	B	NA	1.94096579439468e-07	Alistipes
Cage	0.166229104401494	0.0529465499325954	3.13956442134786	P	0	0.159138288297383	Alistipes
