PCoA1,PCoA2,Diet.5mo.as.AL,age.approx.months
 0.11723231, 0.10220661,20,46
-0.12664774, 0.18012201,40,46
 0.37093659, 0.06996559,40,46
 0.30552389, 0.13073075,40,46
 0.11385312, 0.02206986,40,46
 0.23670267,-0.02002784,40,46
-0.07082850,-0.00305103,40,46
 0.42833327,-0.06352340,40,46
 0.06709444,-0.08051323,40,46
 0.11393457, 0.09998088,1D,40
-0.25814593,-0.09816022,1D,40
 0.27473629, 0.03276487,20,40
 0.22109200, 0.04335738,20,40
 0.11186744, 0.06728138,20,40
-0.06990709, 0.06824046,20,40
 0.08355408, 0.10892499,20,40
 0.09989223, 0.16687934,20,40
-0.05264099, 0.09705277,20,40
 0.02975266, 0.11554299,20,40
-0.05029419, 0.10993434,20,40
-0.00926147, 0.14000586,20,40
 0.15237539, 0.09539240,20,40
 0.20824909, 0.10934429,20,40
 0.34447417, 0.02727351,20,40
 0.25644214, 0.02946217,20,40
-0.21021056, 0.03024470,20,40
 0.38455683,-0.05019315,20,40
 0.10913457,-0.06237760,20,40
 0.13478998, 0.09012742,20,40
-0.23321515,-0.01641453,20,40
-0.21103386,-0.00900318,20,40
 0.01824087, 0.16170841,20,40
 0.03490720, 0.08019347,20,40
 0.37122914,-0.05812372,2D,40
-0.29662790, 0.05214239,2D,40
-0.24489889,-0.00585705,2D,40
-0.04912718, 0.11327001,2D,40
-0.18622293, 0.05500532,2D,40
 0.15980957, 0.00741713,2D,40
 0.34228304, 0.01398554,2D,40
 0.19495773, 0.04418710,2D,40
-0.26431842, 0.05225693,2D,40
 0.02228948, 0.19138265,40,40
-0.06280065, 0.05852124,40,40
 0.07654954, 0.05676672,40,40
 0.10425598, 0.11026651,40,40
 0.36468568, 0.03988987,40,40
 0.16315316, 0.14539584,40,40
 0.16513428, 0.00304419,40,40
 0.00581272, 0.16702163,40,40
-0.07566031, 0.01774050,40,40
-0.09981529, 0.21781794,40,40
 0.05248201, 0.05004679,40,40
 0.33117409, 0.02609063,40,40
 0.30791873, 0.03386277,40,40
 0.15388449, 0.06759788,40,40
 0.29124646, 0.08233070,40,40
 0.36411280, 0.05069985,40,40
 0.17570440, 0.04895535,40,40
 0.01053225, 0.19775949,40,40
 0.32996598, 0.07209626,40,40
 0.12845399, 0.09618132,40,40
 0.00193875, 0.18387511,40,40
 0.21769520, 0.14261652,40,40
 0.04278622, 0.14062860,40,40
 0.28401343, 0.12340415,40,40
 0.30394308,-0.09688273,40,40
 0.20778031, 0.14475646,40,40
-0.10338428, 0.00893614,40,40
 0.13647246, 0.13757227,40,40
 0.17138876, 0.15397742,40,40
-0.01495812, 0.05120912,40,40
-0.02489295, 0.11389188,40,40
-0.01834212, 0.10581244,40,40
 0.09760314, 0.16129083,40,40
-0.03699051,-0.06227476,AL,40
-0.07550482,-0.21355034,AL,40
-0.16844332, 0.15079540,AL,40
 0.06475161, 0.04211327,1D,34
 0.17566240, 0.08352508,1D,34
-0.17834128, 0.12394816,1D,34
-0.13701485, 0.03280344,1D,34
 0.21751100,-0.02983886,1D,34
-0.13557608, 0.03576797,1D,34
-0.06970810,-0.01001479,1D,34
 0.14320073,-0.03958402,1D,34
 0.35312468,-0.00428782,1D,34
 0.25209589, 0.02237128,1D,34
-0.21772203,-0.13944166,1D,34
 0.15395918,-0.03193437,1D,34
-0.17833845, 0.07201883,1D,34
 0.08592689,-0.03395080,1D,34
 0.17536811, 0.03884892,1D,34
-0.08162255, 0.10807562,1D,34
 0.28031947, 0.00707852,1D,34
-0.31042977,-0.06371247,1D,34
-0.07605328, 0.09061483,1D,34
 0.00512576, 0.03274937,1D,34
-0.16650350, 0.08415562,1D,34
-0.02742984, 0.07798186,1D,34
-0.00173671, 0.03189209,1D,34
 0.17346158,-0.12126889,1D,34
-0.07027936,-0.00257188,1D,34
 0.08708483, 0.01272829,1D,34
-0.02348510, 0.07047749,1D,34
-0.21375430, 0.12834678,1D,34
 0.10863530, 0.07022381,1D,34
 0.21932385, 0.04982842,1D,34
-0.18216336, 0.19142006,1D,34
-0.03633114, 0.08799301,20,34
-0.20768890, 0.10431364,20,34
-0.26282851,-0.15543263,20,34
 0.17742101, 0.02372921,20,34
 0.30505242,-0.03856298,20,34
 0.01476115, 0.21085018,20,34
 0.04152698, 0.07516917,20,34
 0.07415914, 0.06180371,20,34
-0.00639807, 0.12850780,20,34
 0.14191677,-0.00323863,20,34
 0.34613824, 0.02728419,20,34
 0.22344411,-0.12621825,20,34
 0.05392608, 0.11386063,20,34
-0.16791464, 0.10934444,20,34
-0.09185040, 0.10061203,20,34
-0.12355234, 0.08129343,20,34
 0.07167523, 0.07298008,20,34
-0.02505154, 0.11161229,20,34
-0.11314642, 0.03165980,20,34
 0.04417755, 0.11637697,20,34
-0.18959898, 0.24140096,20,34
 0.01702526, 0.23792216,20,34
 0.15953486, 0.14854203,20,34
 0.08897469, 0.15373374,20,34
-0.13970305, 0.09236326,20,34
-0.13000913, 0.02466742,20,34
-0.08294938, 0.13140493,20,34
-0.19401553, 0.06594443,20,34
 0.30074486, 0.03676796,20,34
-0.10572182,-0.19168528,20,34
 0.38420683, 0.01615172,20,34
-0.00266104, 0.17688080,20,34
 0.18337013, 0.03356347,20,34
-0.17858418,-0.08575097,20,34
 0.09411367, 0.01728502,20,34
 0.19473897, 0.02658937,20,34
 0.25639074, 0.00242284,20,34
 0.08802507, 0.16534285,20,34
 0.04790819, 0.03159142,20,34
 0.13062929, 0.02090736,20,34
-0.03966777, 0.22428021,20,34
 0.20605405, 0.06978105,20,34
 0.42701844,-0.06977994,20,34
 0.26956704,-0.00401538,20,34
 0.30934912, 0.01635504,20,34
-0.09675828, 0.09255406,20,34
-0.15803810, 0.08190244,20,34
 0.06809820, 0.20070688,2D,34
 0.35135080, 0.00804063,2D,34
-0.04372982, 0.22322255,2D,34
-0.25324626,-0.14929003,2D,34
 0.28377844,-0.01846525,2D,34
-0.03554050, 0.03799528,2D,34
-0.18647530,-0.18492373,2D,34
 0.08525451, 0.05676356,2D,34
 0.26895266,-0.01438208,2D,34
-0.11165574,-0.04093579,2D,34
 0.15649289, 0.02615489,2D,34
 0.27383996,-0.08824644,2D,34
-0.02098874, 0.12999783,2D,34
 0.15353139, 0.06931758,2D,34
 0.42203452,-0.01883620,2D,34
 0.22989061,-0.00691974,2D,34
 0.17133665, 0.05287080,2D,34
-0.12563680, 0.07125255,2D,34
 0.19765677,-0.02656392,2D,34
 0.05361463, 0.04208349,2D,34
 0.08764295, 0.05568260,2D,34
 0.23853613, 0.00817094,2D,34
 0.21915764, 0.05793628,2D,34
 0.03479347,-0.07448675,2D,34
-0.15553772, 0.08893142,2D,34
 0.29652656,-0.06828217,2D,34
 0.04257560, 0.11900562,2D,34
 0.13705843, 0.01214428,2D,34
-0.26018494, 0.21633758,2D,34
 0.12376503, 0.03730742,2D,34
 0.08624707, 0.05028138,2D,34
 0.19170421, 0.02817114,2D,34
-0.07689253,-0.22196444,2D,34
 0.33479882,-0.07918824,2D,34
 0.11429060, 0.06108172,40,34
 0.30996835,-0.01279706,40,34
 0.30702234, 0.01763922,40,34
 0.16538581, 0.10696812,40,34
 0.03941303, 0.15312253,40,34
-0.04736122, 0.22230262,40,34
-0.01932894, 0.16587496,40,34
-0.00844637, 0.27907378,40,34
-0.15309351, 0.13029924,40,34
 0.04924422, 0.07768425,40,34
 0.23468114, 0.09137989,40,34
 0.14412726, 0.18227937,40,34
 0.10163067, 0.14894953,40,34
 0.19010816, 0.09156867,40,34
-0.03100234, 0.13567057,40,34
 0.23596136, 0.04624738,40,34
-0.06772469, 0.06320316,40,34
 0.01875448, 0.23282015,40,34
 0.04659095, 0.12854399,40,34
 0.09942343, 0.10226541,40,34
 0.16455328, 0.11699198,40,34
 0.08453393, 0.10912103,40,34
 0.17309999, 0.11325765,40,34
 0.00960143, 0.12817909,40,34
 0.32687118, 0.01598030,40,34
-0.08971346, 0.14452154,40,34
 0.13535794, 0.07355885,40,34
 0.25568343, 0.11454231,40,34
 0.26331336, 0.08205488,40,34
 0.17173707, 0.13642796,40,34
 0.12786859, 0.16661079,40,34
-0.06339079, 0.24911515,40,34
 0.25477039, 0.07502753,40,34
-0.17654611, 0.27065094,40,34
-0.00464376, 0.19828355,40,34
 0.18713781, 0.08993714,40,34
-0.07496973, 0.23314683,40,34
 0.13080332, 0.09777610,40,34
-0.02936654, 0.19681044,40,34
 0.06399494,-0.03408021,40,34
 0.04563146, 0.21019136,40,34
 0.12021186, 0.06037936,40,34
 0.37029053, 0.07206965,40,34
 0.15468330, 0.17028402,40,34
 0.27652949, 0.06159678,40,34
 0.08808409, 0.19532996,40,34
 0.11433130, 0.06195379,40,34
-0.05291479, 0.03437952,40,34
 0.33562462, 0.01063764,40,34
 0.14242518,-0.18116643,AL,34
 0.16320193,-0.07401681,AL,34
 0.19010768, 0.00282215,AL,34
-0.06018705,-0.12415793,AL,34
-0.09326797, 0.20347623,AL,34
 0.23324983, 0.02268163,AL,34
 0.25662072, 0.01495273,AL,34
-0.01189597, 0.05845939,AL,34
-0.07597170, 0.12338461,AL,34
-0.15213950, 0.01037607,AL,34
-0.03291475, 0.15299323,AL,34
-0.12311638,-0.02004626,AL,34
-0.29092923,-0.02164085,AL,34
 0.27387342, 0.01082366,AL,34
-0.07392029, 0.04368265,1D,28
 0.26046851,-0.01077338,1D,28
 0.31144176,-0.10320030,1D,28
 0.21259064, 0.01851170,1D,28
 0.23242673, 0.01962075,1D,28
 0.22402020,-0.22692982,1D,28
 0.35760890,-0.04679680,1D,28
 0.15407913,-0.11237028,1D,28
 0.37677595,-0.10726737,1D,28
 0.25119885,-0.18905778,1D,28
 0.15278324, 0.01098229,1D,28
-0.01136827, 0.09749803,1D,28
 0.06394253, 0.00337517,1D,28
-0.25943747, 0.01819167,1D,28
 0.28332693,-0.07284028,1D,28
 0.04953613,-0.07763961,1D,28
 0.02615636, 0.04501200,1D,28
-0.16757196, 0.21684930,1D,28
 0.11222571, 0.03383086,1D,28
-0.30841694,-0.04032167,1D,28
 0.25004401, 0.04466260,1D,28
 0.09604540, 0.06157188,1D,28
 0.07742830, 0.05639344,1D,28
 0.02750569, 0.04086761,1D,28
-0.15483113, 0.08608445,1D,28
 0.08619472, 0.01477942,1D,28
 0.25002401, 0.00845488,1D,28
 0.05912487,-0.27021903,1D,28
-0.05898960,-0.12319073,1D,28
-0.18829854,-0.20886387,1D,28
-0.17514903, 0.10986919,1D,28
-0.07098872, 0.03726673,1D,28
 0.00172680, 0.01627973,1D,28
-0.09024419, 0.02915176,1D,28
 0.13652887, 0.04572625,1D,28
 0.27477230,-0.05856457,1D,28
 0.34610837,-0.07623695,1D,28
 0.14805400,-0.00387724,1D,28
-0.27523772, 0.03118459,1D,28
 0.24551409,-0.03212766,1D,28
 0.12375324, 0.07664459,1D,28
-0.19167650, 0.03104443,1D,28
-0.24204480, 0.00845156,1D,28
-0.22989520, 0.20683001,1D,28
 0.10415763, 0.04521952,1D,28
 0.16798235, 0.02913022,1D,28
-0.09028898, 0.03875078,1D,28
 0.09939555,-0.25233021,1D,28
