solution,neg.log10padj,is.sig,label
-0.29333083,16.00000000,TRUE,ASF356
 0.48410529,16.00000000,TRUE,Bifidobacterium
-0.20527775,16.00000000,TRUE,CAG475
 0.26032955,16.00000000,TRUE,EnterococcusD
-0.20746378,16.00000000,TRUE,
 0.37221470,16.00000000,TRUE,Ligilactobacillus
 0.43801243,16.00000000,TRUE,Turicibacter
 0.30142770,16.00000000,TRUE,uniq
-0.19096639,13.88381331,TRUE,UBA3700NOV
-0.24808495,13.88381331,TRUE,UMGS268
-0.17154162,12.65062833,TRUE,UBA7182
-0.19968771,11.71610361,TRUE,CAG273
 0.27115560,11.71610361,TRUE,Dubosiella
 0.20356006,11.05388330,TRUE,Escherichia
-0.17594990,10.45062069,TRUE,
 0.21307528, 9.70466260,TRUE,
-0.22010612, 9.70466260,TRUE,
-0.18460830, 9.70286098,TRUE,
-0.18482288, 9.29568856,TRUE,
-0.16452412, 9.09581440,TRUE,
-0.19060955, 8.93919862,TRUE,
 0.30089719, 8.71034216,TRUE,
-0.15841024, 8.64510826,TRUE,
-0.17762956, 8.23837541,TRUE,
-0.19074192, 7.94855205,TRUE,
 0.29933525, 7.79462547,TRUE,
-0.24648794, 7.79462547,TRUE,
-0.13531912, 7.77434143,TRUE,
-0.16708188, 7.77434143,TRUE,
-0.15032277, 7.16358036,TRUE,
-0.15901048, 7.06373556,TRUE,
-0.16911180, 6.62512526,TRUE,
-0.14947406, 6.43663153,TRUE,
-0.14441051, 6.11721871,TRUE,
-0.17878651, 5.80359515,TRUE,
-0.14924926, 5.32643586,TRUE,
-0.12630944, 5.20951903,TRUE,
-0.14364376, 5.18492056,TRUE,
-0.18196065, 5.11476033,TRUE,
-0.15098460, 4.87658882,TRUE,
 0.21143907, 4.81927036,TRUE,
 0.14091757, 4.69353141,TRUE,
-0.10694012, 4.62511287,TRUE,
 0.12582184, 4.62511287,TRUE,
 0.16021059, 4.47789878,TRUE,
 0.13653261, 4.46718237,TRUE,
-0.11279025, 4.46718237,TRUE,
-0.13186223, 4.42621031,TRUE,
-0.13302853, 4.40098077,TRUE,
-0.12032101, 4.03745701,TRUE,
-0.08960495, 3.45925457,TRUE,
-0.12161805, 3.45925457,TRUE,
-0.10999392, 3.43289064,TRUE,
-0.09064355, 3.33697681,TRUE,
-0.11791993, 3.22449098,TRUE,
 0.10866035, 3.11623447,TRUE,
 0.13246922, 3.09602164,TRUE,
 0.15797489, 2.75103052,TRUE,
-0.09193423, 2.40835368,TRUE,
-0.10302686, 2.36729735,TRUE,
-0.10863451, 2.22939614,TRUE,
 0.06808581, 2.20400629,TRUE,
 0.09085102, 2.11574580,TRUE,
 0.14098503, 2.08156293,TRUE,
-0.08282905, 2.04888431,TRUE,
-0.07675196, 1.91869730,FALSE,
-0.08684952, 1.86290555,FALSE,
-0.09382712, 1.68989126,FALSE,
 0.13276330, 1.65099655,FALSE,
 0.08820304, 1.63457668,FALSE,
-0.07903897, 1.50593538,FALSE,
-0.07786034, 1.41246829,FALSE,
-0.06870803, 1.33448817,FALSE,
 0.07255087, 1.23192828,FALSE,
 0.05150813, 1.23160830,FALSE,
 0.07955644, 1.14767732,FALSE,
-0.04768821, 1.09977230,FALSE,
-0.05592947, 1.03451761,FALSE,
-0.05403803, 1.02631408,FALSE,
 0.05972040, 1.00368087,FALSE,
-0.05314088, 0.86832070,FALSE,
-0.05546811, 0.84709682,FALSE,
-0.04991821, 0.71723085,FALSE,
 0.05430666, 0.71046580,FALSE,
-0.03926434, 0.69355177,FALSE,
-0.03595353, 0.63970538,FALSE,
-0.03494908, 0.54783922,FALSE,
-0.03982350, 0.52915110,FALSE,
 0.03223214, 0.49945383,FALSE,
-0.03526669, 0.46869967,FALSE,
-0.02266755, 0.43544029,FALSE,
 0.02998433, 0.43291960,FALSE,
 0.02602857, 0.41544476,FALSE,
 0.02657219, 0.39979337,FALSE,
-0.02278336, 0.36646917,FALSE,
 0.02613941, 0.32667117,FALSE,
-0.02006736, 0.31498286,FALSE,
 0.02126460, 0.31498286,FALSE,Shannon
-0.02838953, 0.28510443,FALSE,
-0.01763936, 0.16550223,FALSE,
 0.01207630, 0.14775111,FALSE,Simpson
 0.01056705, 0.09236166,FALSE,
 0.00586989, 0.06794675,FALSE,
 0.00658134, 0.06428586,FALSE,
-0.00402262, 0.05033198,FALSE,
-0.00496583, 0.05033198,FALSE,
-0.00488027, 0.04313779,FALSE,
