age.approx.months,mean,sem,Diet
 5,0.1681436,0.00127804,Combined
 8,0.1836825,0.00258082,Combined
10,0.1903335,0.00158913,Combined
16,0.1967781,0.00153452,Combined
22,0.1940373,0.00155315,Combined
28,0.2083257,0.00209476,Combined
34,0.2172446,0.00315084,Combined
40,0.2336985,0.00468241,Combined
 5,0.1681436,0.00127804,AL
 8,0.1772897,0.00458902,AL
10,0.1684800,0.00324236,AL
16,0.1844006,0.00348545,AL
22,0.1888724,0.00400281,AL
28,0.2042688,0.00670733,AL
34,0.2251084,0.01125217,AL
40,0.2168455,0.02571476,AL
 8,0.1761760,0.00521646,1D
10,0.1946411,0.00395140,1D
16,0.1984437,0.00347630,1D
22,0.1882956,0.00298513,1D
28,0.2044529,0.00501314,1D
34,0.2094073,0.00774573,1D
 8,0.1895293,0.00515810,2D
10,0.2041398,0.00389532,2D
16,0.1966998,0.00398491,2D
22,0.1975382,0.00404479,2D
28,0.2054026,0.00408282,2D
34,0.2161320,0.00692602,2D
40,0.2264128,0.01466542,2D
 8,0.1726382,0.00530333,20
10,0.1858515,0.00241971,20
16,0.2034276,0.00343161,20
22,0.1927063,0.00279304,20
28,0.2157639,0.00463198,20
34,0.2180562,0.00678786,20
40,0.2332514,0.00804722,20
 8,0.2026090,0.00695038,40
10,0.2014773,0.00314337,40
16,0.2028085,0.00208471,40
22,0.2031711,0.00311071,40
28,0.2102898,0.00359920,40
34,0.2199495,0.00533023,40
40,0.2403640,0.00647569,40
