stool.ID,actual.age.approx.months,pred.age.months
DO_AL_0131_096w,22.08,12.365
DO_AL_0147_096w,22.08,19.706
DO_AL_0051_069w,15.87,17.404
DO_AL_0175_021w, 4.83,10.465
DO_AL_0056_020w, 4.60, 7.897
DO_AL_0032_035w, 8.05, 9.114
DO_AL_0096_069w,15.87,19.933
DO_AL_0068_095w,21.85,20.302
DO_AL_0073_021w, 4.83, 7.942
DO_AL_0004_038w, 8.74, 8.344
DO_AL_0119_069w,15.87,18.224
DO_AL_0025_121w,27.83,23.260
DO_AL_0112_020w, 4.60, 7.157
DO_AL_0114_096w,22.08,22.595
DO_AL_0006_097w,22.31,19.057
DO_AL_0173_021w, 4.83, 9.094
DO_AL_0134_096w,22.08,16.510
DO_AL_0062_069w,15.87,20.308
DO_AL_0184_021w, 4.83, 8.329
DO_AL_0119_044w,10.12,10.500
DO_AL_0042_044w,10.12, 9.282
DO_AL_0180_096w,22.08,23.755
DO_AL_0161_097w,22.31,13.613
DO_AL_0005_121w,27.83,19.934
DO_AL_0099_069w,15.87,22.548
DO_AL_0039_023w, 5.29, 6.923
DO_AL_0067_021w, 4.83, 8.111
DO_AL_0047_121w,27.83,20.864
DO_AL_0065_021w, 4.83, 8.704
DO_AL_0091_121w,27.83,24.460
DO_AL_0020_069w,15.87,16.761
DO_AL_0041_069w,15.87, 9.537
DO_AL_0045_023w, 5.29, 9.619
DO_AL_0094_044w,10.12, 6.990
DO_AL_0085_096w,22.08,17.387
DO_AL_0192_021w, 4.83, 9.753
DO_AL_0011_038w, 8.74, 9.417
DO_AL_0137_021w, 4.83, 9.195
DO_AL_0025_097w,22.31,19.562
DO_AL_0102_069w,15.87,21.255
DO_AL_0066_148w,34.04,19.025
DO_AL_0175_097w,22.31,22.403
DO_AL_0031_043w, 9.89, 9.749
DO_AL_0145_021w, 4.83, 8.122
DO_AL_0010_069w,15.87,11.314
DO_AL_0046_044w,10.12, 9.375
DO_AL_0061_020w, 4.60, 9.120
DO_AL_0186_021w, 4.83,10.588
DO_AL_0008_069w,15.87,15.974
DO_AL_0172_097w,22.31,12.249
DO_AL_0003_121w,27.83,19.281
DO_AL_0019_069w,15.87,17.900
DO_AL_0129_021w, 4.83, 9.702
DO_AL_0099_044w,10.12,20.805
DO_AL_0087_022w, 5.06, 8.633
DO_AL_0025_069w,15.87,16.218
DO_AL_0092_069w,15.87,18.829
DO_AL_0134_044w,10.12,10.828
DO_AL_0090_096w,22.08,21.411
DO_AL_0033_069w,15.87,10.375
DO_AL_0030_035w, 8.05, 8.379
DO_AL_0046_023w, 5.29, 9.075
DO_AL_0018_043w, 9.89, 9.605
DO_AL_0157_148w,34.04,23.274
DO_AL_0126_044w,10.12,11.168
DO_AL_0154_021w, 4.83,10.602
DO_AL_0155_044w,10.12,17.755
DO_AL_0057_069w,15.87,16.360
DO_AL_0019_035w, 8.05, 9.376
DO_AL_0044_023w, 5.29, 7.867
DO_AL_0167_021w, 4.83, 9.362
DO_AL_0120_021w, 4.83,16.586
DO_AL_0107_020w, 4.60, 8.698
DO_AL_0024_097w,22.31,21.654
DO_AL_0047_096w,22.08,19.807
DO_AL_0039_069w,15.87,11.394
DO_AL_0012_148w,34.04,21.293
DO_AL_0021_035w, 8.05, 8.064
DO_AL_0051_044w,10.12, 6.690
DO_AL_0117_069w,15.87,19.183
DO_AL_0071_021w, 4.83, 8.336
DO_AL_0027_035w, 8.05, 8.179
DO_AL_0106_020w, 4.60, 9.023
DO_AL_0063_096w,22.08,22.529
DO_AL_0035_023w, 5.29, 7.059
DO_AL_0146_021w, 4.83, 9.739
DO_AL_0063_020w, 4.60, 8.008
DO_AL_0050_020w, 4.60, 6.434
DO_AL_0084_069w,15.87,19.828
DO_AL_0141_148w,34.04,23.234
DO_AL_0097_096w,22.08,19.483
DO_AL_0100_044w,10.12,17.036
DO_AL_0133_021w, 4.83, 8.659
DO_AL_0069_095w,21.85,19.152
DO_AL_0118_021w, 4.83,14.361
DO_AL_0072_095w,21.85,23.516
DO_AL_0112_069w,15.87,19.058
DO_AL_0166_097w,22.31,11.163
DO_AL_0088_022w, 5.06,10.253
DO_AL_0030_097w,22.31,23.839
DO_AL_0151_021w, 4.83,10.998
DO_AL_0029_035w, 8.05, 9.853
DO_AL_0125_021w, 4.83, 7.554
DO_AL_0179_021w, 4.83, 8.066
DO_AL_0168_021w, 4.83,10.480
DO_AL_0045_044w,10.12,10.121
DO_AL_0028_035w, 8.05, 8.274
DO_AL_0077_068w,15.64,12.589
DO_AL_0046_069w,15.87,11.462
DO_AL_0152_069w,15.87,18.889
DO_AL_0045_069w,15.87,13.369
DO_AL_0184_096w,22.08,20.474
DO_AL_0001_121w,27.83,20.775
DO_AL_0105_044w,10.12,18.763
DO_AL_0084_044w,10.12, 8.726
DO_AL_0153_069w,15.87,21.783
DO_AL_0091_069w,15.87,20.421
DO_AL_0179_069w,15.87,19.801
DO_AL_0014_097w,22.31,12.011
DO_AL_0106_044w,10.12,12.484
DO_AL_0133_044w,10.12,11.635
DO_AL_0071_068w,15.64,20.504
DO_AL_0076_068w,15.64,13.092
DO_AL_0108_044w,10.12,13.124
DO_AL_0175_121w,27.83,21.254
DO_AL_0157_096w,22.08,21.368
DO_AL_0040_023w, 5.29, 8.731
DO_AL_0067_068w,15.64,17.767
DO_AL_0012_069w,15.87,10.962
DO_AL_0021_097w,22.31,21.879
DO_AL_0024_043w, 9.89, 8.307
DO_AL_0052_096w,22.08,21.199
DO_AL_0118_044w,10.12,11.257
DO_AL_0142_121w,27.83,18.519
DO_AL_0056_069w,15.87,16.978
DO_AL_0077_120w,27.60,23.458
DO_AL_0048_044w,10.12, 9.230
DO_AL_0172_069w,15.87,10.324
DO_AL_0026_069w,15.87,16.755
DO_AL_0145_096w,22.08,18.043
DO_AL_0110_020w, 4.60, 8.816
DO_AL_0142_069w,15.87,12.580
DO_AL_0005_044w,10.12, 7.121
DO_AL_0116_069w,15.87,21.895
DO_AL_0189_069w,15.87,18.545
DO_AL_0112_044w,10.12,11.746
DO_AL_0047_069w,15.87,13.161
DO_AL_0014_038w, 8.74,10.145
DO_AL_0117_120w,27.60,22.912
DO_AL_0005_097w,22.31,17.019
DO_AL_0051_020w, 4.60, 6.203
DO_AL_0011_044w,10.12,10.368
DO_AL_0102_044w,10.12,18.569
DO_AL_0024_069w,15.87,18.559
DO_AL_0003_069w,15.87,14.973
DO_AL_0172_044w,10.12,10.416
DO_AL_0125_044w,10.12,12.439
DO_AL_0171_021w, 4.83, 9.095
DO_AL_0166_021w, 4.83,10.160
DO_AL_0117_148w,34.04,24.945
DO_AL_0055_096w,22.08,16.747
DO_AL_0152_021w, 4.83, 8.207
DO_AL_0141_044w,10.12,10.955
DO_AL_0057_044w,10.12, 7.380
DO_AL_0075_068w,15.64,13.282
DO_AL_0057_096w,22.08,18.996
