perc.increase.in.MSE,feature
 31.319,ASF356
 29.136,ASF356
 27.385,ASF356
 23.297,ASF356
 19.835,ASF356
 18.318,ASF356
 18.123,ASF356
 16.536,ASF356
 12.200,ASF356
 10.769,ASF356
100.692,Alistipes
 98.551,Alistipes
 87.214,Alistipes
 85.166,Alistipes
 82.011,Alistipes
 80.728,Alistipes
 77.223,Alistipes
 75.581,Alistipes
 71.301,Alistipes
 67.332,Alistipes
105.586,Bifidobacterium
 80.294,Bifidobacterium
 75.029,Bifidobacterium
 71.692,Bifidobacterium
 71.625,Bifidobacterium
 68.530,Bifidobacterium
 65.405,Bifidobacterium
 63.509,Bifidobacterium
 60.775,Bifidobacterium
 56.128,Bifidobacterium
 15.516,CAG510
 10.894,CAG510
 10.129,CAG510
  9.516,CAG510
  9.423,CAG510
  9.230,CAG510
  8.445,CAG510
  6.741,CAG510
  6.462,CAG510
  6.333,CAG510
  9.657,COE1
  9.513,COE1
  8.335,COE1
  6.632,COE1
  6.231,COE1
  5.681,COE1
  5.642,COE1
  5.516,COE1
  5.412,COE1
  3.423,COE1
 65.735,Desulfovibrio
 65.254,Desulfovibrio
 61.930,Desulfovibrio
 60.080,Desulfovibrio
 57.567,Desulfovibrio
 55.097,Desulfovibrio
 51.830,Desulfovibrio
 49.854,Desulfovibrio
 47.943,Desulfovibrio
 46.100,Desulfovibrio
824.104,Ligilactobacillus
818.164,Ligilactobacillus
815.736,Ligilactobacillus
811.779,Ligilactobacillus
808.002,Ligilactobacillus
805.302,Ligilactobacillus
799.358,Ligilactobacillus
792.203,Ligilactobacillus
780.857,Ligilactobacillus
756.942,Ligilactobacillus
 78.417,MuribaculaceaeNOV
 77.517,MuribaculaceaeNOV
 69.335,MuribaculaceaeNOV
 64.638,MuribaculaceaeNOV
 63.991,MuribaculaceaeNOV
 63.023,MuribaculaceaeNOV
 60.632,MuribaculaceaeNOV
 59.448,MuribaculaceaeNOV
 55.612,MuribaculaceaeNOV
 53.351,MuribaculaceaeNOV
 33.187,UBA11957
 22.829,UBA11957
 21.963,UBA11957
 20.736,UBA11957
 19.787,UBA11957
 12.670,UBA11957
 11.082,UBA11957
  9.945,UBA11957
  9.900,UBA11957
  9.486,UBA11957
  9.501,UBA1405
  9.161,UBA1405
  8.842,UBA1405
  8.398,UBA1405
  7.163,UBA1405
  7.094,UBA1405
  6.518,UBA1405
  6.231,UBA1405
  5.979,UBA1405
  3.988,UBA1405
