feature,term.clean,PVE,is.sig
Acetatifactor,Age,0.00893012,FALSE
Acetatifactor,Batch,0.02583726,TRUE
Acetatifactor,Cage,0.00283736,FALSE
Acetatifactor,Cohort,0.01189346,FALSE
Acetatifactor,Diet,0.00974660,TRUE
Acetatifactor,Genetics,0.08549759,TRUE
Acetatifactor,Mouse,0.10206088,TRUE
Acetatifactor,Time,0.05402603,TRUE
Acutalibacter,Age,0.00599127,FALSE
Acutalibacter,Batch,0.02578103,TRUE
Acutalibacter,Cage,0.01323952,FALSE
Acutalibacter,Cohort,0.02570492,TRUE
Acutalibacter,Diet,0.07650966,TRUE
Acutalibacter,Genetics,0.04671470,FALSE
Acutalibacter,Mouse,0.01610600,FALSE
Acutalibacter,Time,0.02573002,TRUE
Adlercreutzia,Age,0.00213867,FALSE
Adlercreutzia,Batch,0.04785201,TRUE
Adlercreutzia,Cage,0.03305708,TRUE
Adlercreutzia,Cohort,0.09454227,TRUE
Adlercreutzia,Diet,0.05852674,TRUE
Adlercreutzia,Genetics,0.12643121,TRUE
Adlercreutzia,Mouse,0.04645506,FALSE
Adlercreutzia,Time,0.02067669,TRUE
AF3328,Age,0.00000008,FALSE
AF3328,Batch,0.03724254,TRUE
AF3328,Cage,0.04105420,TRUE
AF3328,Cohort,0.00169530,FALSE
AF3328,Diet,0.02823592,TRUE
AF3328,Genetics,0.07108615,TRUE
AF3328,Mouse,0.03835368,FALSE
AF3328,Time,0.00765646,FALSE
Akkermansia,Age,0.00890199,FALSE
Akkermansia,Batch,0.03844375,TRUE
Akkermansia,Cage,0.02160035,TRUE
Akkermansia,Cohort,0.01201949,FALSE
Akkermansia,Diet,0.06300372,TRUE
Akkermansia,Genetics,0.10780397,TRUE
Akkermansia,Mouse,0.03484134,FALSE
Akkermansia,Time,0.04234492,TRUE
Alistipes,Age,0.00335336,FALSE
Alistipes,Batch,0.02015653,TRUE
Alistipes,Cage,0.01808086,TRUE
Alistipes,Cohort,0.00000001,FALSE
Alistipes,Diet,0.00481905,FALSE
Alistipes,Genetics,0.08454105,TRUE
Alistipes,Mouse,0.10420562,TRUE
Alistipes,Time,0.53641322,TRUE
AM0715,Age,0.02598629,TRUE
AM0715,Batch,0.00839104,FALSE
AM0715,Cage,0.03315630,TRUE
AM0715,Cohort,0.00000007,FALSE
AM0715,Diet,0.07525833,TRUE
AM0715,Genetics,0.07684779,TRUE
AM0715,Mouse,0.10815746,TRUE
AM0715,Time,0.00269429,FALSE
Anaerotignum,Age,0.02490069,TRUE
Anaerotignum,Batch,0.03233429,TRUE
Anaerotignum,Cage,0.03122887,TRUE
Anaerotignum,Cohort,0.03733303,TRUE
Anaerotignum,Diet,0.00000007,FALSE
Anaerotignum,Genetics,0.08402312,TRUE
Anaerotignum,Mouse,0.12002439,TRUE
Anaerotignum,Time,0.00867960,FALSE
Anaerotruncus,Age,0.00156219,FALSE
