feature,feature.order,solution,std.error,is.sig,DR
Acetatifactor, 65,-0.01606152,0.06941804,TRUE,1D
Acetatifactor, 65, 0.18738037,0.06873537,TRUE,2D
Acetatifactor, 65,-0.08495089,0.06761979,TRUE,20
Acetatifactor, 65, 0.16104854,0.07046081,TRUE,40
Acutalibacter, 13,-0.28155542,0.06817575,TRUE,1D
Acutalibacter, 13,-0.39997947,0.06735587,TRUE,2D
Acutalibacter, 13,-0.56440696,0.06649795,TRUE,20
Acutalibacter, 13,-0.76595908,0.06893433,TRUE,40
Adlercreutzia, 50, 0.28582339,0.07574723,TRUE,1D
Adlercreutzia, 50, 0.44567278,0.07558603,TRUE,2D
Adlercreutzia, 50, 0.30871792,0.07317669,TRUE,20
Adlercreutzia, 50,-0.16263815,0.07676669,TRUE,40
AF3328, 31,-0.06696877,0.07917991,TRUE,1D
AF3328, 31,-0.01299930,0.07902231,TRUE,2D
AF3328, 31,-0.14885578,0.07716084,TRUE,20
AF3328, 31,-0.42132862,0.08023317,TRUE,40
Akkermansia, 95, 0.04303916,0.07361358,TRUE,1D
Akkermansia, 95, 0.13484350,0.07315599,TRUE,2D
Akkermansia, 95, 0.23488065,0.07155142,TRUE,20
Akkermansia, 95, 0.66136777,0.07469682,TRUE,40
Alistipes, 57,-0.06864911,0.05559895,FALSE,1D
Alistipes, 57, 0.12279860,0.05626317,FALSE,2D
Alistipes, 57, 0.06696469,0.05320747,FALSE,20
Alistipes, 57, 0.05990494,0.05624342,FALSE,40
AM0715, 19,-0.22223040,0.07190428,TRUE,1D
AM0715, 19,-0.28097150,0.07279515,TRUE,2D
AM0715, 19,-0.57925372,0.07057162,TRUE,20
AM0715, 19,-0.68159982,0.07329274,TRUE,40
Anaerotignum, 54,-0.03302331,0.07755497,FALSE,1D
Anaerotignum, 54,-0.08502474,0.07758120,FALSE,2D
Anaerotignum, 54,-0.14114615,0.07532558,FALSE,20
Anaerotignum, 54,-0.12008867,0.07861589,FALSE,40
Anaerotruncus, 17,-0.18732297,0.07426673,TRUE,1D
Anaerotruncus, 17,-0.32195832,0.07410915,TRUE,2D
Anaerotruncus, 17,-0.44165711,0.07245863,TRUE,20
Anaerotruncus, 17,-0.70621868,0.07538877,TRUE,40
AnaerovoracaceaeNOV, 47,-0.04899107,0.07313756,FALSE,1D
AnaerovoracaceaeNOV, 47,-0.08186019,0.07177669,FALSE,2D
AnaerovoracaceaeNOV, 47, 0.03950902,0.07051940,FALSE,20
AnaerovoracaceaeNOV, 47,-0.19388103,0.07367897,FALSE,40
Angelakisella, 36,-0.19704363,0.07150543,TRUE,1D
Angelakisella, 36,-0.33033758,0.07029280,TRUE,2D
Angelakisella, 36,-0.46644901,0.06902187,TRUE,20
Angelakisella, 36,-0.32897963,0.07217164,TRUE,40
ASF356, 22,-0.12435674,0.06874342,TRUE,1D
ASF356, 22,-0.20486959,0.06899092,TRUE,2D
ASF356, 22,-0.27021560,0.06717047,TRUE,20
ASF356, 22,-0.61314514,0.07011968,TRUE,40
Bacteroides, 80, 0.25186623,0.07812285,TRUE,1D
Bacteroides, 80, 0.47734571,0.07756840,TRUE,2D
Bacteroides, 80, 0.40282807,0.07554906,TRUE,20
Bacteroides, 80, 0.40978537,0.07901189,TRUE,40
Bifidobacterium, 90,-0.07368686,0.07655259,TRUE,1D
Bifidobacterium, 90, 0.14330882,0.07669818,TRUE,2D
Bifidobacterium, 90,-0.02680985,0.07245863,TRUE,20
Bifidobacterium, 90, 0.52989397,0.07682933,TRUE,40
BorkfalkiaceaeNOV, 84,-0.06385669,0.08030231,TRUE,1D
BorkfalkiaceaeNOV, 84,-0.20546208,0.08083916,TRUE,2D
BorkfalkiaceaeNOV, 84, 0.28260727,0.07777199,TRUE,20
BorkfalkiaceaeNOV, 84, 0.45443650,0.08133322,TRUE,40
ButyricicoccaceaeNOV, 48,-0.22741316,0.06963167,TRUE,1D
ButyricicoccaceaeNOV, 48,-0.45397001,0.06934231,TRUE,2D
ButyricicoccaceaeNOV, 48,-0.23272922,0.06834889,TRUE,20
ButyricicoccaceaeNOV, 48,-0.17801177,0.07092163,TRUE,40
CAG115, 58,-0.06184895,0.07931758,TRUE,1D
CAG115, 58,-0.30648706,0.07862616,TRUE,2D
CAG115, 58,-0.08796938,0.07524102,TRUE,20
CAG115, 58, 0.06338862,0.07969577,TRUE,40
CAG145, 52, 0.03132069,0.07026649,TRUE,1D
CAG145, 52,-0.14806808,0.07024292,TRUE,2D
CAG145, 52, 0.07533163,0.06873761,TRUE,20
CAG145, 52,-0.13383733,0.07165975,TRUE,40
CAG273, 56, 0.00320636,0.08282635,FALSE,1D
CAG273, 56,-0.05037516,0.08283699,FALSE,2D
CAG273, 56, 0.06650263,0.08033664,FALSE,20
CAG273, 56, 0.00479844,0.08370452,FALSE,40
CAG274NOV, 12,-0.31023592,0.07647133,TRUE,1D
CAG274NOV, 12,-0.91604605,0.07632756,TRUE,2D
CAG274NOV, 12,-0.28406900,0.07400243,TRUE,20
CAG274NOV, 12,-0.80771018,0.07713237,TRUE,40
CAG303, 34,-0.33140987,0.08324848,TRUE,1D
CAG303, 34,-0.38511417,0.08341632,TRUE,2D
CAG303, 34,-0.12809704,0.08044928,TRUE,20
CAG303, 34,-0.36675861,0.08404749,TRUE,40
CAG41, 46,-0.25917322,0.08943696,TRUE,1D
CAG41, 46,-0.84097022,0.09032143,TRUE,2D
CAG41, 46,-0.04098487,0.08542706,TRUE,20
CAG41, 46,-0.20184460,0.08980255,TRUE,40
CAG475, 67,-0.05779395,0.07349354,TRUE,1D
CAG475, 67,-0.30470422,0.07416575,TRUE,2D
CAG475, 67, 0.03807771,0.07159100,TRUE,20
CAG475, 67, 0.19408110,0.07489211,TRUE,40
CAG485, 94, 0.29441962,0.06695936,TRUE,1D
CAG485, 94, 0.57419564,0.06576846,TRUE,2D
CAG485, 94, 0.59693234,0.06454498,TRUE,20
CAG485, 94, 0.64594435,0.06779219,TRUE,40
CAG510, 93, 0.11001018,0.08354660,TRUE,1D
CAG510, 93,-0.02507991,0.08326409,TRUE,2D
CAG510, 93, 0.12982509,0.07780570,TRUE,20
CAG510, 93, 0.60031622,0.08318780,TRUE,40
CAG552NOV, 61,-0.07944354,0.07616078,FALSE,1D
CAG552NOV, 61, 0.00420395,0.07698172,FALSE,2D
CAG552NOV, 61,-0.08721132,0.07409580,FALSE,20
CAG552NOV, 61, 0.09129854,0.07751288,FALSE,40
CAG56, 23,-0.02775891,0.07277955,TRUE,1D
