Diet.5mo.as.AL,relab
20,0.01004161
40,0.00834219
40,0.00792646
40,0.00774533
40,0.00696542
1D,0.00689903
40,0.00620692
20,0.00569358
20,0.00542587
20,0.00499768
20,0.00480225
40,0.00473047
20,0.00472092
40,0.00462885
20,0.00460737
40,0.00458329
20,0.00457183
20,0.00454256
40,0.00451635
20,0.00445775
20,0.00445468
40,0.00440791
40,0.00434311
40,0.00425428
20,0.00425077
20,0.00423270
2D,0.00419763
2D,0.00412697
20,0.00398928
40,0.00397321
40,0.00392268
1D,0.00389758
40,0.00386776
20,0.00386555
40,0.00385982
40,0.00383385
40,0.00381908
20,0.00378819
20,0.00376170
2D,0.00374370
2D,0.00372979
40,0.00372905
20,0.00370925
40,0.00368177
2D,0.00366348
1D,0.00361744
20,0.00358146
40,0.00357657
40,0.00357041
40,0.00355523
40,0.00351941
40,0.00350116
1D,0.00345837
2D,0.00345074
20,0.00344254
20,0.00343862
20,0.00343684
40,0.00343274
20,0.00341640
20,0.00341297
40,0.00340862
40,0.00338374
40,0.00325482
40,0.00319863
AL,0.00318632
20,0.00317716
40,0.00316018
1D,0.00316007
2D,0.00315678
20,0.00315020
40,0.00312848
40,0.00308406
2D,0.00307420
40,0.00302547
2D,0.00301832
20,0.00299751
40,0.00299181
20,0.00298861
40,0.00298859
20,0.00296180
40,0.00296058
20,0.00295839
20,0.00295821
1D,0.00294695
40,0.00293274
40,0.00292088
20,0.00291135
20,0.00289820
40,0.00288285
1D,0.00286765
40,0.00285284
20,0.00284457
2D,0.00283995
40,0.00283857
20,0.00283076
20,0.00282973
20,0.00281720
20,0.00281063
40,0.00279079
20,0.00278416
40,0.00278379
20,0.00277810
40,0.00277395
20,0.00276478
20,0.00276106
20,0.00275937
20,0.00272865
40,0.00271028
2D,0.00269168
1D,0.00269152
40,0.00269149
20,0.00267484
40,0.00267262
20,0.00266817
40,0.00266234
20,0.00264457
20,0.00263681
20,0.00262839
20,0.00262739
40,0.00261852
40,0.00261459
1D,0.00261254
1D,0.00260996
40,0.00260728
40,0.00260661
20,0.00258902
40,0.00258198
20,0.00257709
40,0.00257036
1D,0.00256429
20,0.00256154
40,0.00255180
40,0.00254969
20,0.00254773
40,0.00254284
40,0.00253930
20,0.00251837
40,0.00251580
40,0.00251117
20,0.00248370
40,0.00247960
40,0.00247099
40,0.00246508
40,0.00244785
20,0.00242789
20,0.00241292
20,0.00240739
20,0.00240634
1D,0.00239051
40,0.00238643
1D,0.00238519
20,0.00237870
40,0.00235752
20,0.00235306
40,0.00234025
40,0.00232437
40,0.00231832
40,0.00231627
40,0.00231623
20,0.00231565
40,0.00230110
2D,0.00227951
40,0.00227719
40,0.00226825
20,0.00226370
40,0.00226271
40,0.00226125
40,0.00225631
2D,0.00225001
1D,0.00224445
20,0.00224341
20,0.00224182
40,0.00223361
40,0.00222652
20,0.00222219
20,0.00221314
20,0.00221299
40,0.00221163
20,0.00220925
40,0.00220896
40,0.00220792
20,0.00219823
20,0.00219452
40,0.00219329
40,0.00219293
40,0.00217660
20,0.00217333
40,0.00216742
20,0.00216359
40,0.00216206
2D,0.00215197
40,0.00214986
2D,0.00214959
20,0.00214255
40,0.00213664
20,0.00212030
40,0.00211380
20,0.00210861
40,0.00210433
40,0.00210082
1D,0.00209732
20,0.00209583
40,0.00209550
20,0.00209227
20,0.00209164
40,0.00209113
20,0.00208654
40,0.00208463
20,0.00208054
20,0.00207100
40,0.00206427
2D,0.00206224
2D,0.00206086
20,0.00205618
20,0.00204604
20,0.00204094
20,0.00203516
20,0.00202449
20,0.00202352
20,0.00202258
40,0.00202054
20,0.00202019
40,0.00201973
20,0.00201595
40,0.00201577
40,0.00201527
20,0.00200563
20,0.00200473
40,0.00200454
40,0.00199913
1D,0.00199709
2D,0.00199175
1D,0.00198925
40,0.00198736
40,0.00198526
40,0.00198311
2D,0.00197333
20,0.00197200
40,0.00197087
1D,0.00196362
20,0.00195838
20,0.00195821
2D,0.00195069
40,0.00194423
40,0.00194153
40,0.00192695
40,0.00192653
20,0.00192460
20,0.00192430
40,0.00192275
AL,0.00191455
40,0.00190882
40,0.00190752
40,0.00190669
2D,0.00190184
40,0.00189587
40,0.00188396
40,0.00187751
20,0.00187445
AL,0.00187396
40,0.00186860
2D,0.00186684
20,0.00186374
40,0.00186198
40,0.00185987
20,0.00185855
AL,0.00185012
AL,0.00184592
20,0.00184442
40,0.00184339
40,0.00184212
40,0.00184147
40,0.00183639
20,0.00182885
20,0.00182678
20,0.00182378
20,0.00182110
20,0.00182077
20,0.00181688
40,0.00180787
20,0.00180237
40,0.00180127
2D,0.00179806
20,0.00179534
40,0.00179330
2D,0.00179311
20,0.00179259
40,0.00179196
40,0.00178987
40,0.00177880
20,0.00177204
40,0.00177143
40,0.00177091
20,0.00176638
40,0.00176039
20,0.00175703
20,0.00175042
40,0.00174957
20,0.00174735
2D,0.00174338
20,0.00174018
40,0.00173863
40,0.00173703
40,0.00173600
40,0.00173416
40,0.00173200
20,0.00172756
40,0.00172619
1D,0.00172619
40,0.00172595
40,0.00171866
1D,0.00171628
20,0.00171281
20,0.00170776
40,0.00170582
AL,0.00170462
20,0.00170374
2D,0.00170203
20,0.00170013
40,0.00169927
40,0.00169651
40,0.00169292
20,0.00169062
AL,0.00168989
1D,0.00168904
20,0.00168629
40,0.00168313
40,0.00167883
20,0.00167120
40,0.00166814
20,0.00166761
1D,0.00166557
20,0.00166129
20,0.00166057
40,0.00165852
20,0.00165792
1D,0.00165693
40,0.00165514
40,0.00164619
40,0.00163903
2D,0.00163676
40,0.00162773
40,0.00162354
2D,0.00162168
2D,0.00161558
40,0.00161507
20,0.00161251
20,0.00161161
40,0.00161157
AL,0.00161124
20,0.00160912
40,0.00160448
40,0.00160258
40,0.00160117
20,0.00159820
20,0.00159770
20,0.00159654
40,0.00159632
40,0.00159318
2D,0.00158442
