Diet.5mo.as.AL,relab
20,0.50123625
AL,0.41596859
40,0.35492789
2D,0.34085119
2D,0.33440859
40,0.32108182
40,0.31787879
2D,0.31710295
40,0.31418125
40,0.31322986
2D,0.31261600
40,0.30599163
1D,0.30179507
40,0.29639350
1D,0.29464868
1D,0.28803796
40,0.28793097
40,0.28783604
20,0.28527377
40,0.28103407
20,0.27435477
20,0.27275720
1D,0.27257957
20,0.27043957
40,0.26906135
2D,0.26709779
20,0.26558872
40,0.26515237
40,0.26387055
40,0.26240094
40,0.26116443
1D,0.26097337
20,0.26058711
2D,0.25700289
1D,0.25316925
40,0.25130034
1D,0.25025619
2D,0.24413236
40,0.24381334
1D,0.24309772
20,0.24247788
20,0.24224021
20,0.24149814
40,0.24004895
1D,0.23966174
2D,0.23959690
20,0.23592265
40,0.23501069
40,0.23401462
40,0.23312153
40,0.23212605
20,0.23186334
2D,0.23148795
40,0.22916564
20,0.22530483
20,0.22241604
2D,0.22162897
20,0.22153898
1D,0.22106889
2D,0.22094611
40,0.22020840
20,0.21965302
40,0.21901912
40,0.21851270
20,0.21756150
20,0.21610883
40,0.21503987
20,0.21247578
40,0.20836580
40,0.20738779
40,0.20737690
1D,0.19930416
20,0.19782224
40,0.19676960
40,0.19630879
40,0.19615409
AL,0.19508542
AL,0.19466871
20,0.19416324
40,0.19395694
2D,0.19379964
1D,0.19340169
20,0.19288764
20,0.19096858
20,0.19024251
1D,0.19023563
40,0.18956798
2D,0.18903560
40,0.18667271
40,0.18611398
20,0.18535335
20,0.18535040
40,0.18482454
40,0.18318958
1D,0.18211269
20,0.18193707
40,0.18139098
40,0.18129992
2D,0.17903064
20,0.17900633
1D,0.17883222
40,0.17814146
20,0.17765090
40,0.17754059
40,0.17666684
2D,0.17639231
1D,0.17635251
2D,0.17549096
40,0.17482302
1D,0.17374603
20,0.17344123
40,0.17329354
40,0.17295479
20,0.17289648
20,0.17283564
40,0.17153371
2D,0.17144301
40,0.17017438
2D,0.16754662
40,0.16676142
20,0.16621348
40,0.16596049
2D,0.16568735
1D,0.16482332
40,0.16413581
40,0.16372818
AL,0.16343643
40,0.16318248
20,0.16280206
20,0.16213485
2D,0.16058646
20,0.16058228
40,0.16014772
40,0.15922651
20,0.15909898
2D,0.15850215
2D,0.15821763
2D,0.15815036
40,0.15707567
40,0.15691705
AL,0.15674637
40,0.15674176
20,0.15662847
2D,0.15627091
40,0.15625337
2D,0.15553859
1D,0.15473452
20,0.15413065
20,0.15349955
1D,0.15332494
20,0.15308457
2D,0.15281379
20,0.15209570
AL,0.15130335
2D,0.15073655
2D,0.15048709
2D,0.14980538
40,0.14973834
1D,0.14940798
40,0.14904778
2D,0.14843777
40,0.14838173
20,0.14698388
20,0.14698219
2D,0.14627546
40,0.14603373
40,0.14601420
20,0.14581965
2D,0.14574580
40,0.14557849
20,0.14522349
1D,0.14506445
40,0.14485710
20,0.14437859
40,0.14378117
40,0.14357449
40,0.14345323
1D,0.14293198
40,0.14290043
2D,0.14269422
40,0.14180125
20,0.14169989
20,0.14162090
20,0.14136981
20,0.14110914
20,0.14064795
40,0.13961527
20,0.13952193
20,0.13943135
20,0.13906465
40,0.13837872
40,0.13818185
40,0.13814882
40,0.13757320
1D,0.13738370
40,0.13682082
20,0.13646325
40,0.13644835
2D,0.13570733
2D,0.13490919
40,0.13403005
40,0.13402025
1D,0.13388037
20,0.13364941
40,0.13342111
40,0.13338403
1D,0.13322535
20,0.13284065
20,0.13174893
20,0.13166463
20,0.13160370
20,0.13155385
40,0.13124377
20,0.13074632
20,0.12928822
40,0.12926324
40,0.12923210
40,0.12914042
40,0.12907444
40,0.12858292
40,0.12849987
2D,0.12848455
20,0.12836930
20,0.12832118
1D,0.12804670
40,0.12776406
40,0.12565288
20,0.12565117
40,0.12559600
2D,0.12552217
1D,0.12532145
20,0.12502047
1D,0.12446595
20,0.12374573
40,0.12365415
2D,0.12361305
20,0.12300874
40,0.12295514
40,0.12287917
40,0.12274442
40,0.12237020
20,0.12220966
1D,0.12220257
AL,0.12185451
20,0.12174626
40,0.12132042
AL,0.12116311
40,0.12107487
40,0.12071641
40,0.12070409
2D,0.12009758
AL,0.11959453
20,0.11942538
40,0.11791178
2D,0.11765215
40,0.11744776
1D,0.11678360
2D,0.11643462
1D,0.11636906
40,0.11555303
40,0.11474815
1D,0.11456489
40,0.11398630
20,0.11354893
40,0.11316112
2D,0.11303488
20,0.11245548
40,0.11237434
40,0.11159625
AL,0.11130425
40,0.11119720
40,0.11107051
40,0.11102880
1D,0.11069899
2D,0.10989786
2D,0.10956573
2D,0.10952756
20,0.10940559
40,0.10931829
1D,0.10914803
1D,0.10898990
40,0.10839746
20,0.10803236
40,0.10730655
2D,0.10708915
1D,0.10707072
20,0.10697734
40,0.10690373
40,0.10604597
40,0.10588693
1D,0.10581179
40,0.10560102
AL,0.10543560
20,0.10543300
AL,0.10531776
40,0.10466690
40,0.10441528
AL,0.10412021
40,0.10398238
2D,0.10383473
2D,0.10372050
20,0.10359155
40,0.10358590
20,0.10357960
40,0.10338463
1D,0.10319290
1D,0.10306871
40,0.10295273
1D,0.10283606
40,0.10267598
1D,0.10266585
20,0.10222200
20,0.10162203
1D,0.10114219
40,0.10091547
40,0.10077564
40,0.10076828
20,0.10072247
AL,0.10046480
40,0.10041475
40,0.10032672
40,0.10024285
20,0.09997788
1D,0.09991507
1D,0.09871645
20,0.09847948
2D,0.09797225
2D,0.09777271
AL,0.09772369
40,0.09768813
40,0.09766368
2D,0.09740029
AL,0.09672619
20,0.09666048
20,0.09650121
20,0.09612841
2D,0.09607339
AL,0.09606891
20,0.09593314
40,0.09574059
20,0.09490669
1D,0.09338582
20,0.09296165
20,0.09294320
40,0.09268724
20,0.09265660
40,0.09245073
1D,0.09183611
40,0.09182086
AL,0.09149858
40,0.09141826
20,0.09134724
2D,0.09124162
40,0.09122881
AL,0.09119564
AL,0.09109223
20,0.09104275
20,0.09072780
2D,0.09042457
2D,0.09024020
40,0.09019345
AL,0.09014052
1D,0.08994137
20,0.08975728
40,0.08943323
AL,0.08908600
1D,0.08906450
1D,0.08896745
1D,0.08857659
40,0.08856813
1D,0.08845315
AL,0.08838572
40,0.08791882
20,0.08773971
40,0.08750354
2D,0.08708668
40,0.08704986
20,0.08687816
1D,0.08679520
20,0.08656782
40,0.08624750
