feature,1D,2D,20,40
Acetatifactor,-0.01606152, 0.18738037,-0.08495089, 0.16104854
Acutalibacter,-0.28155542,-0.39997947,-0.56440696,-0.76595908
Adlercreutzia, 0.28582339, 0.44567278, 0.30871792,-0.16263815
AF3328,-0.06696877,-0.01299930,-0.14885578,-0.42132862
Akkermansia, 0.04303916, 0.13484350, 0.23488065, 0.66136777
Alistipes,-0.06864911, 0.12279860, 0.06696469, 0.05990494
AM0715,-0.22223040,-0.28097150,-0.57925372,-0.68159982
Anaerotignum,-0.03302331,-0.08502474,-0.14114615,-0.12008867
Anaerotruncus,-0.18732297,-0.32195832,-0.44165711,-0.70621868
AnaerovoracaceaeNOV,-0.04899107,-0.08186019, 0.03950902,-0.19388103
Angelakisella,-0.19704363,-0.33033758,-0.46644901,-0.32897963
ASF356,-0.12435674,-0.20486959,-0.27021560,-0.61314514
Bacteroides, 0.25186623, 0.47734571, 0.40282807, 0.40978537
Bifidobacterium,-0.07368686, 0.14330882,-0.02680985, 0.52989397
BorkfalkiaceaeNOV,-0.06385669,-0.20546208, 0.28260727, 0.45443650
ButyricicoccaceaeNOV,-0.22741316,-0.45397001,-0.23272922,-0.17801177
CAG115,-0.06184895,-0.30648706,-0.08796938, 0.06338862
CAG145, 0.03132069,-0.14806808, 0.07533163,-0.13383733
CAG273, 0.00320636,-0.05037516, 0.06650263, 0.00479844
CAG274NOV,-0.31023592,-0.91604605,-0.28406900,-0.80771018
CAG303,-0.33140987,-0.38511417,-0.12809704,-0.36675861
CAG41,-0.25917322,-0.84097022,-0.04098487,-0.20184460
CAG475,-0.05779395,-0.30470422, 0.03807771, 0.19408110
CAG485, 0.29441962, 0.57419564, 0.59693234, 0.64594435
CAG510, 0.11001018,-0.02507991, 0.12982509, 0.60031622
CAG552NOV,-0.07944354, 0.00420395,-0.08721132, 0.09129854
CAG56,-0.02775891, 0.12917594,-0.16624601,-0.60239245
CAG582, 0.08924019, 0.07709530, 0.10990121, 0.40237785
CAG776, 0.23115538, 0.10932348, 0.16597306, 0.42626338
CAG81,-0.27967928,-0.28164725,-0.28038072,-0.40108775
CAG873, 0.27605667, 0.45592642, 0.48460977, 0.56252243
CAG95,-0.18127843,-0.23248591,-0.22132590,-0.29841208
Chao1, 0.06229463,-0.02195749, 0.15494200, 0.17387981
Clostridium,-0.05844455,-0.19283979,-0.02823028, 0.70500138
ClostridiumQ, 0.01797284, 0.17373234,-0.15271058,-0.74003266
COE1,-0.21539737,-0.45387364,-0.43733307,-0.94715138
D1663, 0.15728976, 0.17058211, 0.09121284,-0.57941758
Desulfovibrio, 0.01249179, 0.02144262,-0.15918985, 0.11817003
Dorea,-0.14869005,-0.26569345,-0.20535324,-0.68466977
Dubosiella,-0.31488811,-0.15140390,-0.02104287, 0.54875192
Duncaniella, 0.18752689, 0.46654673, 0.34266877, 0.37171636
Emergencia, 0.20369395, 0.29255109,-0.31754087,-1.09477696
EnterococcusD, 0.16938529, 0.24128000, 0.24087460, 0.40115351
ErysipelatoclostridiaceaeNOV, 0.25600291, 0.22486669, 0.20487022,-0.12526159
Erysipelatoclostridium, 0.17492661, 0.14426041, 0.43224597, 0.28472768
ErysipelotrichaceaeNOV, 0.30398594, 0.11740999, 0.08743096,-0.83904814
Escherichia, 0.09640261, 0.31043183, 0.16563764, 0.52064787
EubacteriumF, 0.10199476, 0.27930955, 0.13210287,-0.07230513
EubacteriumG,-0.19419857,-0.19041001,-0.36600904,-0.49433008
EubacteriumJ,-0.21301188,-0.31416125,-0.49339828,-0.88563497
Evtepia,-0.12112039,-0.11401568,-0.46185231,-0.85553180
Flavonifractor,-0.15904036,-0.22866952,-0.40734585,-0.66534508
HungatellaA,-0.04513161, 0.00994570,-0.08403538,-0.27635468
Ileibacterium, 0.03230536, 0.56393132, 0.24104956, 0.52594959
Kineothrix, 0.19863359, 0.51398082, 0.44987582, 0.88403677
Lachnospira, 0.00678262,-0.04792342,-0.25995701,-0.75561310
LachnospiraceaeNOV,-0.12984868,-0.05197899,-0.20177601,-0.27337613
Lactobacillus, 0.24830101, 0.82339935, 0.53827785, 0.72030118
Lawsonibacter,-0.11558685,-0.19643142,-0.41055403,-0.45214088
Ligilactobacillus, 0.33708539, 0.49637837, 0.44667448, 0.78492973
Limosilactobacillus, 0.22318049, 0.68196506, 0.57750568, 0.79426937
Mailhella, 0.20070725, 0.36352779, 0.10309485,-0.16482821
MarseilleP3106, 0.14543484, 0.09525178, 0.26981227, 0.07477553
MuribaculaceaeNOV, 0.13410828, 0.01121439, 0.11510011, 0.35020689
