Diet.5mo.as.AL,log10relab
1D, 0.46503466
AL, 0.38672839
1D, 0.24398922
20, 0.24013471
1D, 0.23055159
AL, 0.21802781
20, 0.21629782
AL, 0.20083678
2D, 0.19576135
2D, 0.19346715
AL, 0.18839137
1D, 0.18703691
1D, 0.16842310
2D, 0.16314400
AL, 0.16131356
1D, 0.14969275
2D, 0.14952188
2D, 0.14889889
1D, 0.14463489
1D, 0.14053013
2D, 0.14019274
1D, 0.13648178
AL, 0.13448310
2D, 0.12721392
1D, 0.12674195
AL, 0.12482784
AL, 0.12138825
1D, 0.12081654
2D, 0.12024272
AL, 0.08168319
2D, 0.08091036
2D, 0.07572467
1D, 0.07156060
1D, 0.06090186
2D, 0.05998533
2D, 0.05844333
1D, 0.05762254
AL, 0.05407570
AL, 0.05384768
2D, 0.05066273
AL, 0.04757203
AL, 0.04593364
2D, 0.04303349
2D, 0.04168112
AL, 0.03951339
2D, 0.03415915
1D, 0.02490778
2D, 0.02391976
AL, 0.02081999
2D, 0.01667950
2D, 0.01544496
AL, 0.01469598
AL, 0.01024421
AL, 0.00463754
2D, 0.00327016
1D,-0.00681328
20,-0.00698396
2D,-0.01262274
AL,-0.01999785
2D,-0.02034305
AL,-0.02174778
AL,-0.02287236
40,-0.02401026
1D,-0.02512320
1D,-0.02731524
AL,-0.03086529
20,-0.03130209
20,-0.03306627
AL,-0.03409177
AL,-0.03525682
2D,-0.03529397
2D,-0.03570506
1D,-0.03631581
1D,-0.03902407
20,-0.04134868
AL,-0.04230144
1D,-0.04335408
AL,-0.04344889
1D,-0.04407140
1D,-0.04513305
20,-0.04826405
1D,-0.05093480
20,-0.05214983
20,-0.05226220
AL,-0.05301848
1D,-0.05319870
AL,-0.05610237
AL,-0.05658023
AL,-0.05863310
AL,-0.05994039
2D,-0.06002177
2D,-0.06149987
AL,-0.06327363
2D,-0.06349832
AL,-0.06352143
AL,-0.06428408
2D,-0.06431600
2D,-0.06442032
1D,-0.06532927
1D,-0.06714765
1D,-0.06733698
AL,-0.07269778
1D,-0.07564998
2D,-0.07605900
AL,-0.07738529
1D,-0.07761377
1D,-0.07833327
1D,-0.08027715
1D,-0.08221280
1D,-0.08235501
AL,-0.08635632
AL,-0.08659891
2D,-0.08668564
20,-0.08673759
2D,-0.08819973
AL,-0.08907324
AL,-0.08961626
2D,-0.08991573
2D,-0.09208220
2D,-0.09341365
AL,-0.09349818
AL,-0.09605593
AL,-0.09852263
1D,-0.09864263
2D,-0.09884565
2D,-0.09975078
1D,-0.09991161
AL,-0.10029563
2D,-0.10042635
AL,-0.10192810
2D,-0.10215248
2D,-0.10235002
AL,-0.10421288
AL,-0.10491715
2D,-0.10567882
20,-0.10592394
2D,-0.10640427
20,-0.10644815
1D,-0.10696383
2D,-0.10770987
1D,-0.10771985
2D,-0.10884418
AL,-0.10891125
AL,-0.10997041
2D,-0.11041156
AL,-0.11126609
AL,-0.11263326
2D,-0.11452696
AL,-0.11741339
AL,-0.11843107
AL,-0.11961901
20,-0.12006879
AL,-0.12041483
20,-0.12063151
AL,-0.12180572
AL,-0.12226581
20,-0.12443902
20,-0.12447607
AL,-0.12514036
1D,-0.12542262
AL,-0.12550302
AL,-0.12560401
1D,-0.12577758
2D,-0.12589256
2D,-0.12668155
AL,-0.12743068
AL,-0.12793963
AL,-0.12922302
20,-0.12930534
AL,-0.13206257
AL,-0.13298504
AL,-0.13314074
2D,-0.13476604
2D,-0.13526248
AL,-0.13633516
20,-0.13719337
2D,-0.13744367
1D,-0.13804457
AL,-0.14001397
1D,-0.14036828
AL,-0.14134292
AL,-0.14245964
1D,-0.14267353
AL,-0.14465742
2D,-0.14673333
40,-0.14778102
2D,-0.14872471
1D,-0.14882048
AL,-0.14883919
1D,-0.14944245
20,-0.14986683
1D,-0.15057545
AL,-0.15094736
20,-0.15169009
AL,-0.15228443
20,-0.15526783
AL,-0.15540092
1D,-0.15624059
AL,-0.15672641
AL,-0.15690997
AL,-0.15706004
20,-0.15790147
2D,-0.15876101
AL,-0.15947748
AL,-0.16000474
AL,-0.16157180
1D,-0.16184218
AL,-0.16235755
AL,-0.16394513
AL,-0.16486172
2D,-0.16617385
