Diet.5mo.as.AL,log10relab
2D, 0.53820779
1D, 0.25017219
40, 0.24961644
20, 0.21529911
40, 0.21186502
40, 0.13701988
1D, 0.09896232
40, 0.07933075
20, 0.05424578
40, 0.03831531
20, 0.03328366
2D, 0.03252830
20,-0.01278060
20,-0.01401208
1D,-0.03233631
40,-0.05948923
40,-0.06555442
40,-0.06611894
AL,-0.07575557
40,-0.07770127
40,-0.11181271
AL,-0.11256152
AL,-0.12348897
40,-0.12487817
20,-0.12669004
AL,-0.14055631
AL,-0.14344486
2D,-0.16032791
40,-0.17324184
1D,-0.17521040
20,-0.17656848
20,-0.18379022
40,-0.18472458
20,-0.18614100
40,-0.19094827
40,-0.19406981
40,-0.19557169
40,-0.20236659
AL,-0.20801259
AL,-0.20877142
20,-0.21288024
40,-0.21450575
40,-0.21964620
AL,-0.22232954
20,-0.22290319
20,-0.22383513
40,-0.22791409
40,-0.23247934
40,-0.23342721
AL,-0.23693055
40,-0.25817617
20,-0.26000798
AL,-0.26075864
AL,-0.26090817
AL,-0.26166456
AL,-0.26321671
AL,-0.26957201
AL,-0.27164736
AL,-0.27562447
40,-0.27622389
2D,-0.27628937
AL,-0.27916684
AL,-0.28093187
AL,-0.28497871
40,-0.28643635
AL,-0.28878231
AL,-0.29098344
AL,-0.29177392
AL,-0.29532371
AL,-0.29688163
40,-0.29798432
20,-0.29854771
AL,-0.30040540
20,-0.30096539
AL,-0.30427726
20,-0.30603984
40,-0.30716188
AL,-0.30885567
20,-0.31184810
40,-0.31502098
40,-0.31623522
40,-0.31638316
AL,-0.32100000
AL,-0.32442869
AL,-0.32535420
AL,-0.32643644
40,-0.33057253
AL,-0.33083352
2D,-0.33088826
40,-0.33204128
1D,-0.33229218
AL,-0.33303154
40,-0.33352649
AL,-0.33427312
AL,-0.33828056
AL,-0.33999860
20,-0.34084069
AL,-0.34398422
40,-0.34506495
AL,-0.34999232
40,-0.35217905
AL,-0.35254482
40,-0.35331722
20,-0.35553819
1D,-0.35555765
20,-0.35844564
2D,-0.35915556
AL,-0.35916540
40,-0.35975193
40,-0.36133111
20,-0.36197725
AL,-0.36445225
AL,-0.36678900
AL,-0.36722939
1D,-0.36813414
2D,-0.37089289
AL,-0.37288793
AL,-0.37294852
AL,-0.37306964
AL,-0.37402120
40,-0.37439289
20,-0.37540168
AL,-0.37575023
40,-0.37714682
40,-0.37848291
AL,-0.37942790
