one.minus.specificity,sensitivity,fold
0.00000000,0.00000000,mean
0.00100100,0.06189225,mean
0.00200200,0.06189225,mean
0.00300300,0.06189225,mean
0.00400400,0.06189225,mean
0.00500501,0.06189225,mean
0.00600601,0.06189225,mean
0.00700701,0.06189225,mean
0.00800801,0.06189225,mean
0.00900901,0.06189225,mean
0.01001001,0.06189225,mean
0.01101101,0.06189225,mean
0.01201201,0.06189225,mean
0.01301301,0.06189225,mean
0.01401401,0.06189225,mean
0.01501502,0.06189225,mean
0.01601602,0.06189225,mean
0.01701702,0.06189225,mean
0.01801802,0.06189225,mean
0.01901902,0.06189225,mean
0.02002002,0.06189225,mean
0.02102102,0.06189225,mean
0.02202202,0.06189225,mean
0.02302302,0.06189225,mean
0.02402402,0.06189225,mean
0.02502503,0.06189225,mean
0.02602603,0.06189225,mean
0.02702703,0.06189225,mean
0.02802803,0.06189225,mean
0.02902903,0.06189225,mean
0.03003003,0.06189225,mean
0.03103103,0.06189225,mean
0.03203203,0.06189225,mean
0.03303303,0.06189225,mean
0.03403403,0.06189225,mean
0.03503504,0.06189225,mean
0.03603604,0.06189225,mean
0.03703704,0.06189225,mean
0.03803804,0.06189225,mean
0.03903904,0.06189225,mean
0.04004004,0.06189225,mean
0.04104104,0.06189225,mean
0.04204204,0.06189225,mean
0.04304304,0.06189225,mean
0.04404404,0.06189225,mean
0.04504505,0.06189225,mean
0.04604605,0.06189225,mean
0.04704705,0.06189225,mean
0.04804805,0.06189225,mean
0.04904905,0.06189225,mean
0.05005005,0.06189225,mean
0.05105105,0.07419994,mean
0.05205205,0.07419994,mean
0.05305305,0.07419994,mean
0.05405405,0.07419994,mean
0.05505506,0.07419994,mean
0.05605606,0.07419994,mean
0.05705706,0.07419994,mean
0.05805806,0.07419994,mean
0.05905906,0.07419994,mean
0.06006006,0.07419994,mean
0.06106106,0.07419994,mean
0.06206206,0.07419994,mean
0.06306306,0.07419994,mean
0.06406406,0.07419994,mean
0.06506507,0.08065156,mean
0.06606607,0.08065156,mean
0.06706707,0.08065156,mean
0.06806807,0.09295925,mean
0.06906907,0.09295925,mean
0.07007007,0.09295925,mean
0.07107107,0.09295925,mean
0.07207207,0.09295925,mean
0.07307307,0.09295925,mean
0.07407407,0.09295925,mean
0.07507508,0.09295925,mean
0.07607608,0.09295925,mean
0.07707708,0.09295925,mean
0.07807808,0.09295925,mean
0.07907908,0.09295925,mean
0.08008008,0.09295925,mean
0.08108108,0.09295925,mean
0.08208208,0.09295925,mean
0.08308308,0.09295925,mean
0.08408408,0.09295925,mean
0.08508509,0.09603617,mean
0.08608609,0.09603617,mean
0.08708709,0.09603617,mean
0.08808809,0.09603617,mean
0.08908909,0.09603617,mean
0.09009009,0.09603617,mean
0.09109109,0.09603617,mean
0.09209209,0.09603617,mean
0.09309309,0.09603617,mean
0.09409409,0.09603617,mean
0.09509510,0.09603617,mean
0.09609610,0.09603617,mean
0.09709710,0.09818671,mean
0.09809810,0.09818671,mean
0.09909910,0.09818671,mean
0.10010010,0.09818671,mean
0.10110110,0.09818671,mean
0.10210210,0.10126363,mean
0.10310310,0.10126363,mean
0.10410410,0.10126363,mean
0.10510511,0.10126363,mean
0.10610611,0.10126363,mean
0.10710711,0.10126363,mean
0.10810811,0.10126363,mean
0.10910911,0.10126363,mean
0.11011011,0.10126363,mean
0.11111111,0.10126363,mean
0.11211211,0.10126363,mean
0.11311311,0.10126363,mean
0.11411411,0.10126363,mean
0.11511512,0.10126363,mean
0.11611612,0.10126363,mean
0.11711712,0.10126363,mean
0.11811812,0.10126363,mean
0.11911912,0.10434056,mean
0.12012012,0.10434056,mean
0.12112112,0.10434056,mean
0.12212212,0.10434056,mean
0.12312312,0.10434056,mean
0.12412412,0.10434056,mean
0.12512513,0.15980274,mean
0.12612613,0.15980274,mean
0.12712713,0.15980274,mean
0.12812813,0.15980274,mean
0.12912913,0.16410382,mean
0.13013013,0.16410382,mean
0.13113113,0.16410382,mean
0.13213213,0.16410382,mean
0.13313313,0.16410382,mean
0.13413413,0.16410382,mean
0.13513514,0.16410382,mean
0.13613614,0.16410382,mean
0.13713714,0.16410382,mean
0.13813814,0.16410382,mean
0.13913914,0.16410382,mean
0.14014014,0.16410382,mean
0.14114114,0.16410382,mean
0.14214214,0.16410382,mean
0.14314314,0.16923202,mean
0.14414414,0.16923202,mean
0.14514515,0.16923202,mean
0.14614615,0.16923202,mean
0.14714715,0.16923202,mean
0.14814815,0.16923202,mean
0.14914915,0.16923202,mean
0.15015015,0.16923202,mean
0.15115115,0.16923202,mean
0.15215215,0.16923202,mean
0.15315315,0.16923202,mean
0.15415415,0.16923202,mean
0.15515516,0.16923202,mean
0.15615616,0.16923202,mean
0.15715716,0.16923202,mean
0.15815816,0.16923202,mean
0.15915916,0.16923202,mean
0.16016016,0.16923202,mean
0.16116116,0.16923202,mean
0.16216216,0.17353310,mean
0.16316316,0.17353310,mean
0.16416416,0.17353310,mean
0.16516517,0.17353310,mean
0.16616617,0.17353310,mean
0.16716717,0.17353310,mean
0.16816817,0.17353310,mean
0.16916917,0.17353310,mean
0.17017017,0.18584079,mean
0.17117117,0.18584079,mean
0.17217217,0.18584079,mean
0.17317317,0.18584079,mean
0.17417417,0.18584079,mean
