age.months,fold,accuracy
 5,Fold01,0.145
 5,Fold02,0.056
 5,Fold03,0.212
 5,Fold04,0.254
 5,Fold05,0.160
 5,Fold06,0.125
 5,Fold07,0.136
 5,Fold08,0.261
 5,Fold09,0.121
 5,Fold10,0.056
10,Fold01,0.629
10,Fold02,0.500
10,Fold03,0.692
10,Fold04,0.483
10,Fold05,0.479
10,Fold06,0.582
10,Fold07,0.657
10,Fold08,0.608
10,Fold09,0.351
10,Fold10,0.542
16,Fold01,0.812
16,Fold02,0.605
16,Fold03,0.590
16,Fold04,0.506
16,Fold05,0.569
16,Fold06,0.494
16,Fold07,0.594
16,Fold08,0.516
16,Fold09,0.568
16,Fold10,0.704
22,Fold01,0.482
22,Fold02,0.471
22,Fold03,0.618
22,Fold04,0.467
22,Fold05,0.419
22,Fold06,0.324
22,Fold07,0.688
22,Fold08,0.395
22,Fold09,0.507
22,Fold10,0.667
28,Fold01,0.368
28,Fold02,0.514
28,Fold03,0.545
28,Fold04,0.636
28,Fold05,0.536
28,Fold06,0.581
28,Fold07,0.485
28,Fold08,0.569
28,Fold09,0.553
28,Fold10,0.710
