actual.age.approx.months,pred.age.months,is.AL
10.138249, 9.193666,TRUE
15.898618,17.412865,TRUE
22.350230,19.739686,TRUE
27.880184,21.303683,TRUE
10.138249, 9.121705,TRUE
15.898618,18.499656,TRUE
22.350230,18.238215,TRUE
10.138249, 9.102182,TRUE
15.898618,15.438569,TRUE
22.350230,21.226861,TRUE
27.880184,20.227287,TRUE
10.138249, 9.451223,TRUE
15.898618,17.011266,TRUE
22.350230,18.570549,TRUE
27.880184,22.221994,TRUE
10.138249, 6.951978,TRUE
15.898618,16.975108,TRUE
22.350230,17.180178,TRUE
27.880184,20.460057,TRUE
15.898618,17.184998,TRUE
22.350230,19.231951,TRUE
10.138249, 9.726350,TRUE
15.898618,15.761655,TRUE
22.350230,18.710107,TRUE
27.880184,20.943447,TRUE
10.138249, 9.205373,TRUE
15.898618,16.229493,TRUE
10.138249, 9.334967,TRUE
10.138249,10.076805,TRUE
15.898618,11.154335,TRUE
22.350230,13.428066,TRUE
10.138249,10.619941,TRUE
15.898618,15.511366,TRUE
22.350230,12.852559,TRUE
27.880184,25.106456,TRUE
10.138249, 9.647436,TRUE
15.898618,11.025950,TRUE
22.350230,12.277202,TRUE
27.880184,21.709108,TRUE
10.138249, 9.573318,TRUE
15.898618,10.705829,TRUE
22.350230,11.522141,TRUE
10.138249, 9.644724,TRUE
15.898618,15.983197,TRUE
10.138249, 9.845860,TRUE
15.898618,11.012575,TRUE
 9.907834,13.976017,TRUE
 9.907834, 9.253452,TRUE
15.898618,16.199054,TRUE
22.350230,25.692896,TRUE
 9.907834, 8.004186,TRUE
15.898618,17.758673,TRUE
 9.907834, 8.700500,TRUE
15.898618,17.728266,TRUE
22.350230,25.133967,TRUE
 9.907834,10.426183,TRUE
15.898618,18.831432,TRUE
22.350230,21.983716,TRUE
27.880184,20.313073,TRUE
 9.907834, 7.308979,TRUE
15.898618,18.972544,TRUE
 9.907834, 8.384968,TRUE
15.898618,18.548895,TRUE
22.350230,21.018793,TRUE
27.880184,21.708954,TRUE
 9.907834, 9.285107,TRUE
15.898618,15.824277,TRUE
22.350230,19.241167,TRUE
27.880184,23.214469,TRUE
 9.907834,10.139637,TRUE
15.898618,17.085084,TRUE
22.350230,19.876839,TRUE
27.880184,20.146350,TRUE
