age.approx.months,mean,sem,Diet
 5,0.12346991,0.00822820,Combined
 8,0.05716903,0.00905810,Combined
10,0.05422705,0.00429909,Combined
16,0.04448979,0.00316258,Combined
22,0.03486148,0.00231620,Combined
28,0.02283342,0.00267056,Combined
34,0.01549324,0.00190112,Combined
40,0.01583195,0.00591992,Combined
 5,0.12346991,0.00822820,AL
 8,0.07947598,0.01179609,AL
10,0.10983877,0.01233982,AL
16,0.09108489,0.00919251,AL
22,0.06302209,0.00696190,AL
28,0.05093232,0.00939412,AL
34,0.01698739,0.00529810,AL
40,0.01647375,0.00691841,AL
 8,0.03558414,0.00989746,1D
10,0.05301316,0.00951868,1D
16,0.04317959,0.00612440,1D
22,0.03190004,0.00367733,1D
28,0.03090987,0.01004315,1D
34,0.02392032,0.00558791,1D
 8,0.06740416,0.02903505,2D
10,0.03567230,0.01128060,2D
16,0.02942634,0.00472894,2D
22,0.02553381,0.00435887,2D
28,0.01095869,0.00160840,2D
34,0.01340278,0.00252003,2D
40,0.00875610,0.00390878,2D
 8,0.07417625,0.03073626,20
10,0.04987393,0.00561060,20
16,0.04042028,0.00855456,20
22,0.03526687,0.00592650,20
28,0.01772402,0.00264866,20
34,0.01436882,0.00285897,20
40,0.03016172,0.01807785,20
 8,0.02978039,0.01405345,40
10,0.01736206,0.00330999,40
16,0.01360089,0.00186253,40
22,0.01805154,0.00234684,40
28,0.01303054,0.00208505,40
34,0.01226398,0.00452494,40
40,0.00890630,0.00221764,40
