n.per.cage,age.approx.months,mean,sem,Diet
4, 5,0.1734620,0.00167798,AL
4, 5,0.1734620,0.00167798,Combined
4, 8,0.1820333,0.00718590,1D
4, 8,0.1753648,0.00748051,20
4, 8,0.1975403,0.00726671,2D
4, 8,0.2160502,0.00691610,40
4, 8,0.1883269,0.00815933,AL
4, 8,0.1927314,0.00362112,Combined
4,10,0.2035370,0.00578996,1D
4,10,0.1865809,0.00305167,20
4,10,0.2127264,0.00539297,2D
4,10,0.2118242,0.00397323,40
4,10,0.1725509,0.00493812,AL
4,10,0.1972219,0.00226357,Combined
4,16,0.2049613,0.00464254,1D
4,16,0.2096073,0.00457541,20
4,16,0.2038268,0.00506337,2D
4,16,0.2109457,0.00295104,40
4,16,0.1911793,0.00554889,AL
4,16,0.2039281,0.00211257,Combined
4,22,0.1946282,0.00404421,1D
4,22,0.1994229,0.00358111,20
4,22,0.2072698,0.00478144,2D
4,22,0.2103794,0.00460200,40
4,22,0.1960659,0.00510109,AL
4,22,0.2012063,0.00203041,Combined
4,28,0.2175594,0.00689485,1D
4,28,0.2255053,0.00705978,20
4,28,0.2043896,0.00613640,2D
4,28,0.2219111,0.00493386,40
4,28,0.2096459,0.00957779,AL
4,28,0.2168692,0.00299023,Combined
4,34,0.2092965,0.01263079,1D
4,34,0.2466817,0.01618512,20
4,34,0.2256035,0.01506220,2D
4,34,0.2211930,0.01345529,40
4,34,0.2293475,0.00792923,Combined
4,40,0.2805536,0.02791592,40
4,40,0.2805536,0.02791592,Combined
5, 5,0.1720575,0.00163866,AL
5, 5,0.1720575,0.00163866,Combined
5, 8,0.1734821,0.00647541,1D
5, 8,0.1798488,0.00675100,20
5, 8,0.1974409,0.00702749,2D
5, 8,0.2140818,0.00951370,40
5, 8,0.1805228,0.00604199,AL
5, 8,0.1895609,0.00357332,Combined
5,10,0.2069143,0.00648968,1D
5,10,0.1910959,0.00324269,20
5,10,0.2148953,0.00591430,2D
5,10,0.2026858,0.00468825,40
5,10,0.1711248,0.00520503,AL
5,10,0.1968044,0.00239298,Combined
5,16,0.2023548,0.00428531,1D
5,16,0.2050969,0.00361642,20
5,16,0.2083885,0.00464687,2D
5,16,0.2104593,0.00349308,40
5,16,0.1913379,0.00474501,AL
5,16,0.2028532,0.00196439,Combined
5,22,0.1990870,0.00418690,1D
5,22,0.1947940,0.00423729,20
5,22,0.2053346,0.00490661,2D
5,22,0.2121194,0.00549719,40
5,22,0.1992504,0.00486855,AL
5,22,0.2014026,0.00211858,Combined
5,28,0.2186017,0.01509975,1D
5,28,0.2323033,0.00892672,20
5,28,0.2376353,0.01124889,2D
5,28,0.2247139,0.00709379,40
5,28,0.2123349,0.03699345,AL
5,28,0.2273931,0.00488116,Combined
5,34,0.2565872,0.03262547,40
5,34,0.2565872,0.03262547,Combined
6, 5,0.1722943,0.00167001,AL
6, 5,0.1722943,0.00167001,Combined
6, 8,0.1793236,0.00634521,1D
6, 8,0.1847849,0.00724816,20
6, 8,0.1965816,0.00750588,2D
6, 8,0.2223212,0.00933388,40
6, 8,0.1802729,0.00515403,AL
6, 8,0.1899328,0.00339842,Combined
6,10,0.1979887,0.00427180,1D
6,10,0.1914223,0.00358627,20
6,10,0.2192898,0.00475709,2D
6,10,0.2034568,0.00392566,40
6,10,0.1776570,0.00447469,AL
6,10,0.1971059,0.00201967,Combined
6,16,0.2110556,0.00510197,1D
6,16,0.2120049,0.00452586,20
6,16,0.2042417,0.00421656,2D
6,16,0.2127781,0.00356272,40
6,16,0.1953715,0.00462029,AL
6,16,0.2063507,0.00204139,Combined
6,22,0.1958883,0.00470622,1D
6,22,0.2046258,0.00591019,20
6,22,0.2088280,0.00577415,2D
6,22,0.2135166,0.00569431,40
6,22,0.1944532,0.00947699,AL
6,22,0.2043367,0.00269854,Combined
6,28,0.2403560,0.01932499,1D
6,28,0.1911397,0.01402604,20
6,28,0.2409734,0.01891343,2D
6,28,0.2243213,0.00761466,40
6,28,0.2260479,0.00667633,Combined
7, 5,0.1763227,0.00225723,AL
7, 5,0.1763227,0.00225723,Combined
7, 8,0.1923168,0.00533123,1D
7, 8,0.1908103,0.00674556,2D
7, 8,0.2110449,0.00995168,40
7, 8,0.1804413,0.00512258,AL
7, 8,0.1901750,0.00326130,Combined
7,10,0.2282797,0.01124570,1D
7,10,0.1969475,0.00347553,20
7,10,0.2248270,0.00617738,2D
7,10,0.2079617,0.00338093,40
7,10,0.1780264,0.00430466,AL
7,10,0.2026596,0.00257256,Combined
7,16,0.2296062,0.01049753,1D
7,16,0.2192287,0.00580731,20
7,16,0.2131827,0.00546029,2D
7,16,0.2213232,0.00473319,40
7,16,0.1955543,0.00461045,AL
7,16,0.2132644,0.00283716,Combined
7,22,0.1951401,0.00767709,1D
7,22,0.2123152,0.01214363,20
7,22,0.2294267,0.01280644,2D
7,22,0.2284108,0.00677421,40
7,22,0.1959850,0.01030344,AL
7,22,0.2182121,0.00469027,Combined
7,28,0.2487350,0.00627873,40
7,28,0.2487350,0.00627873,Combined
8, 5,0.1875019,0.00317305,AL
8, 5,0.1875019,0.00317305,Combined
8, 8,0.1847528,0.01152105,1D
8, 8,0.1928511,0.00971140,2D
8, 8,0.1899388,0.00986753,AL
8, 8,0.1891809,0.00577921,Combined
8,10,0.2088411,0.00572327,20
8,10,0.2585818,0.01543578,2D
8,10,0.2224725,0.00738041,40
8,10,0.1992304,0.00923821,AL
8,10,0.2231378,0.00563861,Combined
8,16,0.2487105,0.01951235,1D
8,16,0.2382621,0.00635277,2D
8,16,0.2257944,0.00694127,40
8,16,0.2000239,0.00673710,AL
8,16,0.2231015,0.00497061,Combined
8,22,0.2252139,0.01112064,40
8,22,0.2252139,0.01112064,Combined
