age.approx.months,mean,sem,Diet
 5,0.9271845,0.00172309,Combined
 8,0.9379996,0.00166928,Combined
10,0.9369764,0.00125382,Combined
16,0.9371803,0.00106953,Combined
22,0.9365443,0.00123483,Combined
28,0.9376410,0.00129582,Combined
34,0.9406895,0.00206118,Combined
40,0.9378626,0.00426443,Combined
 5,0.9271845,0.00172309,AL
 8,0.9366939,0.00309901,AL
10,0.9312281,0.00301777,AL
16,0.9306583,0.00315017,AL
22,0.9288190,0.00361650,AL
28,0.9292781,0.00436405,AL
34,0.9421040,0.00413937,AL
40,0.9161152,0.02275394,AL
 8,0.9385933,0.00392488,1D
10,0.9371704,0.00327460,1D
16,0.9400763,0.00202524,1D
22,0.9353503,0.00294281,1D
28,0.9392447,0.00301403,1D
34,0.9473546,0.00259778,1D
 8,0.9325681,0.00368184,2D
10,0.9329602,0.00328797,2D
16,0.9338849,0.00176992,2D
22,0.9370138,0.00228270,2D
28,0.9350707,0.00262750,2D
34,0.9238607,0.00660153,2D
40,0.9401456,0.00544588,2D
 8,0.9422045,0.00344493,20
10,0.9403961,0.00215656,20
16,0.9404473,0.00231115,20
22,0.9390450,0.00247752,20
28,0.9391394,0.00261408,20
34,0.9412506,0.00383451,20
40,0.9342835,0.01057617,20
 8,0.9420052,0.00423739,40
10,0.9435813,0.00183212,40
16,0.9419507,0.00218483,40
22,0.9427569,0.00205204,40
28,0.9427171,0.00216901,40
34,0.9472075,0.00333470,40
40,0.9454604,0.00381849,40
