age.approx.months,mean,sem,Diet
 5,0.3294365,0.00211797,Combined
 8,0.3385690,0.00341821,Combined
10,0.3418829,0.00213964,Combined
16,0.3511881,0.00219755,Combined
22,0.3489871,0.00258559,Combined
28,0.3578677,0.00287445,Combined
34,0.3527885,0.00463977,Combined
40,0.3671341,0.00676523,Combined
 5,0.3294365,0.00211797,AL
 8,0.3231324,0.00859660,AL
10,0.3323936,0.00509163,AL
16,0.3544499,0.00438054,AL
22,0.3653508,0.00553622,AL
28,0.3687094,0.00795333,AL
34,0.3775646,0.01537072,AL
40,0.3632716,0.05838634,AL
 8,0.3445233,0.00632785,1D
10,0.3538837,0.00427628,1D
16,0.3608964,0.00440922,1D
22,0.3517609,0.00485445,1D
28,0.3670840,0.00562876,1D
34,0.3549705,0.01068558,1D
 8,0.3502646,0.00668154,2D
10,0.3524932,0.00557610,2D
16,0.3461959,0.00647503,2D
22,0.3497698,0.00652746,2D
28,0.3626989,0.00576571,2D
34,0.3574699,0.00784948,2D
40,0.3926873,0.01738410,2D
 8,0.3304610,0.00801058,20
10,0.3377549,0.00379292,20
16,0.3542994,0.00424236,20
22,0.3461664,0.00576713,20
28,0.3587171,0.00700636,20
34,0.3572508,0.01058918,20
40,0.3758011,0.00989739,20
 8,0.3425727,0.00758043,40
10,0.3337515,0.00472036,40
16,0.3398249,0.00429515,40
22,0.3308870,0.00558860,40
28,0.3373849,0.00561836,40
34,0.3368006,0.00854699,40
40,0.3617237,0.00927605,40
