stool.ID,actual.age.approx.months,pred.age.months
DO_AL_0010_069w,15.87, 7.971
DO_AL_0025_035w, 8.05, 6.761
DO_40_2130_121w,27.83,28.188
DO_1D_3175_021w, 4.83, 8.285
DO_1D_3060_020w, 4.60, 5.716
DO_AL_0185_122w,28.06,21.447
DO_40_2010_121w,27.83,14.329
DO_20_1168_121w,27.83,27.179
DO_2D_4009_038w, 8.74, 9.576
DO_2D_4012_148w,34.04,25.972
DO_20_1135_148w,34.04,27.496
DO_20_1022_035w, 8.05, 8.936
DO_AL_0067_068w,15.64,17.911
DO_2D_4125_096w,22.08,22.297
DO_AL_0106_096w,22.08,24.608
DO_20_1128_021w, 4.83, 8.078
DO_20_1160_021w, 4.83, 6.979
DO_20_1111_044w,10.12, 8.210
DO_1D_3114_069w,15.87,21.888
DO_20_1129_096w,22.08,20.394
DO_40_2063_121w,27.83,17.316
DO_2D_4042_121w,27.83,20.499
DO_AL_0148_021w, 4.83, 7.487
DO_40_2083_022w, 5.06, 7.980
DO_AL_0042_044w,10.12, 8.988
DO_2D_4069_095w,21.85,21.478
DO_2D_4141_069w,15.87,19.581
DO_2D_4186_096w,22.08,15.861
DO_1D_3066_095w,21.85,17.915
DO_2D_4122_120w,27.60,23.243
DO_AL_0065_021w, 4.83, 8.016
DO_1D_3185_044w,10.12,15.139
DO_40_2023_069w,15.87,14.456
DO_1D_3121_021w, 4.83, 6.349
DO_AL_0149_096w,22.08,15.267
DO_20_1177_044w,10.12,16.474
DO_AL_0048_044w,10.12, 9.150
DO_AL_0030_121w,27.83,22.525
DO_2D_4191_096w,22.08,25.042
DO_20_1098_069w,15.87,15.365
DO_40_2016_097w,22.31,21.001
DO_20_1138_021w, 4.83, 7.476
DO_1D_3102_020w, 4.60, 6.956
DO_2D_4007_044w,10.12,10.058
DO_1D_3048_044w,10.12, 7.756
DO_1D_3069_095w,21.85,17.683
DO_2D_4024_069w,15.87,16.184
DO_AL_0060_020w, 4.60, 5.586
DO_40_2097_148w,34.04,29.122
DO_20_1001_148w,34.04,22.614
DO_2D_4117_120w,27.60,26.433
DO_1D_3042_044w,10.12, 9.247
DO_20_1037_096w,22.08,17.135
DO_AL_0157_148w,34.04,27.389
DO_1D_3044_121w,27.83,11.640
DO_1D_3097_096w,22.08,25.518
DO_1D_3092_173w,39.79,26.321
DO_2D_4083_096w,22.08,21.418
DO_1D_3013_069w,15.87,15.810
DO_AL_0014_097w,22.31, 9.178
DO_40_2104_044w,10.12,18.919
DO_1D_3103_121w,27.83,19.433
DO_AL_0044_044w,10.12, 7.129
DO_AL_0126_044w,10.12, 8.290
DO_AL_0118_148w,34.04,27.762
DO_AL_0023_043w, 9.89, 7.778
DO_AL_0066_095w,21.85,22.515
DO_20_1182_044w,10.12,18.971
DO_20_1044_121w,27.83,21.531
DO_1D_3121_069w,15.87,20.123
DO_AL_0188_122w,28.06,26.977
DO_40_2069_068w,15.64,15.978
DO_40_2085_121w,27.83,28.256
DO_1D_3171_044w,10.12,19.040
DO_1D_3003_121w,27.83,24.871
DO_40_2097_020w, 4.60, 7.193
DO_40_2070_068w,15.64,18.302
DO_40_2028_121w,27.83,26.587
DO_20_1045_096w,22.08,17.106
DO_AL_0008_044w,10.12, 6.710
DO_2D_4028_121w,27.83,22.252
DO_20_1159_021w, 4.83, 7.006
DO_20_1127_044w,10.12, 8.404
DO_AL_0046_096w,22.08,17.325
DO_40_2165_021w, 4.83, 6.720
DO_2D_4069_044w,10.12,14.973
DO_20_1022_174w,40.02,29.031
DO_40_2114_120w,27.60,25.285
DO_20_1165_097w,22.31,27.526
DO_20_1151_069w,15.87,19.706
DO_2D_4090_069w,15.87,14.965
DO_40_2033_044w,10.12,10.176
DO_2D_4087_043w, 9.89,16.373
DO_1D_3159_096w,22.08,16.424
DO_40_2096_096w,22.08,19.461
DO_40_2027_148w,34.04,21.080
DO_40_2017_148w,34.04,26.921
DO_20_1157_096w,22.08,18.422
DO_1D_3048_023w, 5.29, 7.335
DO_20_1147_021w, 4.83, 6.984
DO_2D_4045_069w,15.87,14.646
DO_40_2149_096w,22.08,23.128
DO_20_1006_148w,34.04,23.181
DO_40_2176_069w,15.87,25.290
DO_AL_0112_069w,15.87,15.821
DO_1D_3039_069w,15.87,16.786
DO_40_2142_021w, 4.83,13.476
DO_20_1026_069w,15.87,16.248
DO_40_2050_200w,46.00,28.964
DO_AL_0139_096w,22.08,20.936
DO_20_1104_069w,15.87,20.506
DO_40_2151_044w,10.12,22.010
DO_20_1078_068w,15.64,18.645
DO_20_1121_021w, 4.83, 8.154
DO_20_1009_044w,10.12, 7.916
DO_40_2030_035w, 8.05, 9.541
DO_1D_3158_069w,15.87,17.667
DO_40_2059_173w,39.79,26.541
DO_1D_3044_069w,15.87,16.088
DO_AL_0091_121w,27.83,26.457
DO_2D_4128_148w,34.04,22.500
DO_AL_0125_021w, 4.83, 5.895
DO_40_2125_148w,34.04,25.559
DO_40_2125_021w, 4.83, 7.615
DO_AL_0012_121w,27.83,20.797
DO_20_1132_121w,27.83,23.377
DO_1D_3107_044w,10.12,17.013
DO_AL_0131_021w, 4.83, 7.100
DO_40_2043_044w,10.12, 9.652
DO_2D_4011_121w,27.83,18.657
DO_2D_4184_148w,34.04,23.642
DO_2D_4037_096w,22.08,19.642
DO_20_1122_021w, 4.83, 8.046
DO_40_2087_069w,15.87,17.313
DO_20_1122_044w,10.12, 9.092
DO_1D_3041_023w, 5.29, 8.370
DO_AL_0023_035w, 8.05, 7.298
DO_2D_4176_021w, 4.83, 6.510
DO_2D_4113_148w,34.04,25.373
DO_20_1001_174w,40.02,27.152
DO_40_2024_121w,27.83,28.745
DO_AL_0140_044w,10.12, 7.374
DO_40_2136_069w,15.87,16.292
DO_2D_4187_069w,15.87,18.100
DO_20_1025_069w,15.87,15.519
DO_2D_4127_044w,10.12, 9.494
DO_AL_0033_148w,34.04,25.178
DO_AL_0140_069w,15.87,10.629
DO_40_2002_044w,10.12, 9.840
DO_1D_3113_044w,10.12,16.605
DO_AL_0024_043w, 9.89, 6.854
DO_AL_0189_069w,15.87,15.649
DO_40_2020_069w,15.87,15.659
DO_20_1088_069w,15.87,19.218
DO_AL_0046_023w, 5.29, 7.740
DO_40_2130_069w,15.87,17.340
DO_1D_3185_021w, 4.83,17.340
DO_40_2102_020w, 4.60, 5.449
DO_2D_4102_021w, 4.83, 8.200
DO_AL_0077_120w,27.60,23.730
DO_2D_4027_121w,27.83,24.416
DO_AL_0066_068w,15.64,16.751
DO_20_1033_069w,15.87,15.007
DO_AL_0072_095w,21.85,21.594
DO_AL_0106_121w,27.83,26.354
DO_20_1034_121w,27.83,22.317
DO_2D_4070_068w,15.64,18.394
DO_20_1023_043w, 9.89, 8.552
DO_2D_4014_044w,10.12, 9.899
DO_40_2006_097w,22.31,26.665
DO_AL_0005_097w,22.31,14.532
DO_1D_3175_121w,27.83,23.308
DO_AL_0001_121w,27.83,20.624
DO_2D_4108_121w,27.83,17.510
DO_40_2087_096w,22.08,21.583
DO_40_2044_023w, 5.29, 6.962
DO_AL_0043_069w,15.87, 7.194
DO_1D_3156_096w,22.08,23.237
DO_40_2138_021w, 4.83, 8.282
DO_40_2061_069w,15.87,18.542
DO_20_1171_021w, 4.83, 6.619
DO_40_2070_021w, 4.83, 6.085
DO_40_2156_121w,27.83,26.167
DO_AL_0145_069w,15.87,10.522
DO_40_2132_096w,22.08,22.496
DO_1D_3151_069w,15.87,15.851
DO_20_1071_149w,34.27,29.883
DO_20_1147_096w,22.08,16.121
DO_20_1101_121w,27.83,22.489
DO_2D_4106_096w,22.08,22.906
DO_40_2149_069w,15.87,18.017
DO_2D_4024_043w, 9.89,10.096
DO_1D_3056_121w,27.83,21.167
DO_1D_3136_069w,15.87,18.690
DO_20_1011_038w, 8.74, 8.686
DO_AL_0126_021w, 4.83, 5.981
DO_2D_4028_148w,34.04,29.358
DO_40_2139_069w,15.87,22.541
DO_40_2024_035w, 8.05, 8.583
DO_20_1054_121w,27.83,24.825
DO_2D_4106_069w,15.87,17.550
DO_1D_3188_021w, 4.83,15.684
DO_20_1060_020w, 4.60, 5.471
DO_2D_4057_096w,22.08,18.214
DO_AL_0162_121w,27.83,12.308
DO_2D_4039_148w,34.04,19.767
DO_1D_3046_023w, 5.29, 6.979
DO_AL_0026_035w, 8.05, 8.403
DO_AL_0023_069w,15.87,20.275
DO_20_1008_069w,15.87,19.727
DO_1D_3116_148w,34.04,25.494
DO_1D_3093_096w,22.08,14.914
DO_1D_3091_096w,22.08,17.475
DO_AL_0083_096w,22.08,22.390
DO_40_2183_021w, 4.83,16.120
DO_40_2144_021w, 4.83,20.509
DO_20_1008_121w,27.83,25.288
DO_40_2024_174w,40.02,28.125
DO_AL_0104_020w, 4.60, 6.556
DO_1D_3111_044w,10.12,14.190
DO_AL_0181_122w,28.06,23.259
DO_1D_3180_044w,10.12,20.120
DO_20_1120_044w,10.12,10.214
DO_20_1112_044w,10.12, 8.880
DO_2D_4182_044w,10.12,14.877
DO_2D_4147_021w, 4.83,16.181
DO_2D_4094_069w,15.87,18.781
DO_AL_0094_069w,15.87,17.676
DO_AL_0088_069w,15.87,18.154
DO_2D_4068_021w, 4.83, 7.445
DO_20_1149_021w, 4.83,11.713
DO_AL_0090_022w, 5.06, 6.394
DO_40_2126_096w,22.08,23.947
DO_40_2149_148w,34.04,24.386
DO_2D_4148_148w,34.04,18.149
DO_AL_0058_096w,22.08,20.779
DO_AL_0150_096w,22.08,20.484
DO_2D_4057_044w,10.12, 9.589
DO_1D_3037_044w,10.12, 8.410
DO_20_1016_044w,10.12, 8.246
DO_20_1148_069w,15.87,22.628
DO_2D_4005_044w,10.12,10.517
DO_AL_0130_069w,15.87,18.311
DO_AL_0051_121w,27.83,19.667
DO_2D_4150_121w,27.83,24.610
DO_AL_0192_044w,10.12,19.874
DO_20_1087_096w,22.08,21.650
DO_AL_0101_044w,10.12,20.890
DO_20_1045_148w,34.04,26.509
DO_40_2045_044w,10.12, 9.645
DO_20_1122_120w,27.60,21.786
DO_AL_0020_043w, 9.89, 8.231
DO_20_1034_096w,22.08,20.383
DO_2D_4084_068w,15.64,21.180
DO_2D_4003_097w,22.31,24.429
DO_1D_3114_096w,22.08,22.894
DO_2D_4061_020w, 4.60, 6.599
DO_AL_0132_069w,15.87,15.774
DO_1D_3124_069w,15.87,19.897
DO_20_1176_097w,22.31,17.235
DO_40_2081_173w,39.79,28.480
DO_40_2052_121w,27.83,24.310
DO_20_1173_021w, 4.83, 6.513
DO_40_2126_148w,34.04,28.401
DO_2D_4162_069w,15.87,24.272
DO_2D_4122_069w,15.87,21.197
DO_2D_4051_020w, 4.60, 7.248
DO_40_2128_021w, 4.83, 9.299
DO_2D_4077_095w,21.85,24.840
DO_20_1034_069w,15.87,18.939
DO_2D_4010_038w, 8.74, 8.348
DO_AL_0012_038w, 8.74, 8.675
DO_AL_0037_096w,22.08,25.675
DO_40_2095_121w,27.83,27.308
DO_40_2101_020w, 4.60, 7.471
DO_AL_0173_044w,10.12, 7.676
DO_AL_0049_044w,10.12, 9.143
