stool.ID,actual.age.approx.months,pred.age.months
DO_AL_0131_096w,22.08,16.809
DO_AL_0147_096w,22.08,18.641
DO_AL_0051_069w,15.87,16.343
DO_AL_0175_021w, 4.83, 9.230
DO_AL_0056_020w, 4.60, 7.129
DO_AL_0032_035w, 8.05, 8.035
DO_AL_0096_069w,15.87,19.780
DO_AL_0068_095w,21.85,24.680
DO_AL_0073_021w, 4.83, 8.674
DO_AL_0004_038w, 8.74, 8.266
DO_AL_0119_069w,15.87,17.976
DO_AL_0025_121w,27.83,20.903
DO_AL_0112_020w, 4.60, 7.231
DO_AL_0114_096w,22.08,23.759
DO_AL_0006_097w,22.31,18.119
DO_AL_0173_021w, 4.83, 7.145
DO_AL_0134_096w,22.08,20.944
DO_AL_0062_069w,15.87,16.582
DO_AL_0184_021w, 4.83, 7.771
DO_AL_0119_044w,10.12, 8.879
DO_AL_0042_044w,10.12,10.027
DO_AL_0180_096w,22.08,23.718
DO_AL_0161_097w,22.31,17.691
DO_AL_0005_121w,27.83,23.168
DO_AL_0099_069w,15.87,18.859
DO_AL_0039_023w, 5.29, 7.414
DO_AL_0067_021w, 4.83, 8.373
DO_AL_0047_121w,27.83,20.739
DO_AL_0065_021w, 4.83, 8.980
DO_AL_0091_121w,27.83,23.013
DO_AL_0020_069w,15.87,17.139
DO_AL_0041_069w,15.87,10.316
DO_AL_0045_023w, 5.29, 9.532
DO_AL_0094_044w,10.12, 8.948
DO_AL_0085_096w,22.08,21.163
DO_AL_0192_021w, 4.83, 7.328
DO_AL_0011_038w, 8.74, 9.175
DO_AL_0137_021w, 4.83, 7.573
DO_AL_0025_097w,22.31,18.409
DO_AL_0102_069w,15.87,18.185
DO_AL_0066_148w,34.04,22.316
DO_AL_0175_097w,22.31,20.739
DO_AL_0031_043w, 9.89, 8.013
DO_AL_0145_021w, 4.83, 6.971
DO_AL_0010_069w,15.87,11.068
DO_AL_0046_044w,10.12, 9.851
DO_AL_0061_020w, 4.60, 9.696
DO_AL_0186_021w, 4.83, 9.169
DO_AL_0008_069w,15.87,17.027
DO_AL_0172_097w,22.31,14.863
DO_AL_0003_121w,27.83,23.014
DO_AL_0019_069w,15.87,16.556
DO_AL_0129_021w, 4.83, 8.243
DO_AL_0099_044w,10.12,16.000
DO_AL_0087_022w, 5.06, 7.847
DO_AL_0025_069w,15.87,13.818
DO_AL_0092_069w,15.87,18.335
DO_AL_0134_044w,10.12, 8.884
DO_AL_0090_096w,22.08,23.805
DO_AL_0033_069w,15.87, 9.907
DO_AL_0030_035w, 8.05, 8.842
DO_AL_0046_023w, 5.29, 9.959
DO_AL_0018_043w, 9.89, 9.325
DO_AL_0157_148w,34.04,24.059
DO_AL_0126_044w,10.12, 9.181
DO_AL_0154_021w, 4.83, 7.339
DO_AL_0155_044w,10.12,19.407
DO_AL_0057_069w,15.87,13.291
DO_AL_0019_035w, 8.05, 9.631
DO_AL_0044_023w, 5.29, 7.737
DO_AL_0167_021w, 4.83, 7.741
DO_AL_0120_021w, 4.83,16.711
DO_AL_0107_020w, 4.60, 7.981
DO_AL_0024_097w,22.31,19.266
