stool.ID,actual.age.approx.months,pred.age.months
DO_AL_0131_096w,22.08,12.694
DO_AL_0147_096w,22.08,22.880
DO_AL_0051_069w,15.87,19.695
DO_AL_0175_021w, 4.83, 9.647
DO_AL_0056_020w, 4.60, 9.956
DO_AL_0032_035w, 8.05,13.164
DO_AL_0096_069w,15.87,21.843
DO_AL_0068_095w,21.85,14.459
DO_AL_0073_021w, 4.83,10.607
DO_AL_0004_038w, 8.74, 9.713
DO_AL_0119_069w,15.87,13.110
DO_AL_0025_121w,27.83,21.735
DO_AL_0112_020w, 4.60,10.535
DO_AL_0114_096w,22.08,18.623
DO_AL_0006_097w,22.31,17.520
DO_AL_0173_021w, 4.83,13.817
DO_AL_0134_096w,22.08,18.251
DO_AL_0062_069w,15.87,15.846
DO_AL_0184_021w, 4.83,12.135
DO_AL_0119_044w,10.12, 9.855
DO_AL_0042_044w,10.12,12.766
DO_AL_0180_096w,22.08,23.454
DO_AL_0161_097w,22.31,14.192
DO_AL_0005_121w,27.83,17.957
DO_AL_0099_069w,15.87,19.502
DO_AL_0039_023w, 5.29, 8.672
DO_AL_0067_021w, 4.83, 8.946
DO_AL_0047_121w,27.83,17.741
DO_AL_0065_021w, 4.83,15.501
DO_AL_0091_121w,27.83,17.291
DO_AL_0020_069w,15.87,13.902
DO_AL_0041_069w,15.87,14.415
DO_AL_0045_023w, 5.29,13.584
DO_AL_0094_044w,10.12, 8.740
DO_AL_0085_096w,22.08,16.657
DO_AL_0192_021w, 4.83,11.922
DO_AL_0011_038w, 8.74,12.837
DO_AL_0137_021w, 4.83,11.336
DO_AL_0025_097w,22.31,21.265
DO_AL_0102_069w,15.87,19.449
DO_AL_0066_148w,34.04,17.664
DO_AL_0175_097w,22.31,12.971
DO_AL_0031_043w, 9.89,14.401
DO_AL_0145_021w, 4.83, 9.209
DO_AL_0010_069w,15.87,12.129
DO_AL_0046_044w,10.12,10.615
DO_AL_0061_020w, 4.60,11.518
DO_AL_0186_021w, 4.83,14.247
DO_AL_0008_069w,15.87,12.937
DO_AL_0172_097w,22.31,14.719
DO_AL_0003_121w,27.83,16.973
DO_AL_0019_069w,15.87,19.323
DO_AL_0129_021w, 4.83,15.151
DO_AL_0099_044w,10.12,13.799
DO_AL_0087_022w, 5.06,13.800
DO_AL_0025_069w,15.87,12.582
DO_AL_0092_069w,15.87,13.486
DO_AL_0134_044w,10.12,14.160
DO_AL_0090_096w,22.08,18.493
DO_AL_0033_069w,15.87,11.208
