perc.increase.in.MSE,feature
 26.572,L-isoleucine biosynthesis III (PWY-5103)
 25.213,L-isoleucine biosynthesis III (PWY-5103)
 23.436,L-isoleucine biosynthesis III (PWY-5103)
 22.572,L-isoleucine biosynthesis III (PWY-5103)
 22.515,L-isoleucine biosynthesis III (PWY-5103)
 20.631,L-isoleucine biosynthesis III (PWY-5103)
 19.133,L-isoleucine biosynthesis III (PWY-5103)
 18.454,L-isoleucine biosynthesis III (PWY-5103)
 16.181,L-isoleucine biosynthesis III (PWY-5103)
 14.819,L-isoleucine biosynthesis III (PWY-5103)
144.698,L-lysine biosynthesis II (PWY-2941)
134.109,L-lysine biosynthesis II (PWY-2941)
126.839,L-lysine biosynthesis II (PWY-2941)
119.269,L-lysine biosynthesis II (PWY-2941)
111.820,L-lysine biosynthesis II (PWY-2941)
 97.446,L-lysine biosynthesis II (PWY-2941)
 94.992,L-lysine biosynthesis II (PWY-2941)
 87.090,L-lysine biosynthesis II (PWY-2941)
 82.315,L-lysine biosynthesis II (PWY-2941)
 64.445,L-lysine biosynthesis II (PWY-2941)
 38.731,O-antigen building blocks b... (OANTIGEN-PWY)
 33.745,O-antigen building blocks b... (OANTIGEN-PWY)
 23.944,O-antigen building blocks b... (OANTIGEN-PWY)
 21.600,O-antigen building blocks b... (OANTIGEN-PWY)
 18.940,O-antigen building blocks b... (OANTIGEN-PWY)
 18.315,O-antigen building blocks b... (OANTIGEN-PWY)
 17.833,O-antigen building blocks b... (OANTIGEN-PWY)
 17.767,O-antigen building blocks b... (OANTIGEN-PWY)
  9.956,O-antigen building blocks b... (OANTIGEN-PWY)
  9.685,O-antigen building blocks b... (OANTIGEN-PWY)
143.025,gluconeogenesis III (PWY66-399)
141.191,gluconeogenesis III (PWY66-399)
140.476,gluconeogenesis III (PWY66-399)
129.631,gluconeogenesis III (PWY66-399)
113.453,gluconeogenesis III (PWY66-399)
 90.141,gluconeogenesis III (PWY66-399)
 87.748,gluconeogenesis III (PWY66-399)
 84.051,gluconeogenesis III (PWY66-399)
 81.209,gluconeogenesis III (PWY66-399)
 74.833,gluconeogenesis III (PWY66-399)
 86.133,glycolysis IV (PWY-1042)
 77.864,glycolysis IV (PWY-1042)
 73.252,glycolysis IV (PWY-1042)
 71.123,glycolysis IV (PWY-1042)
 70.775,glycolysis IV (PWY-1042)
 69.487,glycolysis IV (PWY-1042)
 66.518,glycolysis IV (PWY-1042)
 65.822,glycolysis IV (PWY-1042)
 59.898,glycolysis IV (PWY-1042)
 56.041,glycolysis IV (PWY-1042)
 86.133,glycolysis IV (plant cytosol) (PWY-1042)
 77.864,glycolysis IV (plant cytosol) (PWY-1042)
 73.252,glycolysis IV (plant cytosol) (PWY-1042)
 71.123,glycolysis IV (plant cytosol) (PWY-1042)
 70.775,glycolysis IV (plant cytosol) (PWY-1042)
 69.487,glycolysis IV (plant cytosol) (PWY-1042)
 66.518,glycolysis IV (plant cytosol) (PWY-1042)
 65.822,glycolysis IV (plant cytosol) (PWY-1042)
 59.898,glycolysis IV (plant cytosol) (PWY-1042)
 56.041,glycolysis IV (plant cytosol) (PWY-1042)
189.990,inosine-5'-phosphate biosyn... (PWY-7234)
184.646,inosine-5'-phosphate biosyn... (PWY-7234)
175.970,inosine-5'-phosphate biosyn... (PWY-7234)
163.903,inosine-5'-phosphate biosyn... (PWY-7234)
