age.months,fold,accuracy
 5,Fold01,0.188
 5,Fold02,0.131
 5,Fold03,0.131
 5,Fold04,0.203
 5,Fold05,0.143
 5,Fold06,0.174
 5,Fold07,0.294
 5,Fold08,0.158
 5,Fold09,0.105
 5,Fold10,0.087
10,Fold01,0.312
10,Fold02,0.310
10,Fold03,0.343
10,Fold04,0.352
10,Fold05,0.433
10,Fold06,0.458
10,Fold07,0.286
10,Fold08,0.182
10,Fold09,0.545
10,Fold10,0.340
16,Fold01,0.372
16,Fold02,0.525
16,Fold03,0.357
16,Fold04,0.471
16,Fold05,0.438
16,Fold06,0.371
16,Fold07,0.394
16,Fold08,0.333
16,Fold09,0.394
16,Fold10,0.526
22,Fold01,0.471
22,Fold02,0.395
22,Fold03,0.310
22,Fold04,0.212
22,Fold05,0.372
22,Fold06,0.549
22,Fold07,0.444
22,Fold08,0.366
22,Fold09,0.436
22,Fold10,0.370
28,Fold01,0.444
28,Fold02,0.375
28,Fold03,0.413
28,Fold04,0.378
28,Fold05,0.379
28,Fold06,0.413
28,Fold07,0.243
28,Fold08,0.412
28,Fold09,0.316
28,Fold10,0.212
