actual.age.approx.months,pred.age.months,is.AL
10.138249,14.448633,TRUE
15.898618,12.731021,TRUE
22.350230,20.726206,TRUE
27.880184,20.313108,TRUE
10.138249, 8.977995,TRUE
15.898618,13.630644,TRUE
22.350230,15.918735,TRUE
10.138249,16.417271,TRUE
15.898618,11.156258,TRUE
22.350230,18.387345,TRUE
27.880184,17.390915,TRUE
10.138249,14.931757,TRUE
15.898618,14.226296,TRUE
22.350230,17.613111,TRUE
27.880184,18.312655,TRUE
10.138249, 9.494398,TRUE
15.898618,14.273383,TRUE
22.350230,14.548820,TRUE
27.880184,17.780831,TRUE
15.898618,18.197625,TRUE
22.350230,17.552562,TRUE
10.138249,11.780860,TRUE
15.898618,12.916215,TRUE
22.350230,21.736263,TRUE
27.880184,12.634107,TRUE
10.138249,10.787504,TRUE
15.898618,12.290419,TRUE
10.138249,16.121531,TRUE
10.138249,15.463685,TRUE
15.898618,13.227727,TRUE
22.350230,12.509442,TRUE
10.138249,14.196742,TRUE
15.898618,13.387733,TRUE
22.350230,22.151592,TRUE
27.880184,21.197938,TRUE
10.138249,14.436449,TRUE
15.898618,11.844619,TRUE
22.350230,13.599245,TRUE
27.880184,18.855568,TRUE
10.138249,10.114370,TRUE
15.898618,11.005329,TRUE
22.350230,16.355022,TRUE
10.138249,14.978401,TRUE
15.898618,11.532837,TRUE
10.138249,17.029296,TRUE
15.898618,13.191909,TRUE
 9.907834,11.814882,TRUE
 9.907834,11.771395,TRUE
15.898618,16.549052,TRUE
22.350230,21.833010,TRUE
 9.907834,10.849396,TRUE
15.898618,17.422455,TRUE
 9.907834,12.284131,TRUE
15.898618,13.388251,TRUE
22.350230,20.113255,TRUE
 9.907834,12.697709,TRUE
15.898618,19.451551,TRUE
22.350230,16.972053,TRUE
27.880184,13.253089,TRUE
 9.907834,13.259760,TRUE
15.898618,13.927468,TRUE
 9.907834,11.655559,TRUE
15.898618,21.878742,TRUE
22.350230,16.518012,TRUE
27.880184,21.645326,TRUE
 9.907834,10.147119,TRUE
15.898618,12.652593,TRUE
22.350230,21.287156,TRUE
27.880184,22.301433,TRUE
 9.907834,13.007122,TRUE
15.898618,16.289147,TRUE
22.350230,18.663040,TRUE
27.880184,23.747163,TRUE
 9.907834,10.002392,TRUE
15.898618,24.750551,TRUE
22.350230,19.835488,TRUE
 9.907834,13.095174,TRUE
15.898618,14.138606,TRUE
22.350230,17.347994,TRUE
27.880184,22.890202,TRUE
 9.907834,13.682985,TRUE
15.898618,14.708836,TRUE
 9.907834,10.750993,TRUE
15.898618,12.385854,TRUE
22.350230,26.283815,TRUE
27.880184,27.293646,TRUE
 9.907834,14.164848,TRUE
15.898618,17.178091,TRUE
15.898618,12.669441,TRUE
 5.299539,10.381922,TRUE
15.898618,10.734284,TRUE
22.119816,23.950575,TRUE
27.880184,21.020504,TRUE
 5.299539,12.854602,TRUE
 5.299539,11.594102,TRUE
15.898618,10.840230,TRUE
15.898618, 9.221502,TRUE
22.119816,14.585756,TRUE
15.898618,13.585524,TRUE
22.119816,22.004852,TRUE
 5.299539, 9.488253,TRUE
15.898618,11.347189,TRUE
 5.299539, 8.320221,TRUE
15.898618,10.696085,TRUE
 5.299539,12.533790,TRUE
15.898618,11.546664,TRUE
22.119816,15.742176,TRUE
10.138249,11.841585,TRUE
15.898618,14.651395,TRUE
22.119816,23.124925,TRUE
10.138249,12.331760,TRUE
15.898618,11.279809,TRUE
22.119816,19.979129,TRUE
15.898618,12.041326,TRUE
22.119816,15.269411,TRUE
27.880184,15.439831,TRUE
 5.299539, 8.719278,TRUE
10.138249, 8.926218,TRUE
 5.299539,13.561617,TRUE
10.138249,12.576041,TRUE
15.898618,11.346098,TRUE
22.119816,14.312160,TRUE
27.880184,13.409188,TRUE
 5.299539,10.862985,TRUE
10.138249,10.698401,TRUE
15.898618,14.039697,TRUE
22.119816,22.672047,TRUE
 5.299539,11.370718,TRUE
10.138249, 9.725002,TRUE
15.898618,14.187056,TRUE
22.119816,17.415690,TRUE
27.880184,18.158410,TRUE
 5.299539, 9.279741,TRUE
10.138249,13.744146,TRUE
15.898618,11.776884,TRUE
22.119816,20.908198,TRUE
 4.608295, 9.899134,TRUE
10.138249,11.883933,TRUE
15.898618,18.760603,TRUE
 4.608295, 9.125527,TRUE
15.898618,14.638633,TRUE
27.880184,14.252023,TRUE
 4.608295, 8.665822,TRUE
10.138249,11.312237,TRUE
15.898618,18.936364,TRUE
22.119816,16.839400,TRUE
27.880184,15.412194,TRUE
 4.608295,10.207981,TRUE
15.898618,11.794438,TRUE
22.119816,15.297982,TRUE
27.880184,19.640734,TRUE
 4.608295,11.329476,TRUE
10.138249, 7.032842,TRUE
15.898618,18.300614,TRUE
22.119816,20.672840,TRUE
27.880184,19.100324,TRUE
 4.608295, 8.953947,TRUE
22.119816,18.443932,TRUE
 4.608295, 9.199963,TRUE
22.119816,14.175551,TRUE
 4.608295,10.902161,TRUE
15.898618,21.989629,TRUE
22.119816,16.760106,TRUE
10.138249,11.057289,TRUE
15.898618,12.667903,TRUE
22.119816,20.422047,TRUE
 4.608295,12.678105,TRUE
22.119816,14.683216,TRUE
 4.608295, 9.381903,TRUE
10.138249,10.972387,TRUE
 4.608295, 8.676561,TRUE
15.898618,21.226490,TRUE
22.119816,23.597844,TRUE
27.880184,18.705340,TRUE
 4.608295,11.783134,TRUE
 4.608295,11.121631,TRUE
15.898618,14.455671,TRUE
 4.608295, 9.904655,TRUE
15.898618,21.663571,TRUE
22.119816,14.623201,TRUE
 4.608295,11.750316,TRUE
15.898618,14.649331,TRUE
 4.838710,15.691390,TRUE
10.138249,10.046832,TRUE
15.668203,17.621762,TRUE
10.138249,11.152691,TRUE
15.668203,20.926412,TRUE
21.889401,13.996035,TRUE
 4.838710, 8.545924,TRUE
10.138249,13.588002,TRUE
15.668203,17.113314,TRUE
10.138249,13.924770,TRUE
15.668203,19.304046,TRUE
21.889401,14.917343,TRUE
27.649770,21.065832,TRUE
15.668203,12.287658,TRUE
21.889401,16.895606,TRUE
 4.838710,11.623670,TRUE
10.138249,10.319151,TRUE
15.668203,13.341979,TRUE
 4.838710, 8.717968,TRUE
10.138249, 9.701839,TRUE
15.668203,18.311072,TRUE
21.889401,17.863296,TRUE
27.649770,16.523852,TRUE
 4.838710,11.658613,TRUE
10.138249, 9.677721,TRUE
21.889401,22.311064,TRUE
 4.838710,10.462204,TRUE
10.138249, 8.756185,TRUE
 4.838710,12.770146,TRUE
15.668203,12.299896,TRUE
 4.838710,11.791378,TRUE
15.668203,13.818492,TRUE
21.889401,18.536711,TRUE
 4.838710, 8.079125,TRUE
15.668203,11.121130,TRUE
21.889401,12.688488,TRUE
 4.838710,11.530474,TRUE
15.668203,12.327758,TRUE
21.889401,21.340753,TRUE
27.649770,24.650917,TRUE
15.668203, 8.891896,TRUE
27.649770,17.494793,TRUE
 4.838710, 8.738779,TRUE
15.668203,12.796952,TRUE
21.889401,16.120494,TRUE
 4.838710, 8.076081,TRUE
15.668203, 9.825202,TRUE
21.889401,11.179885,TRUE
22.119816,18.473261,TRUE
 5.069124,11.565877,TRUE
 5.069124,12.591052,TRUE
15.898618,15.690657,TRUE
22.119816,19.414213,TRUE
 5.069124,12.165202,TRUE
10.138249,13.277570,TRUE
15.898618,17.435953,TRUE
22.119816,16.949658,TRUE
 5.069124,13.496213,TRUE
15.898618,12.413488,TRUE
22.119816,17.971726,TRUE
 5.069124,13.804263,TRUE
15.898618,12.642027,TRUE
 5.069124, 9.373205,TRUE
15.898618,15.980915,TRUE
22.119816,21.057028,TRUE
