stool.ID,Diet,pred.age.months,age.approx.months
DO_1D_3001_044w,1D, 51.477,10
DO_1D_3001_069w,1D, 52.700,16
DO_1D_3001_097w,1D, 77.213,22
DO_1D_3002_044w,1D, 39.290,10
DO_1D_3002_069w,1D, 57.851,16
DO_1D_3002_097w,1D, 70.888,22
DO_1D_3003_044w,1D, 51.866,10
DO_1D_3003_069w,1D, 27.865,16
DO_1D_3003_097w,1D, 80.831,22
DO_1D_3003_121w,1D, 77.614,28
DO_1D_3004_044w,1D, 58.718,10
DO_1D_3004_069w,1D, 68.872,16
DO_1D_3007_044w,1D, 51.662,10
DO_1D_3007_069w,1D, 44.357,16
DO_1D_3008_044w,1D, 70.461,10
DO_1D_3008_069w,1D, 61.693,16
DO_1D_3009_044w,1D, 62.054,10
DO_1D_3010_044w,1D, 29.073,10
DO_1D_3010_069w,1D, 52.376,16
DO_1D_3010_097w,1D, 66.233,22
DO_1D_3010_121w,1D, 58.231,28
DO_1D_3011_044w,1D, 43.582,10
DO_1D_3011_069w,1D, 70.196,16
DO_1D_3011_121w,1D, 79.408,28
DO_1D_3012_044w,1D, 42.766,10
DO_1D_3012_069w,1D, 69.437,16
DO_1D_3013_044w,1D, 37.565,10
DO_1D_3013_069w,1D, 58.179,16
DO_1D_3013_097w,1D, 74.676,22
DO_1D_3014_044w,1D, 56.761,10
DO_1D_3014_069w,1D, 65.839,16
DO_1D_3014_097w,1D, 70.507,22
DO_1D_3014_121w,1D, 70.233,28
DO_1D_3016_044w,1D, 37.578,10
DO_1D_3016_069w,1D, 63.110,16
DO_1D_3017_043w,1D, 23.487,10
DO_1D_3017_069w,1D, 46.787,16
DO_1D_3017_097w,1D, 56.563,22
DO_1D_3018_069w,1D, 52.284,16
DO_1D_3018_097w,1D, 29.551,22
DO_1D_3019_069w,1D, 54.471,16
DO_1D_3019_097w,1D, 50.440,22
DO_1D_3019_121w,1D, 57.863,28
DO_1D_3020_043w,1D, 30.006,10
DO_1D_3020_069w,1D, 52.146,16
DO_1D_3022_069w,1D, 49.082,16
DO_1D_3022_097w,1D, 48.960,22
DO_1D_3022_121w,1D, 63.873,28
DO_1D_3024_043w,1D, 23.236,10
DO_1D_3024_121w,1D, 72.821,28
DO_1D_3026_043w,1D, 41.348,10
DO_1D_3026_069w,1D, 62.482,16
DO_1D_3026_097w,1D, 60.470,22
DO_1D_3026_121w,1D, 62.261,28
DO_1D_3027_043w,1D, 34.023,10
DO_1D_3027_069w,1D, 50.145,16
DO_1D_3027_097w,1D, 64.087,22
DO_1D_3027_121w,1D, 58.204,28
DO_1D_3028_043w,1D, 23.651,10
DO_1D_3028_069w,1D, 49.910,16
DO_1D_3028_097w,1D, 69.542,22
DO_1D_3029_043w,1D, 34.326,10
DO_1D_3029_069w,1D, 46.961,16
DO_1D_3029_097w,1D, 52.596,22
DO_1D_3030_043w,1D, 23.937,10
DO_1D_3030_069w,1D, 51.181,16
DO_1D_3030_097w,1D, 33.888,22
DO_1D_3031_069w,1D, 60.950,16
DO_1D_3031_121w,1D, 58.090,28
DO_1D_3032_043w,1D, 33.632,10
DO_1D_3032_069w,1D, 52.595,16
DO_1D_3032_097w,1D, 66.487,22
DO_1D_3033_023w,1D, 26.608, 5
DO_1D_3034_023w,1D, 29.016, 5
DO_1D_3034_044w,1D, 25.655,10
DO_1D_3034_069w,1D, 52.734,16
DO_1D_3034_096w,1D, 84.377,22
DO_1D_3035_023w,1D, 25.235, 5
DO_1D_3035_044w,1D, 31.653,10
DO_1D_3035_069w,1D, 55.635,16
DO_1D_3035_096w,1D, 53.132,22
DO_1D_3037_023w,1D, 22.448, 5
DO_1D_3037_044w,1D, 31.360,10
DO_1D_3037_069w,1D, 62.938,16
DO_1D_3037_096w,1D, 63.034,22
DO_1D_3037_121w,1D, 61.623,28
DO_1D_3038_023w,1D, 22.619, 5
DO_1D_3038_044w,1D, 33.084,10
DO_1D_3038_069w,1D, 70.223,16
DO_1D_3038_096w,1D, 65.084,22
DO_1D_3038_121w,1D, 76.553,28
DO_1D_3039_044w,1D, 36.719,10
DO_1D_3039_069w,1D, 55.211,16
DO_1D_3039_096w,1D, 91.293,22
DO_1D_3039_121w,1D, 55.518,28
DO_1D_3040_023w,1D, 24.294, 5
DO_1D_3040_044w,1D, 24.623,10
DO_1D_3040_069w,1D, 46.010,16
DO_1D_3040_096w,1D, 48.299,22
DO_1D_3040_121w,1D, 59.995,28
DO_1D_3041_023w,1D, 26.197, 5
DO_1D_3041_044w,1D, 29.232,10
DO_1D_3041_069w,1D, 57.607,16
DO_1D_3042_023w,1D, 23.022, 5
DO_1D_3042_044w,1D, 40.962,10
DO_1D_3042_069w,1D, 54.104,16
DO_1D_3043_023w,1D, 28.502, 5
DO_1D_3043_044w,1D, 34.748,10
DO_1D_3043_069w,1D, 62.904,16
DO_1D_3043_096w,1D, 67.079,22
DO_1D_3043_121w,1D, 59.591,28
DO_1D_3044_023w,1D, 22.044, 5
DO_1D_3044_044w,1D, 33.544,10
DO_1D_3044_069w,1D, 48.542,16
DO_1D_3044_096w,1D, 33.563,22
DO_1D_3044_121w,1D, 33.540,28
DO_1D_3045_023w,1D, 35.100, 5
DO_1D_3045_069w,1D, 62.382,16
DO_1D_3045_096w,1D, 75.614,22
DO_1D_3045_121w,1D, 68.184,28
DO_1D_3046_023w,1D, 30.290, 5
DO_1D_3046_044w,1D, 32.541,10
DO_1D_3047_023w,1D, 27.729, 5
DO_1D_3047_096w,1D, 80.921,22
DO_1D_3047_121w,1D, 46.023,28
DO_1D_3048_023w,1D, 28.584, 5
DO_1D_3048_044w,1D, 27.574,10
DO_1D_3048_069w,1D, 51.506,16
DO_1D_3048_096w,1D, 61.199,22
DO_1D_3049_020w,1D, 21.087, 5
DO_1D_3049_069w,1D, 52.526,16
DO_1D_3049_096w,1D, 62.193,22
DO_1D_3050_020w,1D, 21.892, 5
DO_1D_3050_044w,1D, 37.265,10
DO_1D_3050_096w,1D, 98.242,22
DO_1D_3051_020w,1D, 26.385, 5
DO_1D_3052_069w,1D, 63.307,16
DO_1D_3052_121w,1D, 87.737,28
DO_1D_3053_020w,1D, 21.914, 5
DO_1D_3053_069w,1D, 62.128,16
DO_1D_3053_096w,1D, 65.153,22
DO_1D_3054_096w,1D, 57.460,22
DO_1D_3055_020w,1D, 23.879, 5
DO_1D_3056_096w,1D, 53.617,22
DO_1D_3056_121w,1D, 80.194,28
DO_1D_3057_020w,1D, 27.693, 5
DO_1D_3057_096w,1D, 53.654,22
DO_1D_3057_121w,1D, 60.763,28
DO_1D_3058_020w,1D, 29.100, 5
DO_1D_3058_096w,1D, 77.535,22
DO_1D_3058_121w,1D, 92.476,28
DO_1D_3059_020w,1D, 21.590, 5
DO_1D_3059_096w,1D, 41.298,22
DO_1D_3060_020w,1D, 24.218, 5
DO_1D_3060_096w,1D, 64.543,22
DO_1D_3060_121w,1D, 97.484,28
DO_1D_3061_096w,1D, 52.345,22
DO_1D_3061_121w,1D, 70.493,28
DO_1D_3062_020w,1D, 23.283, 5
DO_1D_3062_096w,1D, 53.585,22
DO_1D_3063_069w,1D, 61.177,16
DO_1D_3063_096w,1D, 50.499,22
DO_1D_3063_121w,1D, 90.872,28
DO_1D_3065_021w,1D, 22.035, 5
DO_1D_3065_068w,1D, 51.652,16
DO_1D_3065_095w,1D, 65.650,22
