stool.ID,Diet,pred.age.months,age.approx.months
DO_1D_3001_044w,1D, 74.483,10
DO_1D_3001_069w,1D, 66.659,16
DO_1D_3001_097w,1D, 74.783,22
DO_1D_3002_044w,1D, 42.575,10
DO_1D_3002_069w,1D, 62.870,16
DO_1D_3002_097w,1D, 50.040,22
DO_1D_3003_044w,1D, 59.677,10
DO_1D_3003_069w,1D, 23.888,16
DO_1D_3003_097w,1D, 26.510,22
DO_1D_3003_121w,1D, 68.322,28
DO_1D_3004_044w,1D, 65.505,10
DO_1D_3004_069w,1D, 62.959,16
DO_1D_3007_044w,1D, 60.346,10
DO_1D_3007_069w,1D, 61.851,16
DO_1D_3008_044w,1D, 75.915,10
DO_1D_3008_069w,1D, 68.111,16
DO_1D_3009_044w,1D, 46.406,10
DO_1D_3010_044w,1D, 36.376,10
DO_1D_3010_069w,1D, 74.733,16
DO_1D_3010_097w,1D, 24.980,22
DO_1D_3010_121w,1D, 78.623,28
DO_1D_3011_044w,1D, 44.001,10
DO_1D_3011_069w,1D, 30.946,16
DO_1D_3011_121w,1D, 69.092,28
DO_1D_3012_044w,1D, 61.301,10
DO_1D_3012_069w,1D, 87.239,16
DO_1D_3013_044w,1D, 51.683,10
DO_1D_3013_069w,1D, 59.725,16
DO_1D_3013_097w,1D, 72.609,22
DO_1D_3014_044w,1D,131.642,10
DO_1D_3014_069w,1D, 68.203,16
DO_1D_3014_097w,1D, 73.082,22
DO_1D_3014_121w,1D, 72.433,28
DO_1D_3016_044w,1D, 41.675,10
DO_1D_3016_069w,1D, 62.216,16
DO_1D_3017_043w,1D, 41.095,10
DO_1D_3017_069w,1D, 52.486,16
DO_1D_3017_097w,1D, 69.181,22
DO_1D_3018_069w,1D,116.556,16
DO_1D_3018_097w,1D, 47.467,22
DO_1D_3019_069w,1D, 63.428,16
DO_1D_3019_097w,1D, 73.113,22
DO_1D_3019_121w,1D, 71.240,28
DO_1D_3020_043w,1D, 32.946,10
DO_1D_3020_069w,1D, 88.401,16
DO_1D_3022_069w,1D, 49.771,16
DO_1D_3022_097w,1D, 47.959,22
DO_1D_3022_121w,1D, 67.397,28
DO_1D_3024_043w,1D, 43.721,10
DO_1D_3024_121w,1D, 85.848,28
DO_1D_3026_043w,1D, 44.284,10
DO_1D_3026_069w,1D, 65.606,16
DO_1D_3026_097w,1D, 62.428,22
DO_1D_3026_121w,1D, 76.247,28
DO_1D_3027_043w,1D, 48.903,10
DO_1D_3027_069w,1D, 58.459,16
DO_1D_3027_097w,1D, 63.641,22
DO_1D_3027_121w,1D, 78.072,28
DO_1D_3028_043w,1D, 28.924,10
DO_1D_3028_069w,1D, 32.920,16
DO_1D_3028_097w,1D, 58.751,22
DO_1D_3029_043w,1D, 40.045,10
DO_1D_3029_069w,1D, 43.679,16
DO_1D_3029_097w,1D, 38.608,22
DO_1D_3030_043w,1D, 32.410,10
DO_1D_3030_069w,1D, 60.182,16
DO_1D_3030_097w,1D, 39.807,22
DO_1D_3031_069w,1D, 69.416,16
DO_1D_3031_121w,1D, 65.216,28
DO_1D_3032_043w,1D, 97.041,10
DO_1D_3032_069w,1D, 75.533,16
DO_1D_3032_097w,1D, 56.590,22
DO_1D_3033_023w,1D, 40.240, 5
DO_1D_3034_023w,1D, 39.238, 5
DO_1D_3034_044w,1D, 24.460,10
DO_1D_3034_069w,1D, 60.944,16
DO_1D_3034_096w,1D,118.975,22
DO_1D_3035_023w,1D, 45.464, 5
DO_1D_3035_044w,1D, 33.623,10
DO_1D_3035_069w,1D, 81.571,16
DO_1D_3035_096w,1D, 57.512,22
DO_1D_3037_023w,1D, 36.540, 5
DO_1D_3037_044w,1D, 49.997,10
DO_1D_3037_069w,1D, 50.148,16
DO_1D_3037_096w,1D, 26.314,22
DO_1D_3037_121w,1D, 88.214,28
DO_1D_3038_023w,1D, 32.188, 5
DO_1D_3038_044w,1D, 31.963,10
DO_1D_3038_069w,1D, 53.104,16
DO_1D_3038_096w,1D, 51.462,22
DO_1D_3038_121w,1D, 64.555,28
DO_1D_3039_044w,1D, 52.879,10
DO_1D_3039_069w,1D, 60.126,16
DO_1D_3039_096w,1D, 89.867,22
DO_1D_3039_121w,1D, 56.199,28
DO_1D_3040_023w,1D, 22.977, 5
DO_1D_3040_044w,1D, 53.937,10
DO_1D_3040_069w,1D, 74.789,16
DO_1D_3040_096w,1D, 73.116,22
DO_1D_3040_121w,1D, 66.373,28
DO_1D_3041_023w,1D, 23.882, 5
DO_1D_3041_044w,1D, 50.441,10
DO_1D_3041_069w,1D, 36.784,16
DO_1D_3042_023w,1D, 22.853, 5
DO_1D_3042_044w,1D, 42.234,10
DO_1D_3042_069w,1D, 41.285,16
DO_1D_3043_023w,1D, 26.265, 5
DO_1D_3043_044w,1D, 41.319,10
DO_1D_3043_069w,1D, 46.348,16
DO_1D_3043_096w,1D, 51.237,22
DO_1D_3043_121w,1D, 78.914,28
DO_1D_3044_023w,1D, 25.758, 5
DO_1D_3044_044w,1D, 36.660,10
DO_1D_3044_069w,1D, 41.188,16
DO_1D_3044_096w,1D, 38.637,22
DO_1D_3044_121w,1D, 53.063,28
DO_1D_3045_023w,1D, 49.619, 5
DO_1D_3045_069w,1D, 50.709,16
DO_1D_3045_096w,1D, 66.818,22
DO_1D_3045_121w,1D, 61.660,28
DO_1D_3046_023w,1D, 30.587, 5
DO_1D_3046_044w,1D, 40.124,10
DO_1D_3047_023w,1D, 30.720, 5
DO_1D_3047_096w,1D, 42.160,22
DO_1D_3047_121w,1D, 50.709,28
DO_1D_3048_023w,1D, 45.283, 5
DO_1D_3048_044w,1D, 38.698,10
DO_1D_3048_069w,1D, 61.990,16
DO_1D_3048_096w,1D, 60.803,22
DO_1D_3049_020w,1D, 22.935, 5
DO_1D_3049_069w,1D, 63.899,16
DO_1D_3049_096w,1D, 79.124,22
DO_1D_3050_020w,1D, 26.212, 5
DO_1D_3050_044w,1D, 41.952,10
DO_1D_3050_096w,1D, 71.758,22
DO_1D_3051_020w,1D, 26.280, 5
DO_1D_3052_069w,1D, 86.234,16
DO_1D_3052_121w,1D, 60.929,28
DO_1D_3053_020w,1D, 38.763, 5
DO_1D_3053_069w,1D, 45.361,16
DO_1D_3053_096w,1D, 37.531,22
DO_1D_3054_096w,1D, 65.851,22
DO_1D_3055_020w,1D, 21.763, 5
DO_1D_3056_096w,1D, 33.044,22
DO_1D_3056_121w,1D, 22.759,28
DO_1D_3057_020w,1D, 41.375, 5
DO_1D_3057_096w,1D, 71.365,22
DO_1D_3057_121w,1D, 73.383,28
DO_1D_3058_020w,1D, 54.022, 5
DO_1D_3058_096w,1D, 60.030,22
DO_1D_3058_121w,1D, 77.134,28
DO_1D_3059_020w,1D, 22.954, 5
DO_1D_3059_096w,1D, 60.044,22
DO_1D_3060_020w,1D, 46.471, 5
DO_1D_3060_096w,1D, 59.728,22
DO_1D_3060_121w,1D,102.112,28
DO_1D_3061_096w,1D, 59.316,22
DO_1D_3061_121w,1D, 69.893,28
DO_1D_3062_020w,1D, 23.725, 5
DO_1D_3062_096w,1D, 81.199,22
DO_1D_3063_069w,1D, 39.922,16
DO_1D_3063_096w,1D, 63.973,22
DO_1D_3063_121w,1D, 58.809,28
DO_1D_3065_021w,1D, 30.528, 5
DO_1D_3065_068w,1D, 74.497,16
DO_1D_3065_095w,1D, 66.520,22
DO_1D_3066_021w,1D, 37.522, 5
DO_1D_3066_068w,1D, 58.335,16
DO_1D_3066_095w,1D, 24.315,22
DO_1D_3066_120w,1D, 48.256,28
DO_1D_3067_021w,1D, 34.805, 5
DO_1D_3068_068w,1D, 72.860,16
DO_1D_3068_095w,1D, 48.722,22
DO_1D_3069_068w,1D, 59.813,16
DO_1D_3069_095w,1D, 27.989,22
DO_1D_3070_068w,1D, 32.444,16
DO_1D_3071_021w,1D, 23.272, 5
DO_1D_3071_068w,1D, 70.788,16
DO_1D_3071_095w,1D, 29.690,22
DO_1D_3072_021w,1D, 31.928, 5
DO_1D_3072_095w,1D, 61.347,22
DO_1D_3072_120w,1D, 72.908,28
DO_1D_3073_021w,1D, 24.098, 5
DO_1D_3073_068w,1D, 39.408,16
DO_1D_3073_095w,1D, 61.822,22
DO_1D_3074_021w,1D, 24.787, 5
DO_1D_3075_021w,1D, 46.053, 5
DO_1D_3075_068w,1D, 59.358,16
DO_1D_3075_095w,1D, 56.206,22
DO_1D_3076_021w,1D, 29.203, 5
DO_1D_3076_044w,1D, 56.428,10
DO_1D_3076_068w,1D, 51.455,16
DO_1D_3076_095w,1D, 59.158,22
DO_1D_3076_120w,1D, 64.572,28
DO_1D_3077_021w,1D, 25.857, 5
DO_1D_3077_068w,1D, 63.056,16
DO_1D_3078_021w,1D, 41.504, 5
DO_1D_3079_021w,1D, 32.676, 5
DO_1D_3080_021w,1D, 22.293, 5
DO_1D_3080_044w,1D, 51.097,10
DO_1D_3080_068w,1D, 59.871,16
DO_1D_3080_095w,1D, 47.141,22
DO_1D_3081_022w,1D, 31.240, 5
DO_1D_3082_022w,1D, 40.360, 5
DO_1D_3082_069w,1D, 73.851,16
DO_1D_3084_022w,1D, 61.238, 5
DO_1D_3084_069w,1D, 69.952,16
DO_1D_3084_096w,1D, 68.684,22
DO_1D_3084_121w,1D, 97.236,28
DO_1D_3085_069w,1D, 65.761,16
DO_1D_3087_022w,1D, 44.391, 5
DO_1D_3087_069w,1D, 68.406,16
DO_1D_3088_022w,1D, 29.994, 5
DO_1D_3089_022w,1D, 29.214, 5
DO_1D_3089_069w,1D, 71.232,16
DO_1D_3089_096w,1D, 45.900,22
DO_1D_3090_022w,1D, 39.470, 5
DO_1D_3090_044w,1D, 27.481,10
DO_1D_3090_069w,1D, 50.381,16
DO_1D_3090_096w,1D, 42.030,22
DO_1D_3090_121w,1D, 36.423,28
DO_1D_3091_022w,1D, 39.264, 5
DO_1D_3091_044w,1D, 40.862,10
DO_1D_3091_096w,1D, 24.930,22
DO_1D_3091_121w,1D,100.383,28
DO_1D_3092_044w,1D, 31.366,10
DO_1D_3092_069w,1D, 51.572,16
DO_1D_3092_096w,1D, 45.410,22
DO_1D_3092_121w,1D, 83.970,28
DO_1D_3093_069w,1D, 29.448,16
DO_1D_3093_096w,1D, 27.807,22
DO_1D_3093_121w,1D, 66.744,28
DO_1D_3094_044w,1D, 39.207,10
DO_1D_3094_069w,1D, 55.078,16
DO_1D_3094_121w,1D, 84.334,28
DO_1D_3095_022w,1D, 33.014, 5
DO_1D_3095_044w,1D, 26.409,10
DO_1D_3095_069w,1D, 51.993,16
DO_1D_3095_096w,1D, 29.360,22
DO_1D_3095_121w,1D,110.406,28
DO_1D_3096_044w,1D, 36.226,10
DO_1D_3096_069w,1D, 52.702,16
DO_1D_3097_020w,1D, 39.631, 5
DO_1D_3097_044w,1D, 66.753,10
DO_1D_3097_069w,1D, 68.173,16
DO_1D_3097_096w,1D, 71.335,22
DO_1D_3098_020w,1D, 47.923, 5
DO_1D_3098_044w,1D, 77.198,10
DO_1D_3098_069w,1D, 41.274,16
DO_1D_3098_096w,1D, 66.944,22
DO_1D_3099_020w,1D, 35.280, 5
DO_1D_3099_044w,1D, 47.595,10
DO_1D_3100_020w,1D, 45.181, 5
DO_1D_3100_044w,1D, 50.683,10
DO_1D_3100_069w,1D, 60.160,16
DO_1D_3101_020w,1D, 24.798, 5
DO_1D_3101_044w,1D, 52.740,10
DO_1D_3101_069w,1D, 69.055,16
