feature	is.community.feat	solution.age	std.error.age	pval.age	padj.age
Acutalibacter	N	 0.16723576	0.06896334	0.01661111	0.03385624
Adlercreutzia	N	 0.57619289	0.06668865	0.00000000	0.00000000
Akkermansia	N	-0.52137654	0.06752524	0.00000000	0.00000000
Anaerotruncus	N	-0.49288850	0.06957066	0.00000000	0.00000000
Atopobiaceae_unclassified	N	 0.66611124	0.05963579	0.00000000	0.00000000
Bacteria_unclassified	N	-0.12462415	0.08208967	0.13127980	0.19049841
Bacteroides	N	-0.77541857	0.05261368	0.00000000	0.00000000
Barnesiella	N	-0.88088856	0.04014679	0.00000000	0.00000000
Bifidobacterium	N	 0.53024935	0.07191300	0.00000000	0.00000000
Blautia	N	-0.47505289	0.07422750	0.00000000	0.00000002
Candidatus_Metalachnospira	N	-0.61952566	0.06585386	0.00000000	0.00000000
Clostridiaceae_unclassified	N	 0.06111223	0.07574703	0.42118341	0.50428686
Clostridium	N	-0.42854895	0.07607571	0.00000010	0.00000048
Desulfovibrio	N	-0.45537494	0.06790167	0.00000000	0.00000000
Dubosiella	N	-0.25840846	0.08067334	0.00169033	0.00410290
Duncaniella	N	 0.79513684	0.04958292	0.00000000	0.00000000
Eggerthellaceae_unclassified	N	 0.44858698	0.06082964	0.00000000	0.00000000
Emergencia	N	 0.39337717	0.06477104	0.00000001	0.00000007
Enterorhabdus	N	 0.66807119	0.05965666	0.00000000	0.00000000
Erysipelatoclostridium	N	-0.56951672	0.06968517	0.00000000	0.00000000
Erysipelotrichaceae_unclassified	N	 0.78864224	0.05199517	0.00000000	0.00000000
Eubacteriales_unclassified	N	-0.16168240	0.07882793	0.04216426	0.07401848
Faecalibaculum	N	 0.73267806	0.05701642	0.00000000	0.00000000
GGB14001	N	 0.71729568	0.05821721	0.00000000	0.00000000
GGB15004	N	-0.27783599	0.07955166	0.00064444	0.00165448
GGB20145	N	 0.33973672	0.07876848	0.00003057	0.00010331
GGB20146	N	 0.23524157	0.08032517	0.00398844	0.00910183
GGB20149	N	 0.05432348	0.08152498	0.50631271	0.58019525
GGB24102	N	-0.14696987	0.08389784	0.08201854	0.13035089
GGB24132	N	 0.77231760	0.05358365	0.00000000	0.00000000
GGB24146	N	 0.39395284	0.04941129	0.00000000	0.00000000
GGB25041	N	-0.35832931	0.07643937	0.00000659	0.00002346
GGB25052	N	-0.16469562	0.08359026	0.05081799	0.08697694
GGB25158	N	 0.42349681	0.07683723	0.00000017	0.00000080
GGB27851	N	 0.74483955	0.05659487	0.00000000	0.00000000
GGB27873	N	 0.43237293	0.07409512	0.00000004	0.00000019
GGB27878	N	-0.64072869	0.06512118	0.00000000	0.00000000
GGB27918	N	-0.62563689	0.06188968	0.00000000	0.00000000
GGB27921	N	 0.37620230	0.06900360	0.00000023	0.00000105
GGB27929	N	 0.83400591	0.04607743	0.00000000	0.00000000
GGB27959	N	 0.40546749	0.06768147	0.00000002	0.00000009
GGB28330	N	 0.17393708	0.07780487	0.02699846	0.05112475
GGB28381	N	 0.37860517	0.06027664	0.00000000	0.00000003
GGB28382	N	-0.24129541	0.08037623	0.00318733	0.00733635
GGB28383	N	-0.29900813	0.07886450	0.00022370	0.00064923
GGB28386	N	 0.33171652	0.06692518	0.00000208	0.00000807
GGB28392	N	-0.36725058	0.07501740	0.00000272	0.00001036
GGB28394	N	-0.28856898	0.07648696	0.00023941	0.00068735
GGB28396	N	 0.09531169	0.07953180	0.23282568	0.31716559
GGB28398	N	 0.09193325	0.07990744	0.25194280	0.33467029
GGB28404	N	-0.19536707	0.07889529	0.01449370	0.02981274
