feature	full.pathway.name	is.community.feat	PVE.Age	pval.Age	padj.Age	PVE.Diet	pval.Diet	padj.Diet	PVE.Genetics	pval.Genetics	padj.Genetics	PVE.Time	pval.Time	padj.Time	PVE.Cohort	pval.Cohort	padj.Cohort	PVE.Batch	pval.Batch	padj.Batch	PVE.Cage	pval.Cage	padj.Cage	PVE.Mouse	pval.Mouse	padj.Mouse	PVE.Residual	pval.Residual	padj.Residual
ALLANTOINDEGPWY	ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	N	0.00025106	0.89735319	1.00000000	0.02830854	0.00000001	0.00000002	0.02176230	0.21677788	0.24454695	0.00698791	0.03442780	0.06618867	0.05595174	0.00000010	0.00000452	0.02737340	0.00001108	0.00001551	0.00885932	0.19534670	0.29793100	0.03813662	0.06490910	0.17544736	0.8123691	NA	NA
ANAEROFRUCATPWY	ANAEROFRUCAT-PWY: homolactic fermentation	N	0.00000008	1.00000000	1.00000000	0.05282209	0.00000000	0.00000000	0.03524960	0.11325207	0.13560445	0.00000003	1.00000000	1.00000000	0.01002318	0.07455439	0.18011812	0.02674160	0.00000156	0.00000261	0.01147869	0.14454342	0.23915366	0.09910718	0.00001212	0.00110254	0.7645775	NA	NA
ANAGLYCOLYSISPWY	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	N	0.00041688	0.87876941	0.99960021	0.02836445	0.00000023	0.00000049	0.07166076	0.00127936	0.00312772	0.01238603	0.00008030	0.00035357	0.00771298	0.09882940	0.21935307	0.01731726	0.00521065	0.00549231	0.00555136	0.39344435	0.51639571	0.00561341	0.80818333	0.95927847	0.8509769	NA	NA
ARGININESYN4PWY	ARGININE-SYN4-PWY: L-ornithine biosynthesis II	N	0.10279412	0.00017957	0.00106571	0.02654004	0.00000084	0.00000164	0.02854103	0.10991200	0.13218491	0.00343195	0.45877607	0.63255488	0.00000008	1.00000000	1.00000000	0.03390933	0.00000003	0.00000007	0.02496575	0.00040989	0.00339087	0.01830092	0.35026237	0.50327171	0.7615168	NA	NA
ARGPOLYAMINESYN	ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	N	0.00641941	0.35231929	0.48823943	0.01291603	0.00028795	0.00039503	0.03285471	0.03526918	0.05204587	0.01722201	0.01490871	0.03060209	0.03156318	0.00118504	0.00622147	0.05275154	0.00000000	0.00000000	0.00890623	0.15112201	0.24412016	0.00000024	0.98908506	1.00000000	0.8373666	NA	NA
ARGSYNBSUBPWY	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	N	0.03782217	0.00002829	0.00023249	0.09705229	0.00000000	0.00000000	0.04859235	0.00735520	0.01394424	0.01257514	0.00400832	0.01003920	0.00118805	0.77741436	1.00000000	0.03238003	0.00000055	0.00000102	0.01358157	0.04603956	0.10061244	0.02861455	0.14878999	0.29222781	0.7281939	NA	NA
ARGSYNPWY	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	N	0.04266803	0.00012216	0.00077556	0.10871264	0.00000000	0.00000000	0.07281442	0.00012513	0.00057897	0.01546178	0.00062999	0.00213435	0.00056948	0.88494584	1.00000000	0.02893828	0.00000506	0.00000772	0.00831074	0.20425974	0.30808238	0.02427253	0.22852870	0.39737793	0.6982521	NA	NA
AROPWY	ARO-PWY: chorismate biosynthesis I	N	0.05337201	0.00000000	0.00000001	0.08375980	0.00000000	0.00000000	0.04844598	0.01197628	0.02095849	0.02472686	0.00000396	0.00002514	0.00285219	0.49273986	0.75998860	0.02557786	0.00000376	0.00000584	0.00656612	0.34237755	0.46271817	0.05864948	0.00507634	0.05347017	0.6960497	NA	NA
ASPASNPWY	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	N	0.00085028	0.74964149	0.88593994	0.03094356	0.00000000	0.00000000	0.07001311	0.00066981	0.00193526	0.02621192	0.00002845	0.00013870	0.00400237	0.43062006	0.67953338	0.03017912	0.00001630	0.00002225	0.00002488	1.00000000	1.00000000	0.02567964	0.23592328	0.40763960	0.8120951	NA	NA
BIOTINBIOSYNTHESISPWY	BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	N	0.04754442	0.00307451	0.01036223	0.02682197	0.00000096	0.00000185	0.04865544	0.03874625	0.05605699	0.00000014	1.00000000	1.00000000	0.00715444	0.26084589	0.46849295	0.03527176	0.00000005	0.00000011	0.01731972	0.02116138	0.05158087	0.04901381	0.03607697	0.11587073	0.7682183	NA	NA
BRANCHEDCHAINAASYNPWY	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	N	0.00066666	0.79956092	0.93682460	0.02196258	0.00001016	0.00001733	0.05116295	0.01263167	0.02182561	0.01788265	0.00004903	0.00022718	0.00000008	1.00000000	1.00000000	0.05754001	0.00000000	0.00000000	0.02305339	0.00250145	0.01101446	0.03580358	0.10492278	0.24481981	0.7919281	NA	NA
CALVINPWY	CALVIN-PWY: Calvin-Benson-Bassham cycle	N	0.03755042	0.00649100	0.01968936	0.03250274	0.00000000	0.00000000	0.06634696	0.00045381	0.00147728	0.01963307	0.00514136	0.01242117	0.01574257	0.03944323	0.11704350	0.04473661	0.00000000	0.00000000	0.00708656	0.28294259	0.39409861	0.01328016	0.50005130	0.64393398	0.7631209	NA	NA
