feature	is.community.feat	pheno	domain	trait	mb.coef	age.coef	DR.1D.coef	DR.2D.coef	DR.20.coef	DR.40.coef	mb.pval	mb.padj
AF3328	N	AS_MeanLog	AS	MeanLog	-0.04363966	-0.39191495	-0.03150537	-0.11665597	-0.02799556	-0.24486262	0.06723640	0.45420756
AM0715	N	AS_MeanLog	AS	MeanLog	-0.00069115	-0.38977250	-0.02823227	-0.10745001	-0.02234761	-0.22601664	0.97777844	0.99698201
ASF356	N	AS_MeanLog	AS	MeanLog	 0.01074407	-0.38682002	-0.02627302	-0.10381424	-0.01944595	-0.21825059	0.68463263	0.92253377
Acetatifactor	N	AS_MeanLog	AS	MeanLog	-0.06548964	-0.39841189	-0.03840399	-0.11047601	-0.04294652	-0.23475046	0.00723382	0.16701172
Acutalibacter	N	AS_MeanLog	AS	MeanLog	 0.01804618	-0.39077980	-0.02148208	-0.09932164	-0.01097802	-0.20793815	0.46641125	0.83929466
Adlercreutzia	N	AS_MeanLog	AS	MeanLog	-0.01901674	-0.38816684	-0.02314565	-0.09846190	-0.01564467	-0.22520405	0.44100862	0.82594564
Akkermansia	N	AS_MeanLog	AS	MeanLog	 0.01010941	-0.38937418	-0.02973437	-0.11141357	-0.02390985	-0.23173566	0.67489306	0.92052885
Alistipes	N	AS_MeanLog	AS	MeanLog	 0.13892412	-0.45425521	-0.03614621	-0.12437925	-0.03770999	-0.25494345	0.00000126	0.00035310
Anaerotignum	N	AS_MeanLog	AS	MeanLog	-0.04985375	-0.38511249	-0.03401084	-0.11641084	-0.03620572	-0.24588972	0.04681193	0.39735526
Anaerotruncus	N	AS_MeanLog	AS	MeanLog	-0.04121302	-0.39045397	-0.03490009	-0.12202473	-0.04359129	-0.26218787	0.09927351	0.51251528
AnaerovoracaceaeNOV	N	AS_MeanLog	AS	MeanLog	-0.03775135	-0.39219107	-0.03207310	-0.10779431	-0.02492132	-0.23878838	0.10144335	0.51539186
Angelakisella	N	AS_MeanLog	AS	MeanLog	-0.01464544	-0.39191166	-0.03092643	-0.11061056	-0.03044131	-0.23429351	0.54116702	0.87327925
Bacteroides	N	AS_MeanLog	AS	MeanLog	-0.02715049	-0.38653671	-0.01820931	-0.08720357	-0.00690035	-0.20883750	0.27008161	0.71006269
Bifidobacterium	N	AS_MeanLog	AS	MeanLog	 0.01044411	-0.39514153	-0.02848139	-0.10957548	-0.02239966	-0.23062621	0.72448254	0.93596595
BorkfalkiaceaeNOV	N	AS_MeanLog	AS	MeanLog	-0.00280338	-0.39020566	-0.02815636	-0.10798911	-0.02168045	-0.22429065	0.91332860	0.98598051
ButyricicoccaceaeNOV	N	AS_MeanLog	AS	MeanLog	 0.01359800	-0.38848882	-0.02413841	-0.09967662	-0.01822928	-0.22100118	0.57176647	0.88609458
CAG115	N	AS_MeanLog	AS	MeanLog	 0.00723989	-0.39079426	-0.02724613	-0.10527478	-0.02085360	-0.22435813	0.77719878	0.94979322
CAG145	N	AS_MeanLog	AS	MeanLog	 0.04365221	-0.38800091	-0.02864440	-0.10029702	-0.02527907	-0.22778528	0.07267481	0.46616201
