feature	is.community.feat	solution.age	std.error.age	pval.age	padj.age	solution.1D	solution.2D	solution.20	solution.40	std.error.1D	std.error.2D	std.error.20	std.error.40	pval.DR	padj.DR	herit	herit.se	herit.pval	herit.padj	PVE.Cohort	PVE.Quarter.Date	PVE.Cage	PVE.Batch	PVE.Mouse
AF3328	N	-0.03494908	0.02913374	0.23030123	0.28324404	-0.06696877	-0.01299930	-0.14885578	-0.42132862	0.07917991	0.07902231	0.07716084	0.08023317	0.00000135	0.00000181	0.07298619	0.02749656	0.00393193	0.00647255	0.00381033	0.00627617	0.04112254	0.03817596	0.03982041
AM0715	N	-0.13531912	0.02307174	0.00000000	0.00000002	-0.22223040	-0.28097150	-0.57925372	-0.68159982	0.07190428	0.07279515	0.07057162	0.07329274	0.00000000	0.00000000	0.08687858	0.03232481	0.00404211	0.00655312	0.00000008	0.00285807	0.03675685	0.01148083	0.12050913
ASF356	N	-0.29333083	0.02456096	0.00000000	0.00000000	-0.12435674	-0.20486959	-0.27021560	-0.61314514	0.06874342	0.06899092	0.06717047	0.07011968	0.00000000	0.00000000	0.17013811	0.03583546	0.00000004	0.00000046	0.00000007	0.00516110	0.02406509	0.02361150	0.08193270
Acetatifactor	N	-0.09382712	0.03776946	0.01297878	0.02042249	-0.01606152	 0.18738037	-0.08495089	 0.16104854	0.06941804	0.06873537	0.06761979	0.07046081	0.00033942	0.00039476	0.08408925	0.03102374	0.00321637	0.00555083	0.01751098	0.03946997	0.00254858	0.03015297	0.10641621
Acutalibacter	N	-0.05546811	0.03460564	0.10897660	0.14220117	-0.28155542	-0.39997947	-0.56440696	-0.76595908	0.06817575	0.06735587	0.06649795	0.06893433	0.00000000	0.00000000	0.05003151	0.02300900	0.01498740	0.02178820	0.03124449	0.02699773	0.01522574	0.03277622	0.01759186
Adlercreutzia	N	 0.05972040	0.03343928	0.07413535	0.09915603	 0.28582339	 0.44567278	 0.30871792	-0.16263815	0.07574723	0.07558603	0.07317669	0.07676669	0.00000000	0.00000000	0.13471867	0.03094732	0.00000022	0.00000167	0.09317212	0.01850058	0.03582938	0.05423887	0.05055141
Akkermansia	N	-0.01763936	0.03754603	0.63843103	0.68312121	 0.04303916	 0.13484350	 0.23488065	 0.66136777	0.07361358	0.07315599	0.07155142	0.07469682	0.00000000	0.00000000	0.11595014	0.02882677	0.00000079	0.00000471	0.01341634	0.03759225	0.02396939	0.04474752	0.03786960
Alistipes	N	 0.07955644	0.04068141	0.05055365	0.07117421	-0.06864911	 0.12279860	 0.06696469	 0.05990494	0.05559895	0.05626317	0.05320747	0.05624342	0.01685270	0.01785385	0.09057220	0.02776505	0.00000660	0.00002522	0.00000007	0.49214499	0.02210085	0.02377725	0.11787590
Anaerotignum	N	 0.13653261	0.03153111	0.00001498	0.00003410	-0.03302331	-0.08502474	-0.14114615	-0.12008867	0.07755497	0.07758120	0.07532558	0.07861589	0.32218538	0.32522487	0.08545524	0.03141337	0.00176353	0.00331049	0.03352233	0.01361621	0.03019952	0.03793490	0.12335860
Anaerotruncus	N	 0.02602857	0.02693777	0.33392921	0.38419812	-0.18732297	-0.32195832	-0.44165711	-0.70621868	0.07426673	0.07410915	0.07245863	0.07538877	0.00000000	0.00000000	0.08011550	0.03107567	0.00357580	0.00598430	0.00958770	0.00462570	0.02429856	0.03019936	0.09968941
AnaerovoracaceaeNOV	N	-0.04991821	0.03458983	0.14875222	0.19176491	-0.04899107	-0.08186019	 0.03950902	-0.19388103	0.07313756	0.07177669	0.07051940	0.07367897	0.02280257	0.02368811	0.03668222	0.02324241	0.08345474	0.10033323	0.03478533	0.01409695	0.01191772	0.07527513	0.06308508
Angelakisella	N	-0.15098460	0.03306602	0.00000497	0.00001329	-0.19704363	-0.33033758	-0.46644901	-0.32897963	0.07150543	0.07029280	0.06902187	0.07217164	0.00000000	0.00000000	0.05638695	0.02601805	0.01790759	0.02456554	0.01341476	0.01408833	0.01277996	0.07316860	0.06619439
Bacteroides	N	 0.13276330	0.05412829	0.01440352	0.02233590	 0.25186623	 0.47734571	 0.40282807	 0.40978537	0.07812285	0.07756840	0.07554906	0.07901189	0.00000000	0.00000000	0.08484439	0.02409808	0.00001147	0.00004091	0.01575244	0.14471022	0.03229345	0.05972080	0.01807088
Bifidobacterium	N	 0.48410529	0.03144209	0.00000000	0.00000000	-0.07368686	 0.14330882	-0.02680985	 0.52989397	0.07655259	0.07669818	0.07245863	0.07682933	0.00000000	0.00000000	0.09707728	0.02653016	0.00000584	0.00002405	0.04173420	0.02229489	0.10001984	0.10394620	0.04598460
BorkfalkiaceaeNOV	N	-0.14364376	0.03041661	0.00000232	0.00000653	-0.06385669	-0.20546208	 0.28260727	 0.45443650	0.08030231	0.08083916	0.07777199	0.08133322	0.00000000	0.00000000	0.08417844	0.03335222	0.00483486	0.00760780	0.00000007	0.01289422	0.04796483	0.03915800	0.15967090
ButyricicoccaceaeNOV	N	-0.10694012	0.02417645	0.00000970	0.00002371	-0.22741316	-0.45397001	-0.23272922	-0.17801177	0.06963167	0.06934231	0.06834889	0.07092163	0.00000001	0.00000001	0.09387073	0.02823193	0.00010953	0.00027256	0.02057702	0.00145250	0.01541059	0.01653005	0.03487948
CAG115	N	 0.14098503	0.05017587	0.00495716	0.00828776	-0.06184895	-0.30648706	-0.08796938	 0.06338862	0.07931758	0.07862616	0.07524102	0.07969577	0.00010341	0.00012432	0.07217885	0.02223052	0.00017590	0.00042775	0.19886731	0.06846346	0.04454974	0.12017965	0.03486772
CAG145	N	-0.09064355	0.02462302	0.00023229	0.00046028	 0.03132069	-0.14806808	 0.07533163	-0.13383733	0.07026649	0.07024292	0.06873761	0.07165975	0.00885564	0.00947553	0.11985880	0.03357496	0.00002510	0.00007674	0.03832519	0.00260761	0.00853932	0.01842431	0.12219381
CAG273	N	-0.19968771	0.02721373	0.00000000	0.00000000	 0.00320636	-0.05037516	 0.06650263	 0.00479844	0.08282635	0.08283699	0.08033664	0.08370452	0.80569749	0.80569749	0.03237814	0.02565221	0.19396556	0.21846647	0.00427221	0.00116499	0.05526513	0.04731422	0.09546320
CAG274NOV	N	-0.09193423	0.02996293	0.00215335	0.00390523	-0.31023592	-0.91604605	-0.28406900	-0.80771018	0.07647133	0.07632756	0.07400243	0.07713237	0.00000000	0.00000000	0.00845743	0.02368431	0.71161728	0.72517190	0.00000007	0.01367193	0.04863690	0.05335661	0.13930355
CAG303	N	-0.10863451	0.03704148	0.00336163	0.00589663	-0.33140987	-0.38511417	-0.12809704	-0.36675861	0.08324848	0.08341632	0.08044928	0.08404749	0.00000114	0.00000154	0.04661830	0.02540396	0.03975221	0.05251218	0.01538588	0.03007975	0.05804241	0.05284147	0.09908094
CAG41	N	-0.02838953	0.04018671	0.47989584	0.51867530	-0.25917322	-0.84097022	-0.04098487	-0.20184460	0.08943696	0.09032143	0.08542706	0.08980255	0.00000000	0.00000000	0.00000022	0.00000001	1.00000000	1.00000000	0.00281162	0.05296692	0.13144412	0.06852683	0.04776549
CAG475	N	-0.20527775	0.02259438	0.00000000	0.00000000	-0.05779395	-0.30470422	 0.03807771	 0.19408110	0.07349354	0.07416575	0.07159100	0.07489211	0.00000021	0.00000030	0.14285294	0.03761335	0.00000832	0.00003071	0.01042291	0.00000006	0.02676055	0.02335469	0.16712625
CAG485	N	 0.10866035	0.03069739	0.00040047	0.00076518	 0.29441962	 0.57419564	 0.59693234	 0.64594435	0.06695936	0.06576846	0.06454498	0.06779219	0.00000000	0.00000000	0.08899453	0.02928080	0.00035088	0.00079880	0.02093664	0.01066652	0.00000009	0.06753677	0.10601038
CAG510	N	 0.15797489	0.04786103	0.00096164	0.00177406	 0.11001018	-0.02507991	 0.12982509	 0.60031622	0.08354660	0.08326409	0.07780570	0.08318780	0.00000000	0.00000000	0.02792346	0.00945928	0.00357940	0.00598430	0.21983968	0.07086607	0.10037490	0.13939801	0.00000002
CAG552NOV	N	-0.16911180	0.03138474	0.00000007	0.00000024	-0.07944354	 0.00420395	-0.08721132	 0.09129854	0.07616078	0.07698172	0.07409580	0.07751288	0.19325295	0.19693396	0.15245656	0.03940983	0.00001696	0.00005500	0.00698724	0.01904139	0.02922286	0.02367132	0.16371388
CAG56	N	 0.01056705	0.03628595	0.77064566	0.80842241	-0.02775891	 0.12917594	-0.16624601	-0.60239245	0.07277955	0.07333848	0.07128278	0.07397789	0.00000000	0.00000000	0.07441863	0.02905210	0.00285814	0.00509703	0.00647371	0.04955846	0.02962446	0.01538087	0.11202134
CAG582	N	-0.18196065	0.03884158	0.00000280	0.00000768	 0.08924019	 0.07709530	 0.10990121	 0.40237785	0.07665915	0.07702138	0.07458169	0.07777888	0.00001025	0.00001306	0.08733935	0.03070768	0.00072585	0.00149358	0.00000007	0.06456892	0.03174160	0.02979502	0.13637358
CAG776	N	-0.10302686	0.03395309	0.00240697	0.00429242	 0.23115538	 0.10932348	 0.16597306	 0.42626338	0.07815053	0.07840740	0.07603339	0.07922933	0.00000360	0.00000470	0.07002150	0.03160768	0.01712262	0.02379378	0.00189105	0.02631100	0.03310557	0.03195843	0.14790120
CAG81	N	-0.00402262	0.02658720	0.87979562	0.89056991	-0.27967928	-0.28164725	-0.28038072	-0.40108775	0.07870632	0.07949984	0.07701553	0.07990778	0.00000161	0.00000212	0.04389414	0.02853488	0.12680656	0.14910222	0.01983260	0.00512248	0.05031392	0.01900174	0.09664904
CAG873	N	-0.03926434	0.02800546	0.16087308	0.20251082	 0.27605667	 0.45592642	 0.48460977	 0.56252243	0.06850961	0.06737478	0.06637216	0.06964015	0.00000000	0.00000000	0.13197387	0.03069475	0.00000006	0.00000052	0.00315535	0.00358171	0.00000024	0.04874422	0.06188319
CAG95	N	-0.14947406	0.02818018	0.00000011	0.00000037	-0.18127843	-0.23248591	-0.22132590	-0.29841208	0.07167113	0.07079068	0.06968754	0.07254880	0.00028587	0.00033614	0.05360988	0.02723055	0.02561107	0.03425481	0.00553516	0.00505729	0.00940109	0.04072207	0.10836553
COE1	N	-0.16452412	0.02568587	0.00000000	0.00000000	-0.21539737	-0.45387364	-0.43733307	-0.94715138	0.06225995	0.06211095	0.06121743	0.06351979	0.00000000	0.00000000	0.11808237	0.03032727	0.00000375	0.00001670	0.00000008	0.01301464	0.00903678	0.01096687	0.05490313
Chao1	Y	-0.07675196	0.02867255	0.00743811	0.01205876	 0.06229463	-0.02195749	 0.15494200	 0.17387981	0.06404154	0.06213448	0.06147124	0.06400434	0.00610054	0.00659351	0.00235132	0.01402996	0.84977673	0.85779350	0.02932243	0.00279382	0.00000009	0.05351978	0.00666462
Clostridium	N	 0.16021059	0.03691843	0.00001399	0.00003327	-0.05844455	-0.19283979	-0.02823028	 0.70500138	0.08188810	0.08170263	0.07932011	0.08258354	0.00000000	0.00000000	0.03410694	0.01941670	0.04670001	0.05948692	0.02669678	0.02847655	0.06287617	0.05727822	0.00544950
ClostridiumQ	N	-0.08960495	0.02380991	0.00016790	0.00034733	 0.01797284	 0.17373234	-0.15271058	-0.74003266	0.06920150	0.06936275	0.06800412	0.07061919	0.00000000	0.00000000	0.11840954	0.03225248	0.00002024	0.00006370	0.00229973	0.00306810	0.01869027	0.01249247	0.06845326
D1663	N	 0.08820304	0.03632567	0.01517531	0.02319655	 0.15728976	 0.17058211	 0.09121284	-0.57941758	0.06747323	0.06613701	0.06498074	0.06783572	0.00000000	0.00000000	0.02517343	0.01843417	0.13363083	0.15374730	0.10056179	0.02497802	0.01382489	0.07627006	0.02919257
Desulfovibrio	N	 0.21143907	0.04656860	0.00000581	0.00001516	 0.01249179	 0.02144262	-0.15918985	 0.11817003	0.07756351	0.07788930	0.07369045	0.07805845	0.01756070	0.01842152	0.09667861	0.02952581	0.00006803	0.00018832	0.00000005	0.15450725	0.06010335	0.07162590	0.14133505
Dorea	N	-0.14441051	0.02797035	0.00000024	0.00000076	-0.14869005	-0.26569345	-0.20535324	-0.68466977	0.07223472	0.07151872	0.07010958	0.07328619	0.00000000	0.00000000	0.11382500	0.03017465	0.00001336	0.00004613	0.02897156	0.00416250	0.01997527	0.05072512	0.03776841
Dubosiella	N	 0.27115560	0.03704811	0.00000000	0.00000000	-0.31488811	-0.15140390	-0.02104287	 0.54875192	0.08215511	0.08235363	0.07888828	0.08264557	0.00000000	0.00000000	0.01842399	0.01938503	0.28731746	0.31370376	0.03101695	0.03530133	0.08451782	0.06966380	0.06621901
