feature	full.pathway.name	is.community.feat	solution.age	std.error.age	pval.age	padj.age	solution.1D	solution.2D	solution.20	solution.40	std.error.1D	std.error.2D	std.error.20	std.error.40	pval.DR	padj.DR	herit	herit.se	herit.pval	herit.padj	PVE.Cohort	PVE.Quarter.Date	PVE.Cage	PVE.Batch	PVE.Mouse
ALLANTOINDEGPWY	ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	N	 0.00997030	0.02817856	0.72356763	0.77173006	-0.27863493	-0.32662675	-0.44269312	-0.40727789	0.06676408	0.06578309	0.06512849	0.06739611	0.00000000	0.00000000	0.02308498	0.02010928	0.20415094	0.23319333	0.05706084	0.00754674	0.00964735	0.02832548	0.03895458
ANAEROFRUCATPWY	ANAEROFRUCAT-PWY: homolactic fermentation	N	 0.03990462	0.02453228	0.10381081	0.14533514	 0.12464832	 0.34692491	 0.30421451	 0.57838048	0.07101101	0.07030863	0.06928596	0.07193841	0.00000000	0.00000000	0.03793336	0.02599246	0.10752225	0.12988307	0.00972427	0.00000008	0.01255900	0.03029231	0.10428220
ANAGLYCOLYSISPWY	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	N	 0.02040413	0.02961144	0.49096990	0.55616092	 0.29914500	 0.37590478	 0.43705290	 0.34722553	0.06586151	0.06501788	0.06450304	0.06682592	0.00000000	0.00000000	0.07446694	0.02539514	0.00113176	0.00288757	0.00778464	0.01320871	0.00608419	0.01888143	0.00519076
ARGININESYN4PWY	ARGININE-SYN4-PWY: L-ornithine biosynthesis II	N	 0.18679452	0.03009118	0.00000000	0.00000000	-0.09501186	-0.01447480	-0.00180118	 0.35492220	0.07389264	0.07301569	0.07193994	0.07460224	0.00000005	0.00000010	0.03327228	0.02200916	0.10161576	0.12329379	0.00000009	0.00908895	0.02657277	0.04473938	0.02222659
ARGPOLYAMINESYN	ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	N	 0.06925888	0.03410106	0.04225402	0.06641275	-0.09320962	-0.28986714	-0.22482665	-0.01293125	0.06841421	0.06694212	0.06611278	0.06881834	0.00000619	0.00000923	0.03279648	0.01918744	0.03652564	0.05419293	0.03437285	0.01605743	0.00949469	0.05687200	0.00000024
ARGSYNBSUBPWY	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	N	-0.13239330	0.03123500	0.00002244	0.00006962	-0.27938137	-0.64982399	-0.48959704	-0.72311276	0.06723439	0.06632653	0.06544584	0.06798367	0.00000000	0.00000000	0.05496354	0.02422472	0.00770347	0.01430644	0.00000008	0.02119736	0.01533758	0.04166792	0.03204074
ARGSYNPWY	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	N	-0.14694895	0.03069590	0.00000169	0.00000576	-0.29185283	-0.67281809	-0.50266604	-0.77987167	0.06447366	0.06357482	0.06278363	0.06535256	0.00000000	0.00000000	0.08468198	0.02676936	0.00012729	0.00058899	0.00000008	0.02223921	0.00924527	0.03764052	0.02792102
AROPWY	ARO-PWY: chorismate biosynthesis I	N	-0.06332995	0.03235188	0.05028290	0.07584106	-0.37323247	-0.56237982	-0.47375684	-0.83020690	0.06727853	0.06624447	0.06532235	0.06802621	0.00000000	0.00000000	0.05833844	0.02554103	0.00914420	0.01633010	0.00227936	0.02212906	0.00871903	0.04654112	0.06100985
ASPASNPWY	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	N	 0.02577798	0.03374115	0.44474871	0.51666552	 0.16711833	 0.45299011	 0.21563482	 0.35765326	0.06499072	0.06380902	0.06320763	0.06578854	0.00000000	0.00000000	0.07228629	0.02494143	0.00066375	0.00184739	0.00510901	0.02604163	0.00000034	0.03171934	0.02646719
BIOTINBIOSYNTHESISPWY	BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	N	 0.17818099	0.02502123	0.00000000	0.00000000	 0.03673799	 0.12844818	 0.19701724	 0.43677513	0.07177183	0.07102712	0.06999915	0.07269582	0.00000002	0.00000003	0.05141109	0.02648982	0.04300774	0.06083478	0.00619674	0.00000008	0.01944597	0.03556581	0.05440067
